parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,tay,,male ego's older brother,,,guiart2013a,
myB,tay,,male ego's younger brother,,,guiart2013a,
feB,tay,,female ego's older brother,,,guiart2013a,
fyB,tay,,female ego's younger brother,,,guiart2013a,
meZ,ngoreng,,male ego's older sister,,,guiart2013a,
myZ,ngoreng,,male ego's younger sister,,,guiart2013a,
feZ,ngoreng,,female ego's older sister,,,guiart2013a,
fyZ,ngoreng,,female ego's younger sister,,,guiart2013a,
mF,mama,,male ego's father,,,guiart2013a,
mM,tétè,,male ego's mother,,,guiart2013a,
fF,mama,,female ego's father,,,guiart2013a,
fM,tétè,,female ego's mother,,,guiart2013a,
mS,natungu nanoay,,male ego's son,,,guiart2013a,
fS,natungu nanoay,,female ego's son,,,guiart2013a,
mD,nanungu nangoroy,,male ego's daughter,,,guiart2013a,
fD,nanungu nangoroy,,female ego's daughter,,,guiart2013a,
mFF,tiya,,male ego's father‘s father,,,guiart2013a,
mFM,tua,,male ego's father's mother,,,guiart2013a,
mMF,pua,,male ego's mother's father,,,guiart2013a,
mMM,tata,,male ego's mother's mother,,,guiart2013a,
fFF,tiya,,female ego's father's father,,,guiart2013a,
fFM,tua,,female ego's father's mother,,,guiart2013a,
fMF,pua,,female ego's mother's father,,,guiart2013a,
fMM,tata,,female ego's mother's mother,,,guiart2013a,
meBS,natungu nanoay,,male ego's older brother's son,,,guiart2013a,
myBS,natungu nanoay,,male ego's younger brother's son,,,guiart2013a,
meZS,pwelemata,,male ego's older sister's son,,,guiart2013a,
myZS,pwelemata,,male ego's younger sister's son,,,guiart2013a,
meBD,nanungu nangoroy,,male ego's older brother's daughter,,,guiart2013a,
myBD,nanungu nangoroy,,male ego's younger brother's daughter,,,guiart2013a,
meZD,pwelemata,,male ego's older sister's daughter,,,guiart2013a,
myZD,pwelemata,,male ego's younger sister's daughter,,,guiart2013a,
feBS,natungu nanoay,,female ego's older brother's son,,,guiart2013a,
fyBS,natungu nanoay,,female ego's younger brother's son,,,guiart2013a,
feZS,pwelemata,,female ego's older sister's son,,,guiart2013a,
fyZS,pwelemata,,female ego's younger sister's son,,,guiart2013a,
feBD,nanungu nangoroy,,female ego's older brother's daughter,,,guiart2013a,
fyBD,nanungu nangoroy,,female ego's younger brother's daughter,,,guiart2013a,
feZD,pwelemata,,female ego's older sister's daughter,,,guiart2013a,
fyZD,pwelemata,,female ego's younger sister's daughter,,,guiart2013a,
mFeB,mama,,male ego's father's older brother,,,guiart2013a,
mFyB,mama,,male ego's father's younger brother,,,guiart2013a,
mFeZ,mimi,,male ego's father's older sister,,,guiart2013a,
mFyZ,mimi,,male ego's father's younger sister,,,guiart2013a,
mMeB,aloa,,male ego's mother's older brother,,,guiart2013a,
mMyB,aloa,,male ego's mother's younger brother,,,guiart2013a,
mMeZ,tétè,,male ego's mother's older sister,,,guiart2013a,
mMyZ,tétè,,male ego's mother's younger sister,,,guiart2013a,
fFeB,mama,,female ego's father's older brother,,,guiart2013a,
fFyB,mama,,female ego's father's younger brother,,,guiart2013a,
fFeZ,mimi,,female ego's father's older sister,,,guiart2013a,
fFyZ,mimi,,female ego's father's younger sister,,,guiart2013a,
fMeB,aloa,,female ego's mother's older brother,,,guiart2013a,
fMyB,aloa,,female ego's mother's younger brother,,,guiart2013a,
fMeZ,tétè,,female ego's mother's older sister,,,guiart2013a,
fMyZ,tétè,,female ego's mother's younger sister,,,guiart2013a,
mW,nangoroy anginau,,male ego's wife,,,guiart2013a,
mDH,napurumwa nanoay,,male ego's daughter's husband,,,guiart2013a,
fDH,napurumwa nanoay,,female ego's daughter's husband,,,guiart2013a,
mWF,napurumwa nanoay,,male ego's wife's father,,,guiart2013a,
mWM,napurumwa nangoroy,,male ego's wife's mother,,,guiart2013a,
mWB,tawian(a) nanoay,,male ego's wife's brother,,,guiart2013a,
mWZ,tawian(a) nangoroy,,male ego's wife's sister,,,guiart2013a,
mBW,nangoroy anginami,,male ego's brother's wife,,,guiart2013a,
fBW,nangoroy anginami,,female ego's brother's wife,,,guiart2013a,
mZH,tawian(a) nanoay,,male ego's sister's husband,,,guiart2013a,
fZH,tawian(a) nanoay,,female ego's sister's husband,,,guiart2013a,
mFZS,mama,,male ego's father's sister's son,,,guiart2013a,
mMBS,natungu nanoay,,male ego's mother's brother's son,,,guiart2013a,
mMZS,tay,,male ego's mother's sister's son,,,guiart2013a,
mFZD,mimi,,male ego's father's sister's daughter,,,guiart2013a,
mMBD,nanungu nangoroy,,male ego's mother's brother's daughter,,,guiart2013a,
mMZD,ngoreng,,male ego's mother's sister's daughter,,,guiart2013a,
fFZS,mama,,female ego's father's sister's son,,,guiart2013a,
fMBS,natungu nanoay,,female ego's mother's brother's son,,,guiart2013a,
fMZS,tay,,female ego's mother's sister's son,,,guiart2013a,
fFZD,mimi,,female ego's father's sister's daughter,,,guiart2013a,
fMBD,nanungu nangoroy,,female ego's mother's brother's daughter,,,guiart2013a,
fMZD,ngoreng,,female ego's mother's sister's daughter,,,guiart2013a,
mFeZS,mama,,male ego's father's sister's son,,,guiart2013a,Inferred; NA
mFyZS,mama,,male ego's father's sister's son,,,guiart2013a,Inferred; NA
mFeZD,mimi,,male ego's father's sister's daughter,,,guiart2013a,Inferred; NA
mFyZD,mimi,,male ego's father's sister's daughter,,,guiart2013a,Inferred; NA
mMeBS,natungu nanoay,,male ego's mother's brother's son,,,guiart2013a,Inferred; NA
mMyBS,natungu nanoay,,male ego's mother's brother's son,,,guiart2013a,Inferred; NA
mMeZS,tay,,male ego's mother's sister's son,,,guiart2013a,Inferred; NA
mMyZS,tay,,male ego's mother's sister's son,,,guiart2013a,Inferred; NA
mMeBD,nanungu nangoroy,,male ego's mother's brother's daughter,,,guiart2013a,Inferred; NA
mMyBD,nanungu nangoroy,,male ego's mother's brother's daughter,,,guiart2013a,Inferred; NA
mMeZD,ngoreng,,male ego's mother's sister's daughter,,,guiart2013a,Inferred; NA
mMyZD,ngoreng,,male ego's mother's sister's daughter,,,guiart2013a,Inferred; NA
mFZeS,mama,,male ego's father's sister's son,,,guiart2013a,Inferred; NA
