parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,tokoua,,male ego's older brother,,,,
myB,tokoua,,male ego's younger brother,,,,
feB,tuaga'ane,,female ego's older brother,,,,
fyB,tuaga'ane,,female ego's younger brother,,,,
meZ,tuafafine,,male ego's older sister,,,,
myZ,tuafafine,,male ego's younger sister,,,,
feZ,tokoua,,female ego's older sister,,,,
fyZ,tokoua,,female ego's younger sister,,,,
mF,tamai,,male ego's father,,,,
mM,fa'ee,,male ego's mother,,,,
fF,tamai,,female ego's father,,,,
fM,fa'ee,,female ego's mother,,,,
mS,foha,,male ego's son,,,,
fS,tamai,,female ego's son,,,,
mD,'ofafina,,male ego's daughter,,,,
fD,tama fafine,,female ego's daughter,,,,
mSS,mokopuna,,male ego's son's son,,,,
mSD,mokopuna,,male ego's son's daughter,,,,
mDS,mokopuna,,male ego's daughter's son,,,,
mDD,mokopuna,,male ego's daughter's daughter,,,,
fSS,mokopuna,,female ego's son's son,,,,
fSD,mokopuna,,female ego's son's daughter,,,,
fDS,mokopuna,,female ego's daughter's son,,,,
fDD,mokopuna,,female ego's daugher's daughter,,,,
mFF,kui,,male ego's father‘s father,,,,
mFM,kui,,male ego's father's mother,,,,
mMF,kui,,male ego's mother's father,,,,
mMM,kui,,male ego's mother's mother,,,,
fFF,kui,,female ego's father's father,,,,
fFM,kui,,female ego's father's mother,,,,
fMF,kui,,female ego's mother's father,,,,
fMM,kui,,female ego's mother's mother,,,,
meZS,'ilamatu,,male ego's older sister's son,,,,
myZS,'ilamatu,,male ego's younger sister's son,,,,
meZD,'ilamatu,,male ego's older sister's daughter,,,,
myZD,'ilamatu,,male ego's younger sister's daughter,,,,
feBS,fakafotu,,female ego's older brother's son,,,,
fyBS,fakafotu,,female ego's younger brother's son,,,,
feBD,fakafotu,,female ego's older brother's daughter,,,,
fyBD,fakafotu,,female ego's younger brother's daughter,,,,
mFeB,tamai,,male ego's father's older brother,,,,
mFyB,tamai,,male ego's father's younger brother,,,,
mFeZ,mehikitanga,,male ego's father's older sister,,,,
mFyZ,mehikitanga,,male ego's father's younger sister,,,,
mMeB,"ta'ee tangata, tuasina",,male ego's mother's older brother,,,,"The scan is a bit hard to read, it's possible that this is actually ""fa'ee"" rather than ""ta'ee"", as on the female ego side"
mMyB,"ta'ee tangata, tuasina",,male ego's mother's younger brother,,,,"The scan is a bit hard to read, it's possible that this is actually ""fa'ee"" rather than ""ta'ee"", as on the female ego side"
mMeZ,fa'ee,,male ego's mother's older sister,,,,
mMyZ,fa'ee,,male ego's mother's younger sister,,,,
fFeB,tamai,,female ego's father's older brother,,,,
fFyB,tamai,,female ego's father's younger brother,,,,
fFeZ,fa'ee,,female ego's father's older sister,,,,
fFyZ,fa'ee,,female ego's father's younger sister,,,,
fMeB,"fa'ee tangata, tuasina",,female ego's mother's older brother,,,,
fMyB,"fa'ee tangata, tuasina",,female ego's mother's younger brother,,,,
fMeZ,mehikitanga,,female ego's mother's older sister,,,,
fMyZ,mehikitanga,,female ego's mother's younger sister,,,,
mW,mali,,male ego's wife,,,,
fH,mali,,female ego‘s husband,,,,
