"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","matakainaga, matakainaanga, taokete",,"male ego's older brother",,,,
"myB","matakainaanga, tehina",,"male ego's younger brother",,,,
"feB","tugane",,"female ego's older brother",,,,
"fyB","tugane, tugane fakamui",,"female ego's younger brother",,,,
"meZ","mahakitaga",,"male ego's older sister",,,,
"myZ","mahakitaga, mahakitaga fakamui",,"male ego's younger sister",,,,
"feZ","matakainaanga, taokete",,"female ego's older sister",,,,
"fyZ","matakainaanga, tehina",,"female ego's younger sister",,,,
"mF","matua tane",,"male ego's father",,,,
"mM","matua fifine",,"male ego's mother",,,,
"fF","matua tane",,"female ego's father",,,,
"fM","matua fifine",,"female ego's mother",,,,
"mS","tama taane",,"male ego's son",,,,
"fS","tama taane",,"female ego's son",,,,
"mD","tamaafine",,"male ego's daughter",,,,
"fD","tamaafine",,"female ego's daughter",,,,
"mSS","mokopuna",,"male ego's son's son",,,,
"mSD","mokopuna",,"male ego's son's daughter",,,,
"mDS","mokopuna",,"male ego's daughter's son",,,,
"mDD","mokopuna",,"male ego's daughter's daughter",,,,
"fSS","mokopuna",,"female ego's son's son",,,,
"fSD","mokopuna",,"female ego's son's daughter",,,,
"fDS","mokopuna",,"female ego's daughter's son",,,,
"fDD","mokopuna",,"female ego's daugher's daughter",,,,
"mFF","matua tupuna, tupana tane",,"male ego's father‘s father",,,,
"mFM","matua tupuna, tupana fifine",,"male ego's father's mother",,,,
"mMF","matua tupuna, tupana tane",,"male ego's mother's father",,,,
"mMM","matua tupuna, tupana fifine",,"male ego's mother's mother",,,,
"fFF","matua tupuna, tupana tane",,"female ego's father's father",,,,
"fFM","matua tupuna, tupana fifine",,"female ego's father's mother",,,,
"fMF","matua tupuna, tupana tane",,"female ego's mother's father",,,,
"fMM","matua tupuna, tupana fifine",,"female ego's mother's mother",,,,
"mFeB","matua tane",,"male ego's father's older brother",,,,
"mFyB","matua tane",,"male ego's father's younger brother",,,,
"mFeZ","matua fifine",,"male ego's father's older sister",,,,
"mFyZ","matua fifine",,"male ego's father's younger sister",,,,
"mMeB","matua tane",,"male ego's mother's older brother",,,,
"mMyB","matua tane",,"male ego's mother's younger brother",,,,
"mMeZ","matua fifine",,"male ego's mother's older sister",,,,
"mMyZ","matua fifine",,"male ego's mother's younger sister",,,,
"fFeB","matua tane",,"female ego's father's older brother",,,,
"fFyB","matua tane",,"female ego's father's younger brother",,,,
"fFeZ","matua fifine",,"female ego's father's older sister",,,,
"fFyZ","matua fifine",,"female ego's father's younger sister",,,,
"fMeB","matua tane",,"female ego's mother's older brother",,,,
"fMyB","matua tane",,"female ego's mother's younger brother",,,,
"fMeZ","matua fifine",,"female ego's mother's older sister",,,,
"fMyZ","matua fifine",,"female ego's mother's younger sister",,,,
"mW","fifine, hoana",,"male ego's wife",,,,
"fH","tane",,"female ego‘s husband",,,,
"mDH","figona taane",,"male ego's daughter's husband",,,,
"fDH","figona taane",,"female ego's daughter's husband",,,,
"mSW","figona fifine",,"male ego's son's wife",,,,
"fSW","figona fifine",,"female ego's son's wife",,,,
"mWF","fungawai, gomaea, matua fungavai taane",,"male ego's wife's father",,,,
"mWM","fungawai, gomaea, matua fungavai fifine",,"male ego's wife's mother",,,,
"mWB","maa",,"male ego's wife's brother",,,,
"mWZ","maa",,"male ego's wife's sister",,,,
"fHF","fungawai, gomaea, matua fungavai taane",,"female ego's husband's father",,,,
"fHM","fungawai, gomaea, matua fungavai fifine",,"female ego's husband's mother",,,,
"fHB","maa",,"female ego's husband's brother",,,,
"fHZ","maa",,"female ego's husband's sister",,,,
"mFeBS","matakainaga, matakainaanga, taokete",,"male ego's father‘s older brother‘s son",,,,
"mFyBS","matakainaanga, tehina",,"male ego‘s father‘s younger brother‘s son",,,,
"mFeZS","matakainaga, matakainaanga, taokete",,"male ego's father‘s older sister‘s son",,,,
"mFyZS","matakainaanga, tehina",,"male ego‘s father‘s younger sister‘s son",,,,
"mFeBD","mahakitaga",,"male ego's father‘s older brother‘s daughter",,,,
"mFyBD","mahakitaga, mahakitaga fakamui",,"male ego‘s father‘s younger brother‘s daughter",,,,
"mFeZD","mahakitaga",,"male ego's father‘s older sister‘s daughter",,,,
"mFyZD","mahakitaga, mahakitaga fakamui",,"male ego‘s father‘s younger sister‘s daughter",,,,
"mMeBS","matakainaga, matakainaanga, taokete",,"male ego's mother‘s older brother‘s son",,,,
"mMyBS","matakainaanga, tehina",,"male ego‘s mother‘s younger brother‘s son",,,,
"mMeZS","matakainaga, matakainaanga, taokete",,"male ego's mother‘s older sister‘s son",,,,
"mMyZS","matakainaanga, tehina",,"male ego‘s mother‘s younger sister‘s son",,,,
"mMeBD","mahakitaga",,"male ego's mother‘s older brother‘s daughter",,,,
"mMyBD","mahakitaga, mahakitaga fakamui",,"male ego‘s mother‘s younger brother‘s daughter",,,,
"mMeZD","mahakitaga",,"male ego's mother‘s older sister‘s daughter",,,,
"mMyZD","mahakitaga, mahakitaga fakamui",,"male ego‘s mother‘s younger sister‘s daughter",,,,
"fFeBS","tugane",,"female ego's father‘s older brother‘s son",,,,
"fFyBS","tugane, tugane fakamui",,"female ego‘s father‘s younger brother‘s son",,,,
"fFeZS","tugane",,"female ego's father‘s older sister‘s son",,,,
"fFyZS","tugane, tugane fakamui",,"female ego‘s father‘s younger sister‘s son",,,,
"fFeBD","matakainaanga, taokete",,"female ego's father‘s older brother‘s daughter",,,,
"fFyBD","matakainaanga, tehina",,"female ego‘s father‘s younger brother‘s daughter",,,,
"fFeZD","matakainaanga, taokete",,"female ego's father‘s older sister‘s daughter",,,,
"fFyZD","matakainaanga, tehina",,"female ego‘s father‘s younger sister‘s daughter",,,,
"fMeBS","tugane",,"female ego's mother‘s older brother‘s son",,,,
"fMyBS","tugane, tugane fakamui",,"female ego‘s mother‘s younger brother‘s son",,,,
"fMeZS","tugane",,"female ego's mother‘s older sister‘s son",,,,
"fMyZS","tugane, tugane fakamui",,"female ego‘s mother‘s younger sister‘s son",,,,
"fMeBD","matakainaanga, taokete",,"female ego's mother‘s older brother‘s daughter",,,,
"fMyBD","matakainaanga, tehina",,"female ego‘s mother‘s younger brother‘s daughter",,,,
"fMeZD","matakainaanga, taokete",,"female ego's mother‘s older sister‘s daughter",,,,
"fMyZD","matakainaanga, tehina",,"female ego‘s mother‘s younger sister‘s daughter",,,,
