"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","sika",,"male ego's older brother",,,,
"myB","kapa",,"male ego's younger brother",,,,
"feB","lu",,"female ego's older brother",,,,
"fyB","lu",,"female ego's younger brother",,,,
"meZ","lunewe",,"male ego's older sister",,,,
"myZ","lunewe",,"male ego's younger sister",,,,
"feZ","sikanewe",,"female ego's older sister",,,,
"fyZ","kapowe",,"female ego's younger sister",,,,
"mF","tama, mama",,"male ego's father",,,,
"mM","tina, awa",,"male ego's mother",,,,
"fF","tama, mama",,"female ego's father",,,,
"fM","tina, awa",,"female ego's mother",,,,
"mS","natu",,"male ego's son",,,,
"fS","natu",,"female ego's son",,,,
"mD","natunewe",,"male ego's daughter",,,,
"fD","natunewe",,"female ego's daughter",,,,
"mSS","tumbuna",,"male ego's son's son",,,,
"mSD","tumbunewe",,"male ego's son's daughter",,,,
"mDS","tumbuna",,"male ego's daughter's son",,,,
"mDD","tumbunewe",,"male ego's daughter's daughter",,,,
"fSS","tumbuna",,"female ego's son's son",,,,
"fSD","tumbunewe",,"female ego's son's daughter",,,,
"fDS","tumbuna",,"female ego's daughter's son",,,,
"fDD","tumbunewe",,"female ego's daugher's daughter",,,,
"mFF","tumbuna",,"male ego's father‘s father",,,,
"mFM","tumbunewe",,"male ego's father's mother",,,,
"mMF","tumbuna",,"male ego's mother's father",,,,
"mMM","tumbunewe",,"male ego's mother's mother",,,,
"fFF","tumbuna",,"female ego's father's father",,,,
"fFM","tumbunewe",,"female ego's father's mother",,,,
"fMF","tumbuna",,"female ego's mother's father",,,,
"fMM","tumbunewe",,"female ego's mother's mother",,,,
"meBS","natu",,"male ego's older brother's son",,,,
"myBS","natu",,"male ego's younger brother's son",,,,
"meZS","tamota",,"male ego's older sister's son",,,,
"myZS","tamota",,"male ego's younger sister's son",,,,
"meBD","natunewe",,"male ego's older brother's daughter",,,,
"myBD","natunewe",,"male ego's younger brother's daughter",,,,
"meZD","tamotewe",,"male ego's older sister's daughter",,,,
"myZD","tamotewe",,"male ego's younger sister's daughter",,,,
"feBS","tamota",,"female ego's older brother's son",,,,
"fyBS","tamota",,"female ego's younger brother's son",,,,
"feZS","natu",,"female ego's older sister's son",,,,
"fyZS","natu",,"female ego's younger sister's son",,,,
"feBD","tamotewe",,"female ego's older brother's daughter",,,,
"fyBD","tamotewe",,"female ego's younger brother's daughter",,,,
"feZD","natunewe",,"female ego's older sister's daughter",,,,
"fyZD","natunewe",,"female ego's younger sister's daughter",,,,
"mFeB","tama, mama",,"male ego's father's older brother",,,,
"mFyB","mama kae",,"male ego's father's younger brother",,,,
"mFeZ","wawe",,"male ego's father's older sister",,,,
"mFyZ","wawe",,"male ego's father's younger sister",,,,
"mMeB","wowa",,"male ego's mother's older brother",,,,
"mMyB","wowa",,"male ego's mother's younger brother",,,,
"mMeZ","tina, awa",,"male ego's mother's older sister",,,,
"mMyZ","awa kae",,"male ego's mother's younger sister",,,,
"fFeB","tama, mama",,"female ego's father's older brother",,,,
"fFyB","mama kae",,"female ego's father's younger brother",,,,
"fFeZ","wawe",,"female ego's father's older sister",,,,
"fFyZ","wawe",,"female ego's father's younger sister",,,,
"fMeB","wowa",,"female ego's mother's older brother",,,,
"fMyB","wowa",,"female ego's mother's younger brother",,,,
