parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,taling,,male ego's older brother,,,Lane1958,
myB,taling,,male ego's younger brother,,,Lane1958,
feB,maningeri,,female ego's older brother,,,Lane1958,
fyB,maningeri,,female ego's younger brother,,,Lane1958,
meZ,taling,,male ego's older sister,,,Lane1958,
myZ,taling,,male ego's younger sister,,,Lane1958,
feZ,taling,,female ego's older sister,,,Lane1958,
fyZ,taling,,female ego's younger sister,,,Lane1958,
mF,tete,,male ego's father,,,Lane1958,
mM,erahing,,male ego's mother,,,Lane1958,
fF,tete,,female ego's father,,,Lane1958,
fM,erahing,,female ego's mother,,,Lane1958,
mS,'tung,,male ego's son,,,Lane1958,
fS,'tung,,female ego's son,,,Lane1958,
mD,'tung,,male ego's daughter,,,Lane1958,
fD,'tung,,female ego's daughter,,,Lane1958,
mSS,tubung,,male ego's son's son,,,Lane1958,
mSD,tubung,,male ego's son's daughter,,,Lane1958,
mDS,mabung,,male ego's daughter's son,,,Lane1958,
mDD,mabung,,male ego's daughter's daughter,,,Lane1958,
fSS,mabung,,female ego's son's son,,,Lane1958,
fSD,mabung,,female ego's son's daughter,,,Lane1958,
mFF,tubung,,male ego's father‘s father,,,Lane1958,
mFM,tubung,,male ego's father's mother,,,Lane1958,
mMF,tubung,,male ego's mother's father,,,Lane1958,
mMM,tubung,,male ego's mother's mother,,,Lane1958,
fFF,tubung,,female ego's father's father,,,Lane1958,
fFM,tubung,,female ego's father's mother,,,Lane1958,
fMF,tubung,,female ego's mother's father,,,Lane1958,
fMM,tubung,,female ego's mother's mother,,,Lane1958,
meZS,yaling,,male ego's older sister's son,,,Lane1958,
myZS,yaling,,male ego's younger sister's son,,,Lane1958,
meZD,yaling,,male ego's older sister's daughter,,,Lane1958,
myZD,yaling,,male ego's younger sister's daughter,,,Lane1958,
feBS,'tung,,female ego's older brother's son,,,Lane1958,
fyBS,'tung,,female ego's younger brother's son,,,Lane1958,
feBD,'tung,,female ego's older brother's daughter,,,Lane1958,
fyBD,'tung,,female ego's younger brother's daughter,,,Lane1958,
mFeZ,idning,,male ego's father's older sister,,,Lane1958,
mFyZ,idning,,male ego's father's younger sister,,,Lane1958,
mMeB,mosong,,male ego's mother's older brother,,,Lane1958,
mMyB,mosong,,male ego's mother's younger brother,,,Lane1958,
fFeZ,idning,,female ego's father's older sister,,,Lane1958,
fFyZ,idning,,female ego's father's younger sister,,,Lane1958,
fMeB,mosong,,female ego's mother's older brother,,,Lane1958,
fMyB,mosong,,female ego's mother's younger brother,,,Lane1958,
mW,maning tarind,,male ego's wife,,,Lane1958,
fH,maning vanten,,female ego‘s husband,,,Lane1958,
mDH,woinyung,,male ego's daughter's husband,,,Lane1958,
fDH,woinyung,,female ego's daughter's husband,,,Lane1958,
mSW,erahing,,male ego's son's wife,,,Lane1958,
fSW,woinyung,,female ego's son's wife,,,Lane1958,
mWF,woinyung,,male ego's wife's father,,,Lane1958,
mWM,woinyung,,male ego's wife's mother,,,Lane1958,
mWB,vieng,,male ego's wife's brother,,,Lane1958,
fHF,'tung,,female ego's husband's father,,,Lane1958,
fHM,woinyung,,female ego's husband's mother,,,Lane1958,
fHZ,revieng,,female ego's husband's sister,,,Lane1958,
mFZS,mabung,,male ego's father's sister's son,,,Lane1958,
mMBS,tubung,,male ego's mother's brother's son,,,Lane1958,
mFZD,mabung,,male ego's father's sister's daughter,,,Lane1958,
mMBD,tubung,,male ego's mother's brother's daughter,,,Lane1958,
fFZS,wurung,,female ego's father's sister's son,,,Lane1958,
fMBS,tubung,,female ego's mother's brother's son,,,Lane1958,
fFZD,wurung,,female ego's father's sister's daughter,,,Lane1958,
fMBD,wurung,,female ego's mother's brother's daughter,,,Lane1958,
mFeZS,mabung,,male ego's father's sister's son,,,Lane1958,Inferred; NA
mFyZS,mabung,,male ego's father's sister's son,,,Lane1958,Inferred; NA
mFeZD,mabung,,male ego's father's sister's daughter,,,Lane1958,Inferred; NA
mFyZD,mabung,,male ego's father's sister's daughter,,,Lane1958,Inferred; NA
mMeBS,tubung,,male ego's mother's brother's son,,,Lane1958,Inferred; NA
mMyBS,tubung,,male ego's mother's brother's son,,,Lane1958,Inferred; NA
mMeBD,tubung,,male ego's mother's brother's daughter,,,Lane1958,Inferred; NA
mMyBD,tubung,,male ego's mother's brother's daughter,,,Lane1958,Inferred; NA
mFZeS,mabung,,male ego's father's sister's son,,,Lane1958,Inferred; NA
mFZyS,mabung,,male ego's father's sister's son,,,Lane1958,Inferred; NA
mFZeD,mabung,,male ego's father's sister's daughter,,,Lane1958,Inferred; NA
mFZyD,mabung,,male ego's father's sister's daughter,,,Lane1958,Inferred; NA
mMBeS,tubung,,male ego's mother's brother's son,,,Lane1958,Inferred; NA
mMByS,tubung,,male ego's mother's brother's son,,,Lane1958,Inferred; NA
mMBeD,tubung,,male ego's mother's brother's daughter,,,Lane1958,Inferred; NA
mMByD,tubung,,male ego's mother's brother's daughter,,,Lane1958,Inferred; NA
