"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","aguin laki",,"male ego's older brother",,,,
"myB","aguin laki",,"male ego's younger brother",,,,
"feB","aguin laki",,"female ego's older brother",,,,
"fyB","aguin laki",,"female ego's younger brother",,,,
"mF","ama",,"male ego's father",,,,
"mM","ina",,"male ego's mother",,,,
"fF","ama",,"female ego's father",,,,
"fM","ina",,"female ego's mother",,,,
"mS","anae-a-laki",,"male ego's son",,,,
"fS","anae-a-laki",,"female ego's son",,,,
"mD","ugao",,"male ego's daughter",,,,
"fD","ugao",,"female ego's daughter",,,,
"meBS","caanacan",,"male ego's older brother's son",,,,
"myBS","caanacan",,"male ego's younger brother's son",,,,
"meZS","caanacan",,"male ego's older sister's son",,,,
"myZS","caanacan",,"male ego's younger sister's son",,,,
"feBS","caanacan",,"female ego's older brother's son",,,,
"fyBS","caanacan",,"female ego's younger brother's son",,,,
"feZS","caanacan",,"female ego's older sister's son",,,,
"fyZS","caanacan",,"female ego's younger sister's son",,,,
"mFeB","pangamaen",,"male ego's father's older brother",,,,
"mFyB","pangamaen",,"male ego's father's younger brother",,,,
"mFeZ","panginaen",,"male ego's father's older sister",,,,
"mFyZ","panginaen",,"male ego's father's younger sister",,,,
"mMeB","pangamaen",,"male ego's mother's older brother",,,,
"mMyB","pangamaen",,"male ego's mother's younger brother",,,,
"mMeZ","panginaen",,"male ego's mother's older sister",,,,
"mMyZ","panginaen",,"male ego's mother's younger sister",,,,
"fFeB","pangamaen",,"female ego's father's older brother",,,,
"fFyB","pangamaen",,"female ego's father's younger brother",,,,
"fFeZ","panginaen",,"female ego's father's older sister",,,,
"fFyZ","panginaen",,"female ego's father's younger sister",,,,
"fMeB","pangamaen",,"female ego's mother's older brother",,,,
"fMyB","pangamaen",,"female ego's mother's younger brother",,,,
"fMeZ","panginaen",,"female ego's mother's older sister",,,,
"fMyZ","panginaen",,"female ego's mother's younger sister",,,,
"fH","asaoan-laki",,"female ego‘s husband",,,,
"mFBS","eapinsan",,"male ego's father's brother's son",,,,
"mFZS","eapinsan",,"male ego's father's sister's son",,,,
"mMBS","eapinsan",,"male ego's mother's brother's son",,,,
"mMZS","eapinsan",,"male ego's mother's sister's son",,,,
"mFBD","eapinsan",,"male ego's father's brother's daughter",,,,
"mFZD","eapinsan",,"male ego's father's sister's daughter",,,,
"mMBD","eapinsan",,"male ego's mother's brother's daughter",,,,
"mMZD","eapinsan",,"male ego's mother's sister's daughter",,,,
"fFBS","eapinsan",,"female ego's father's brother's son",,,,
"fFZS","eapinsan",,"female ego's father's sister's son",,,,
"fMBS","eapinsan",,"female ego's mother's brother's son",,,,
"fMZS","eapinsan",,"female ego's mother's sister's son",,,,
"fFBD","eapinsan",,"female ego's father's brother's daughter",,,,
"fFZD","eapinsan",,"female ego's father's sister's daughter",,,,
"fMBD","eapinsan",,"female ego's mother's brother's daughter",,,,
"fMZD","eapinsan",,"female ego's mother's sister's daughter",,,,
"mFeBS","eapinsan",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFyBS","eapinsan",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFeZS","eapinsan",,"male ego's father's sister's son",,,,"Inferred; NA"
"mFyZS","eapinsan",,"male ego's father's sister's son",,,,"Inferred; NA"
"mFeBD","eapinsan",,"male ego's father's brother's daughter",,,,"Inferred; NA"
"mFyBD","eapinsan",,"male ego's father's brother's daughter",,,,"Inferred; NA"
"mFeZD","eapinsan",,"male ego's father's sister's daughter",,,,"Inferred; NA"
"mFyZD","eapinsan",,"male ego's father's sister's daughter",,,,"Inferred; NA"
"mMeBS","eapinsan",,"male ego's mother's brother's son",,,,"Inferred; NA"
"mMyBS","eapinsan",,"male ego's mother's brother's son",,,,"Inferred; NA"
"mMeZS","eapinsan",,"male ego's mother's sister's son",,,,"Inferred; NA"
"mMyZS","eapinsan",,"male ego's mother's sister's son",,,,"Inferred; NA"
"mMeBD","eapinsan",,"male ego's mother's brother's daughter",,,,"Inferred; NA"
"mMyBD","eapinsan",,"male ego's mother's brother's daughter",,,,"Inferred; NA"
"mMeZD","eapinsan",,"male ego's mother's sister's daughter",,,,"Inferred; NA"
"mMyZD","eapinsan",,"male ego's mother's sister's daughter",,,,"Inferred; NA"
"mFBeS","eapinsan",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFByS","eapinsan",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFZeS","eapinsan",,"male ego's father's sister's son",,,,"Inferred; NA"
"mFZyS","eapinsan",,"male ego's father's sister's son",,,,"Inferred; NA"
"mFBeD","eapinsan",,"male ego's father's brother's daughter",,,,"Inferred; NA"
"mFByD","eapinsan",,"male ego's father's brother's daughter",,,,"Inferred; NA"
"mFZeD","eapinsan",,"male ego's father's sister's daughter",,,,"Inferred; NA"
"mFZyD","eapinsan",,"male ego's father's sister's daughter",,,,"Inferred; NA"
"mMBeS","eapinsan",,"male ego's mother's brother's son",,,,"Inferred; NA"
"mMByS","eapinsan",,"male ego's mother's brother's son",,,,"Inferred; NA"
"mMZeS","eapinsan",,"male ego's mother's sister's son",,,,"Inferred; NA"
"mMZyS","eapinsan",,"male ego's mother's sister's son",,,,"Inferred; NA"
"mMBeD","eapinsan",,"male ego's mother's brother's daughter",,,,"Inferred; NA"
"mMByD","eapinsan",,"male ego's mother's brother's daughter",,,,"Inferred; NA"
"mMZeD","eapinsan",,"male ego's mother's sister's daughter",,,,"Inferred; NA"
"mMZyD","eapinsan",,"male ego's mother's sister's daughter",,,,"Inferred; NA"
"fFeBS","eapinsan",,"female ego's father's brother's son",,,,"Inferred; NA"
"fFyBS","eapinsan",,"female ego's father's brother's son",,,,"Inferred; NA"
"fFeZS","eapinsan",,"female ego's father's sister's son",,,,"Inferred; NA"
"fFyZS","eapinsan",,"female ego's father's sister's son",,,,"Inferred; NA"
"fFeBD","eapinsan",,"female ego's father's brother's daughter",,,,"Inferred; NA"
"fFyBD","eapinsan",,"female ego's father's brother's daughter",,,,"Inferred; NA"
"fFeZD","eapinsan",,"female ego's father's sister's daughter",,,,"Inferred; NA"
"fFyZD","eapinsan",,"female ego's father's sister's daughter",,,,"Inferred; NA"
"fMeBS","eapinsan",,"female ego's mother's brother's son",,,,"Inferred; NA"
"fMyBS","eapinsan",,"female ego's mother's brother's son",,,,"Inferred; NA"
"fMeZS","eapinsan",,"female ego's mother's sister's son",,,,"Inferred; NA"
"fMyZS","eapinsan",,"female ego's mother's sister's son",,,,"Inferred; NA"
"fMeBD","eapinsan",,"female ego's mother's brother's daughter",,,,"Inferred; NA"
"fMyBD","eapinsan",,"female ego's mother's brother's daughter",,,,"Inferred; NA"
"fMeZD","eapinsan",,"female ego's mother's sister's daughter",,,,"Inferred; NA"
"fMyZD","eapinsan",,"female ego's mother's sister's daughter",,,,"Inferred; NA"
"fFBeS","eapinsan",,"female ego's father's brother's son",,,,"Inferred; NA"
"fFByS","eapinsan",,"female ego's father's brother's son",,,,"Inferred; NA"
"fFZeS","eapinsan",,"female ego's father's sister's son",,,,"Inferred; NA"
"fFZyS","eapinsan",,"female ego's father's sister's son",,,,"Inferred; NA"
"fFBeD","eapinsan",,"female ego's father's brother's daughter",,,,"Inferred; NA"
"fFByD","eapinsan",,"female ego's father's brother's daughter",,,,"Inferred; NA"
"fFZeD","eapinsan",,"female ego's father's sister's daughter",,,,"Inferred; NA"
"fFZyD","eapinsan",,"female ego's father's sister's daughter",,,,"Inferred; NA"
"fMBeS","eapinsan",,"female ego's mother's brother's son",,,,"Inferred; NA"
"fMByS","eapinsan",,"female ego's mother's brother's son",,,,"Inferred; NA"
"fMZeS","eapinsan",,"female ego's mother's sister's son",,,,"Inferred; NA"
"fMZyS","eapinsan",,"female ego's mother's sister's son",,,,"Inferred; NA"
"fMBeD","eapinsan",,"female ego's mother's brother's daughter",,,,"Inferred; NA"
"fMByD","eapinsan",,"female ego's mother's brother's daughter",,,,"Inferred; NA"
"fMZeD","eapinsan",,"female ego's mother's sister's daughter",,,,"Inferred; NA"
"fMZyD","eapinsan",,"female ego's mother's sister's daughter",,,,"Inferred; NA"
