"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","rī",,"male ego's older brother",,,,"Gulick 1872-1880, Girschner 1906"
"myB","rī",,"male ego's younger brother",,,,"Gulick 1872-1880, Girschner 1906"
"feB","rī",,"female ego's older brother",,,,"Gulick 1872-1880, Girschner 1906"
"fyB","rī",,"female ego's younger brother",,,,"Gulick 1872-1880, Girschner 1906"
"meZ","rīali",,"male ego's older sister",,,,"Gulick 1872-1880, Girschner 1906"
"myZ","rīali",,"male ego's younger sister",,,,"Gulick 1872-1880, Girschner 1906"
"feZ","rīali",,"female ego's older sister",,,,"Gulick 1872-1880, Girschner 1906"
"fyZ","rīali",,"female ego's younger sister",,,,"Gulick 1872-1880, Girschner 1906"
"mF","pahpa, sahm",,"male ego's father",,,,"Rehg 1979, Girschner 1906"
"mM","ihn, nohno",,"male ego's mother",,,,"Rehg 1979, Girschner 1906"
"fF","pahpa, sahm",,"female ego's father",,,,"Rehg 1979, Girschner 1906"
"fM","ihn, nohno",,"female ego's mother",,,,"Rehg 1979, Girschner 1906"
"mS","nahi, jeri, pūtak",,"male ego's son",,,,"Rehg 1979, Girschner 1906"
"fS","nahi, jeri, pūtak",,"female ego's son",,,,"Rehg 1979, Girschner 1906"
"mD","nahi, jeri, jéripein",,"male ego's daughter",,,,"Rehg 1979, Girschner 1906"
"fD","nahi, jeri, jéripein",,"female ego's daughter",,,,"Rehg 1979, Girschner 1906"
"mFF","pahpa kahlap, sahm kahlap",,"male ego's father‘s father",,,,"Rehg 1979"
"mFM","ihn kahlap, nohno kahlap",,"male ego's father's mother",,,,"Rehg 1979"
"mMF","pahpa kahlap, sahm kahlap",,"male ego's mother's father",,,,"Rehg 1979"
"mMM","ihn kahlap, nohno kahlap",,"male ego's mother's mother",,,,"Rehg 1979"
"fFF","pahpa kahlap, sahm kahlap",,"female ego's father's father",,,,"Rehg 1979"
"fFM","ihn kahlap, nohno kahlap",,"female ego's father's mother",,,,"Rehg 1979"
"fMF","pahpa kahlap, sahm kahlap",,"female ego's mother's father",,,,"Rehg 1979"
"fMM","ihn kahlap, nohno kahlap",,"female ego's mother's mother",,,,"Rehg 1979"
"meBS","nahi",,"male ego's older brother's son",,,,"Rehg 1979"
"myBS","nahi",,"male ego's younger brother's son",,,,"Rehg 1979"
"meZS","nahi, uau",,"male ego's older sister's son",,,,"Rehg 1979, Girschner 1906"
"myZS","nahi, uau",,"male ego's younger sister's son",,,,"Rehg 1979, Girschner 1906"
"meBD","nahi",,"male ego's older brother's daughter",,,,"Rehg 1979"
"myBD","nahi",,"male ego's younger brother's daughter",,,,"Rehg 1979"
"meZD","nahi, uau",,"male ego's older sister's daughter",,,,"Rehg 1979, Girschner 1906"
"myZD","nahi, uau",,"male ego's younger sister's daughter",,,,"Rehg 1979, Girschner 1906"
"feBS","nahi, moanainai",,"female ego's older brother's son",,,,"Rehg 1979, Girschner 1906"
"fyBS","nahi, moanainai",,"female ego's younger brother's son",,,,"Rehg 1979, Girschner 1906"
"feZS","nahi",,"female ego's older sister's son",,,,"Rehg 1979"
"fyZS","nahi",,"female ego's younger sister's son",,,,"Rehg 1979"
"feBD","nahi, moanainai",,"female ego's older brother's daughter",,,,"Rehg 1979, Girschner 1906"
"fyBD","nahi, moanainai",,"female ego's younger brother's daughter",,,,"Rehg 1979, Girschner 1906"
"feZD","nahi",,"female ego's older sister's daughter",,,,"Rehg 1979"
"fyZD","nahi",,"female ego's younger sister's daughter",,,,"Rehg 1979"
"mFeB","pahpa, sahm",,"male ego's father's older brother",,,,"Rehg 1979"
"mFyB","pahpa, sahm",,"male ego's father's younger brother",,,,"Rehg 1979"
"mFeZ","ihn, nohno",,"male ego's father's older sister",,,,"Rehg 1979"
"mFyZ","ihn, nohno",,"male ego's father's younger sister",,,,"Rehg 1979"
"mMeB","ullap",,"male ego's mother's older brother",,,,"Rehg 1979"
"mMyB","ullap",,"male ego's mother's younger brother",,,,"Rehg 1979"
"mMeZ","ihn, nohno",,"male ego's mother's older sister",,,,"Rehg 1979"
"mMyZ","ihn, nohno",,"male ego's mother's younger sister",,,,"Rehg 1979"
"fFeB","pahpa, sahm",,"female ego's father's older brother",,,,"Rehg 1979"
"fFyB","pahpa, sahm",,"female ego's father's younger brother",,,,"Rehg 1979"
"fFeZ","ihn, nohno",,"female ego's father's older sister",,,,"Rehg 1979"
"fFyZ","ihn, nohno",,"female ego's father's younger sister",,,,"Rehg 1979"
