"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","tuqaka-",,"male ego's older brother",,,"PawleyRoss1995",
"myB","taci-",,"male ego's younger brother",,,"PawleyRoss1995",
"feB","mʷaqane",,"female ego's older brother",,,"PawleyRoss1995",
"fyB","mʷaqane",,"female ego's younger brother",,,"PawleyRoss1995",
"meZ","(pa)pine",,"male ego's older sister",,,"PawleyRoss1995",
"myZ","(pa)pine",,"male ego's younger sister",,,"PawleyRoss1995",
"feZ","tuqaka-",,"female ego's older sister",,,"PawleyRoss1995",
"fyZ","taci-",,"female ego's younger sister",,,"PawleyRoss1995",
"mF","tama-",,"male ego's father",,,"PawleyRoss1995",
"mM","tina-",,"male ego's mother",,,"PawleyRoss1995",
"fF","tama-",,"female ego's father",,,"PawleyRoss1995",
"fM","tina-",,"female ego's mother",,,"PawleyRoss1995",
"mS","natu-",,"male ego's son",,,"PawleyRoss1995",
"fS","natu-",,"female ego's son",,,"PawleyRoss1995",
"mD","natu-",,"male ego's daughter",,,"PawleyRoss1995",
"fD","natu-",,"female ego's daughter",,,"PawleyRoss1995",
"mSS","tibu, tubu, makubu",,"male ego's son's son",,,"PawleyRoss1995",
"mSD","tibu, tubu, makubu",,"male ego's son's daughter",,,"PawleyRoss1995",
"mDS","tibu, tubu, makubu",,"male ego's daughter's son",,,"PawleyRoss1995",
"mDD","tibu, tubu, makubu",,"male ego's daughter's daughter",,,"PawleyRoss1995",
"fSS","tibu, tubu, makubu",,"female ego's son's son",,,"PawleyRoss1995",
"fSD","tibu, tubu, makubu",,"female ego's son's daughter",,,"PawleyRoss1995",
"fDS","tibu, tubu, makubu",,"female ego's daughter's son",,,"PawleyRoss1995",
"fDD","tibu, tubu, makubu",,"female ego's daugher's daughter",,,"PawleyRoss1995",
"mFF","tibu, tubu",,"male ego's father‘s father",,,"PawleyRoss1995",
"mFM","tibu, tubu",,"male ego's father's mother",,,"PawleyRoss1995",
"mMF","tibu, tubu",,"male ego's mother's father",,,"PawleyRoss1995",
"mMM","tibu, tubu",,"male ego's mother's mother",,,"PawleyRoss1995",
"fFF","tibu, tubu",,"female ego's father's father",,,"PawleyRoss1995",
"fFM","tibu, tubu",,"female ego's father's mother",,,"PawleyRoss1995",
"fMF","tibu, tubu",,"female ego's mother's father",,,"PawleyRoss1995",
"fMM","tibu, tubu",,"female ego's mother's mother",,,"PawleyRoss1995",
"meBS","natu-",,"male ego's older brother's son",,,"PawleyRoss1995",
"myBS","natu-",,"male ego's younger brother's son",,,"PawleyRoss1995",
"meBD","natu-",,"male ego's older brother's daughter",,,"PawleyRoss1995",
"myBD","natu-",,"male ego's younger brother's daughter",,,"PawleyRoss1995",
"feZS","natu-",,"female ego's older sister's son",,,"PawleyRoss1995",
"fyZS","natu-",,"female ego's younger sister's son",,,"PawleyRoss1995",
"feZD","natu-",,"female ego's older sister's daughter",,,"PawleyRoss1995",
"fyZD","natu-",,"female ego's younger sister's daughter",,,"PawleyRoss1995",
"mFeB","tama-",,"male ego's father's older brother",,,"PawleyRoss1995",
"mFyB","tama-",,"male ego's father's younger brother",,,"PawleyRoss1995",
"mMeB","matuqa",,"male ego's mother's older brother",,,"PawleyRoss1995",
"mMyB","matuqa",,"male ego's mother's younger brother",,,"PawleyRoss1995",
"mMeZ","tina-",,"male ego's mother's older sister",,,"PawleyRoss1995",
"mMyZ","tina-",,"male ego's mother's younger sister",,,"PawleyRoss1995",
"fFeB","tama-",,"female ego's father's older brother",,,"PawleyRoss1995",
"fFyB","tama-",,"female ego's father's younger brother",,,"PawleyRoss1995",
"fMeB","matuqa",,"female ego's mother's older brother",,,"PawleyRoss1995",
"fMyB","matuqa",,"female ego's mother's younger brother",,,"PawleyRoss1995",
"fMeZ","tina-",,"female ego's mother's older sister",,,"PawleyRoss1995",
"fMyZ","tina-",,"female ego's mother's younger sister",,,"PawleyRoss1995",
"mW","qasawa-",,"male ego's wife",,,"PawleyRoss1995",
"fH","qasawa-",,"female ego‘s husband",,,"PawleyRoss1995",
"mWB","qipaR",,"male ego's wife's brother",,,"PawleyRoss1995",
"fHZ","qipaR",,"female ego's husband's sister",,,"PawleyRoss1995",
