parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,maroadi,,,,AUS53(149),ogawa_comparative_2006,
mZ,maroadi,,,,AUS53(149),ogawa_comparative_2006,
meB,malamailan,,,,AUS53(152),ogawa_comparative_2006,
myB,maranak,,,,AUS53(156),ogawa_comparative_2006,
meZ,malamailan,,,,AUS53(152),ogawa_comparative_2006,
myZ,maranak,,,,AUS53(156),ogawa_comparative_2006,
mF,ama,,,,AUS53(130),ogawa_comparative_2006,
mM,ina,,,,AUS53(134),ogawa_comparative_2006,
mM,taina,,,,AUS53(134),ogawa_comparative_2006,
mC,adak,,,,AUS53(139),ogawa_comparative_2006,
mA,tumoamoan,,,,AUS53(107),ogawa_comparative_2006,
mFF,tumoan,,,,AUS53(109),ogawa_comparative_2006,
mFM,tumoan,,,,AUS53(112),ogawa_comparative_2006,
mMF,tumoan,,,,AUS53(109),ogawa_comparative_2006,
mMM,tumoan,,,,AUS53(112),ogawa_comparative_2006,
mCC,tumoan,,,,AUS53(158),ogawa_comparative_2006,
mH,masarumakan,,,,AUS53(122),ogawa_comparative_2006,
mW,turumakan,,,,AUS53(125),ogawa_comparative_2006,
fB,maroadi,,,,AUS53(149),ogawa_comparative_2006,
fZ,maroadi,,,,AUS53(149),ogawa_comparative_2006,
feB,malamailan,,,,AUS53(152),ogawa_comparative_2006,
fyB,maranak,,,,AUS53(156),ogawa_comparative_2006,
feZ,malamailan,,,,AUS53(152),ogawa_comparative_2006,
fyZ,maranak,,,,AUS53(156),ogawa_comparative_2006,
fF,ama,,,,AUS53(130),ogawa_comparative_2006,
fM,ina,,,,AUS53(134),ogawa_comparative_2006,
fM,taina,,,,AUS53(134),ogawa_comparative_2006,
fC,adak,,,,AUS53(139),ogawa_comparative_2006,
fA,tumoamoan,,,,AUS53(107),ogawa_comparative_2006,
fFF,tumoan,,,,AUS53(109),ogawa_comparative_2006,
fFM,tumoan,,,,AUS53(112),ogawa_comparative_2006,
fMF,tumoan,,,,AUS53(109),ogawa_comparative_2006,
fMM,tumoan,,,,AUS53(112),ogawa_comparative_2006,
fCC,tumoan,,,,AUS53(158),ogawa_comparative_2006,
fH,masarumakan,,,,AUS53(122),ogawa_comparative_2006,
fW,turumakan,,,,AUS53(125),ogawa_comparative_2006,
