"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","tua-mʷa","tua-mʷa","male ego's older brother","tutu",,"Ennever2018",""
"myB","tua-mʷa","tua-mʷa","male ego's younger brother","tiɣi",,"Ennever2018",""
"feB","oɣosi","oɣosi","female ego's older brother","tutu",,"Ennever2018",""
"fyB","oɣosi","oɣosi","female ego's younger brother","tiɣi",,"Ennever2018",""
"meZ","oɣosi","oɣosi","male ego's older sister","tutu",,"Ennever2018",""
"myZ","oɣosi","oɣosi","male ego's younger sister","tiɣi",,"Ennever2018",""
"feZ","tua-mʷa","tua-mʷa","female ego's older sister","tutu",,"Ennever2018",""
"fyZ","tua-mʷa","tua-mʷa","female ego's younger sister","tiɣi",,"Ennever2018",""
"mF","tata","tata","male ego's father","",,"Ennever2018",""
"mM","mʷua","mʷua","male ego's mother","",,"Ennever2018",""
"fF","tata","tata","female ego's father","",,"Ennever2018",""
"fM","mʷua","mʷua","female ego's mother","",,"Ennever2018",""
"mS","nitu-ku","nitu-ku","male ego's son","tari",,"Ennever2018",""
"fS","nitu-ku","nitu-ku","female ego's son","tari",,"Ennever2018",""
"mD","nitu-ku","nitu-ku","male ego's daughter","mʷei",,"Ennever2018",""
"fD","nitu-ku","nitu-ku","female ego's daughter","mʷei",,"Ennever2018",""
"mSS","tiɣi","tiɣi","male ego's son's son","tiɣi-ku atamʷani",,"Ennever2018",""
"mSD","tiɣi","tiɣi","male ego's son's daughter","tiɣi-ku favine",,"Ennever2018",""
"mDS","tiɣi","tiɣi","male ego's daughter's son","tiɣi-ku atamʷani",,"Ennever2018",""
"mDD","tiɣi","tiɣi","male ego's daughter's daughter","tiɣi-ku favine",,"Ennever2018",""
"fSS","tiɣi","tiɣi","female ego's son's son","tiɣi-ku atamʷani",,"Ennever2018",""
"fSD","tiɣi","tiɣi","female ego's son's daughter","tiɣi-ku favine",,"Ennever2018",""
"fDS","tiɣi","tiɣi","female ego's daughter's son","tiɣi-ku atamʷani",,"Ennever2018",""
"fDD","tiɣi","tiɣi","female ego's daugher's daughter","tiɣi-ku favine",,"Ennever2018",""
"mFF","bibi","bibi","male ego's father‘s father","bibi atamʷani",,"Ennever2018",""
"mFM","bibi","bibi","male ego's father's mother","bibi favine",,"Ennever2018",""
"mMF","bibi","bibi","male ego's mother's father","bibi atamʷani",,"Ennever2018",""
"mMM","tutu","tutu","male ego's mother's mother","",,"Ennever2018",""
"fFF","bibi","bibi","female ego's father's father","bibi atamʷani",,"Ennever2018",""
"fFM","bibi","bibi","female ego's father's mother","bibi favine",,"Ennever2018",""
"fMF","bibi","bibi","female ego's mother's father","bibi atamʷani",,"Ennever2018",""
"fMM","tutu","tutu","female ego's mother's mother","",,"Ennever2018",""
"meBS","nitu-ku","nitu-ku","male ego's older brother's son","tari",,"Ennever2018",""
"myBS","nitu-ku","nitu-ku","male ego's younger brother's son","tari",,"Ennever2018",""
"meZS","aloa","aloa","male ego's older sister's son","",,"Ennever2018",""
"myZS","aloa","aloa","male ego's younger sister's son","",,"Ennever2018",""
"meBD","nitu-ku","nitu-ku","male ego's older brother's daughter","",,"Ennever2018",""
"myBD","nitu-ku","nitu-ku","male ego's younger brother's daughter","",,"Ennever2018",""
"meZD","aloa","aloa","male ego's older sister's daughter","",,"Ennever2018",""
"myZD","aloa","aloa","male ego's younger sister's daughter","",,"Ennever2018",""
"feBS","nitu-ku","nitu-ku","female ego's older brother's son","tari",,"Ennever2018",""
"fyBS","nitu-ku","nitu-ku","female ego's younger brother's son","tari",,"Ennever2018",""
"feZS","nitu-ku","nitu-ku","female ego's older sister's son","tari",,"Ennever2018",""
"fyZS","nitu-ku","nitu-ku","female ego's younger sister's son","tari",,"Ennever2018",""
"feBD","nitu-ku","nitu-ku","female ego's older brother's daughter","",,"Ennever2018",""
"fyBD","nitu-ku","nitu-ku","female ego's younger brother's daughter","",,"Ennever2018",""
"feZD","nitu-ku","nitu-ku","female ego's older sister's daughter","",,"Ennever2018",""
"fyZD","nitu-ku","nitu-ku","female ego's younger sister's daughter","",,"Ennever2018",""
"mFeB","tata","tata","male ego's father's older brother","",,"Ennever2018",""
"mFyB","tata","tata","male ego's father's younger brother","",,"Ennever2018",""
"mFeZ","fafʷa","fafʷa","male ego's father's older sister","",,"Ennever2018",""
"mFyZ","fafʷa","fafʷa","male ego's father's younger sister","",,"Ennever2018",""
"mMeB","bena","bena","male ego's mother's older brother","",,"Ennever2018",""
"mMyB","bena","bena","male ego's mother's younger brother","",,"Ennever2018",""
"mMeZ","mʷua","mʷua","male ego's mother's older sister","",,"Ennever2018",""
"mMyZ","mʷua","mʷua","male ego's mother's younger sister","",,"Ennever2018",""
"fFeB","tata","tata","female ego's father's older brother","",,"Ennever2018",""
"fFyB","tata","tata","female ego's father's younger brother","",,"Ennever2018",""
"fFeZ","fafʷa","fafʷa","female ego's father's older sister","",,"Ennever2018",""
"fFyZ","fafʷa","fafʷa","female ego's father's younger sister","",,"Ennever2018",""
"fMeB","bena","bena","female ego's mother's older brother","",,"Ennever2018",""
"fMyB","bena","bena","female ego's mother's younger brother","",,"Ennever2018",""
"fMeZ","mʷua","mʷua","female ego's mother's older sister","",,"Ennever2018",""
"fMyZ","mʷua","mʷua","female ego's mother's younger sister","",,"Ennever2018",""
"mW","tasala-ku","tasala-ku","male ego's wife","",,"Ennever2018",""
"fH","aɣo-ku","aɣo-ku","female ego‘s husband","",,"Ennever2018",""
"mDH","bʷaliɣa","bʷaliɣa","male ego's daughter's husband","",,"Ennever2018",""
"fDH","bʷaliɣa","bʷaliɣa","female ego's daughter's husband","",,"Ennever2018",""
"mSW","aloa (?)","aloa (?)","male ego's son's wife","",,"Ennever2018",""
"fSW","aloa (?)","aloa (?)","female ego's son's wife","",,"Ennever2018",""
"mWF","ˈᵐbʷaliɣa","ˈᵐbʷaliɣa","male ego's wife's father","",,"Ennever2018",""
"mWM","mʷei","mʷei","male ego's wife's mother","",,"Ennever2018",""
"fHM","bibi","bibi","female ego's husband's mother","bibi favine",,"Ennever2018",""
"mBW","bibi","bibi","male ego's brother's wife","bulenaŋgu",,"Ennever2018",""
"mZH","bibi","bibi","male ego's sister's husband","bulenaŋgu",,"Ennever2018",""
"mFBS","tua-mʷa","tua-mʷa","male ego's father's brother's son","",,"Ennever2018",""
"mFZS","tata","tata","male ego's father's sister's son","",,"Ennever2018",""
"mMBS","kuku","kuku","male ego's mother's brother's son","kuku atamʷa",,"Ennever2018",""
"mMZS","tua-mʷa","tua-mʷa","male ego's mother's sister's son","",,"Ennever2018",""
"mFBD","oɣosi","oɣosi","male ego's father's brother's daughter","",,"Ennever2018",""
"mFZD","fafʷa","fafʷa","male ego's father's sister's daughter","",,"Ennever2018",""
"mMBD","kuku","kuku","male ego's mother's brother's daughter","kuku favine",,"Ennever2018",""
"mMZD","oɣosi","oɣosi","male ego's mother's sister's daughter","",,"Ennever2018",""
"mFeBS","tua-mʷa","tua-mʷa","male ego's father's brother's son","",,"Ennever2018","Inferred; NA"
"mFyBS","tua-mʷa","tua-mʷa","male ego's father's brother's son","",,"Ennever2018","Inferred; NA"
"mFeZS","tata","tata","male ego's father's sister's son","",,"Ennever2018","Inferred; NA"
"mFyZS","tata","tata","male ego's father's sister's son","",,"Ennever2018","Inferred; NA"
"mFeBD","oɣosi","oɣosi","male ego's father's brother's daughter","",,"Ennever2018","Inferred; NA"
"mFyBD","oɣosi","oɣosi","male ego's father's brother's daughter","",,"Ennever2018","Inferred; NA"
"mFeZD","fafʷa","fafʷa","male ego's father's sister's daughter","",,"Ennever2018","Inferred; NA"
"mFyZD","fafʷa","fafʷa","male ego's father's sister's daughter","",,"Ennever2018","Inferred; NA"
"mMeBS","kuku","kuku","male ego's mother's brother's son","kuku atamʷa",,"Ennever2018","Inferred; NA"
"mMyBS","kuku","kuku","male ego's mother's brother's son","kuku atamʷa",,"Ennever2018","Inferred; NA"
"mMeZS","tua-mʷa","tua-mʷa","male ego's mother's sister's son","",,"Ennever2018","Inferred; NA"
"mMyZS","tua-mʷa","tua-mʷa","male ego's mother's sister's son","",,"Ennever2018","Inferred; NA"
"mMeBD","kuku","kuku","male ego's mother's brother's daughter","kuku favine",,"Ennever2018","Inferred; NA"
"mMyBD","kuku","kuku","male ego's mother's brother's daughter","kuku favine",,"Ennever2018","Inferred; NA"
"mMeZD","oɣosi","oɣosi","male ego's mother's sister's daughter","",,"Ennever2018","Inferred; NA"
"mMyZD","oɣosi","oɣosi","male ego's mother's sister's daughter","",,"Ennever2018","Inferred; NA"
"mFBeS","tua-mʷa","tua-mʷa","male ego's father's brother's son","",,"Ennever2018","Inferred; NA"
"mFByS","tua-mʷa","tua-mʷa","male ego's father's brother's son","",,"Ennever2018","Inferred; NA"
"mFZeS","tata","tata","male ego's father's sister's son","",,"Ennever2018","Inferred; NA"
"mFZyS","tata","tata","male ego's father's sister's son","",,"Ennever2018","Inferred; NA"
"mFBeD","oɣosi","oɣosi","male ego's father's brother's daughter","",,"Ennever2018","Inferred; NA"
"mFByD","oɣosi","oɣosi","male ego's father's brother's daughter","",,"Ennever2018","Inferred; NA"
"mFZeD","fafʷa","fafʷa","male ego's father's sister's daughter","",,"Ennever2018","Inferred; NA"
"mFZyD","fafʷa","fafʷa","male ego's father's sister's daughter","",,"Ennever2018","Inferred; NA"
"mMBeS","kuku","kuku","male ego's mother's brother's son","kuku atamʷa",,"Ennever2018","Inferred; NA"
"mMByS","kuku","kuku","male ego's mother's brother's son","kuku atamʷa",,"Ennever2018","Inferred; NA"
"mMZeS","tua-mʷa","tua-mʷa","male ego's mother's sister's son","",,"Ennever2018","Inferred; NA"
"mMZyS","tua-mʷa","tua-mʷa","male ego's mother's sister's son","",,"Ennever2018","Inferred; NA"
"mMBeD","kuku","kuku","male ego's mother's brother's daughter","kuku favine",,"Ennever2018","Inferred; NA"
"mMByD","kuku","kuku","male ego's mother's brother's daughter","kuku favine",,"Ennever2018","Inferred; NA"
"mMZeD","oɣosi","oɣosi","male ego's mother's sister's daughter","",,"Ennever2018","Inferred; NA"
"mMZyD","oɣosi","oɣosi","male ego's mother's sister's daughter","",,"Ennever2018","Inferred; NA"
