parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
myB,tei,,,,AUS36(127),mead_social_1930,
meZ,tuafafine,,,,AUS36(127),mead_social_1930,
myZ,tuafafine,,,,AUS36(127),mead_social_1930,
myZ,tei,,,,AUS36(127),mead_social_1930,
mP,mātua,,,,AUS13(52),pratt_grammar_1893,
mM,tinā,,,,AUS13(48),pratt_grammar_1893,
mC,tama,,,,AUS36(127),mead_social_1930,
mD,afafine,,,,AUS13(32),pratt_grammar_1893,
mD,afafine,,,,AUS36(127),mead_social_1930,
mA,tupu'aga,,,,AUS36(127),mead_social_1930,
mFF,tamā,,,,AUS36(127),mead_social_1930,
mFM,tinā,,,,AUS36(127),mead_social_1930,
mMF,tamā,,,,AUS36(127),mead_social_1930,
mMM,tinā,,,,AUS36(127),mead_social_1930,
mSS,atali'i,,,,AUS36(127),mead_social_1930,tama only used from grandchild by a women
mSD,afafine,,,,AUS36(127),mead_social_1930,tama only used from grandchild by a women
mDS,tama,,,,AUS36(127),mead_social_1930,tama only used from grandchild by a women
mDD,afafine,,,,AUS36(127),mead_social_1930,tama only used from grandchild by a women
mFB,le uso o le tamā,,,,AUS13(67),pratt_grammar_1893,
mFZ,ilamutu,,,,AUS36(127),mead_social_1930,
mMB,le tuagane o le tinā,,,,AUS13(67),pratt_grammar_1893,
mFeB,le uso o le tamā,,,,AUS13(67),pratt_grammar_1893,
mFyB,le uso o le tamā,,,,AUS13(67),pratt_grammar_1893,
mMeB,le tuagane o le tinā,,,,AUS13(67),pratt_grammar_1893,
mMyB,le tuagane o le tinā,,,,AUS13(67),pratt_grammar_1893,
mZS,tamafafine,,,,AUS13(199),pratt_grammar_1893,children of a sister
mZD,tamafafine,,,,AUS13(199),pratt_grammar_1893,children of a sister
meZS,tamafafine,,,,AUS13(199),pratt_grammar_1893,children of a sister
myZS,tamafafine,,,,AUS13(199),pratt_grammar_1893,children of a sister
meZD,tamafafine,,,,AUS13(199),pratt_grammar_1893,children of a sister
myZD,tamafafine,,,,AUS13(199),pratt_grammar_1893,children of a sister
mFZD,tuafafine,,,,AUS36(127),mead_social_1930,
mFBD,tuafafine,,,,AUS36(127),mead_social_1930,
mMBD,tuafafine,,,,AUS36(127),mead_social_1930,
mMZD,tuafafine,,,,AUS36(127),mead_social_1930,
mFBS,uso,,,,AUS36(127),mead_social_1930,
mFZS,uso,,,,AUS36(127),mead_social_1930,
mMBS,uso,,,,AUS36(127),mead_social_1930,
mMZS,uso,,,,AUS36(127),mead_social_1930,
mFeBS,uso,,,,AUS36(127),mead_social_1930,
mFyBS,uso,,,,AUS36(127),mead_social_1930,
mFeZS,uso,,,,AUS36(127),mead_social_1930,
mFyZS,uso,,,,AUS36(127),mead_social_1930,
mFeBD,tuafafine,,,,AUS36(127),mead_social_1930,
mFyBD,tuafafine,,,,AUS36(127),mead_social_1930,
mFeZD,tuafafine,,,,AUS36(127),mead_social_1930,
mFyZD,tuafafine,,,,AUS36(127),mead_social_1930,
mMeBS,uso,,,,AUS36(127),mead_social_1930,
mMyBS,uso,,,,AUS36(127),mead_social_1930,
mMeZS,uso,,,,AUS36(127),mead_social_1930,
mMyZS,uso,,,,AUS36(127),mead_social_1930,
mMeBD,tuafafine,,,,AUS36(127),mead_social_1930,
mMyBD,tuafafine,,,,AUS36(127),mead_social_1930,
mMeZD,tuafafine,,,,AUS36(127),mead_social_1930,
mMyZD,tuafafine,,,,AUS36(127),mead_social_1930,
mFBeS,uso,,,,AUS36(127),mead_social_1930,
mFByS,uso,,,,AUS36(127),mead_social_1930,
mFZeS,uso,,,,AUS36(127),mead_social_1930,
mFZyS,uso,,,,AUS36(127),mead_social_1930,
mFBeD,tuafafine,,,,AUS36(127),mead_social_1930,
mFByD,tuafafine,,,,AUS36(127),mead_social_1930,
mFZeD,tuafafine,,,,AUS36(127),mead_social_1930,
mFZyD,tuafafine,,,,AUS36(127),mead_social_1930,
mMBeS,uso,,,,AUS36(127),mead_social_1930,
mMByS,uso,,,,AUS36(127),mead_social_1930,
mMZeS,uso,,,,AUS36(127),mead_social_1930,
mMZyS,uso,,,,AUS36(127),mead_social_1930,
mMBeD,tuafafine,,,,AUS36(127),mead_social_1930,
mMByD,tuafafine,,,,AUS36(127),mead_social_1930,
mMZeD,tuafafine,,,,AUS36(127),mead_social_1930,
mMZyD,tuafafine,,,,AUS36(127),mead_social_1930,
mE,toalua,,,,AUS36(127),mead_social_1930,
mHF,tamā,,,,AUS35(127),elbert_two_1965-1,
mHM,tinā,,,,AUS36(127),mead_social_1930,
mWF,tamā,,,,AUS35(127),elbert_two_1965-1,
mWM,tinā,,,,,,
mFeZ,ilamutu,,,,AUS36(127),mead_social_1930,Inferred; NA
mFyZ,ilamutu,,,,AUS36(127),mead_social_1930,Inferred; NA
fZ,uso,,,,AUS36(127),mead_social_1930,
fyB,tei,,,,AUS36(127),mead_social_1930,
feZ,uso,,,,AUS36(127),mead_social_1930,
fyZ,uso,,,,AUS36(127),mead_social_1930,
fyZ,tei,,,,AUS36(127),mead_social_1930,
fP,mātua,,,,AUS13(52),pratt_grammar_1893,
fM,tinā,,,,AUS13(48),pratt_grammar_1893,
fC,tama,,,,AUS36(127),mead_social_1930,
fD,tama teine,,,,AUS13(32),pratt_grammar_1893,
fD,afafine,,,,AUS36(127),mead_social_1930,
fA,tupu'aga,,,,AUS36(127),mead_social_1930,
fFF,tamā,,,,AUS36(127),mead_social_1930,
fFM,tinā,,,,AUS36(127),mead_social_1930,
fMF,tamā,,,,AUS36(127),mead_social_1930,
fMM,tinā,,,,AUS36(127),mead_social_1930,
fCC,tama,,,,AUS36(127),mead_social_1930,tama only used from grandchild by a women
fSS,tama,,,,AUS36(127),mead_social_1930,tama only used from grandchild by a women
fSD,tama,,,,AUS36(127),mead_social_1930,tama only used from grandchild by a women
fDS,tama,,,,AUS36(127),mead_social_1930,tama only used from grandchild by a women
fDD,tama,,,,AUS36(127),mead_social_1930,tama only used from grandchild by a women
fFB,le uso o le tamā,,,,AUS13(67),pratt_grammar_1893,
fFZ,ilamutu,,,,AUS36(127),mead_social_1930,
fMB,le tuagane o le tinā,,,,AUS13(67),pratt_grammar_1893,
fFeB,le uso o le tamā,,,,AUS13(67),pratt_grammar_1893,
fFyB,le uso o le tamā,,,,AUS13(67),pratt_grammar_1893,
fMeB,le tuagane o le tinā,,,,AUS13(67),pratt_grammar_1893,
