"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","flanek, lagi, twege",,"male ego's older brother",,,"Elkins1984",
"myB","flanek, lagi, twali",,"male ego's younger brother",,,"Elkins1984",
"feB","flanek, lagi, twege",,"female ego's older brother",,,"Elkins1984",
"fyB","flanek, lagi, twali",,"female ego's younger brother",,,"Elkins1984",
"meZ","flanek, libun, twege",,"male ego's older sister",,,"Elkins1984",
"myZ","flanek, libun, twali",,"male ego's younger sister",,,"Elkins1984",
"feZ","flanek, libun, twege",,"female ego's older sister",,,"Elkins1984",
"fyZ","flanek, libun, twali",,"female ego's younger sister",,,"Elkins1984",
"mF","maq",,"male ego's father",,,"Elkins1984",
"mM","yéq",,"male ego's mother",,,"Elkins1984",
"fF","maq",,"female ego's father",,,"Elkins1984",
"fM","yéq",,"female ego's mother",,,"Elkins1984",
"mS","tingaq",,"male ego's son",,,"Elkins1984",
"fS","tingaq",,"female ego's son",,,"Elkins1984",
"mD","tingaq",,"male ego's daughter",,,"Elkins1984",
"fD","tingaq",,"female ego's daughter",,,"Elkins1984",
"mSS","fuq",,"male ego's son's son",,,"Elkins1984",
"mSD","fuq",,"male ego's son's daughter",,,"Elkins1984",
"mDS","fuq",,"male ego's daughter's son",,,"Elkins1984",
"mDD","fuq",,"male ego's daughter's daughter",,,"Elkins1984",
"fSS","fuq",,"female ego's son's son",,,"Elkins1984",
"fSD","fuq",,"female ego's son's daughter",,,"Elkins1984",
"fDS","fuq",,"female ego's daughter's son",,,"Elkins1984",
"fDD","fuq",,"female ego's daugher's daughter",,,"Elkins1984",
"mFF","fuq",,"male ego's father‘s father",,,"Elkins1984",
"mFM","fuq",,"male ego's father's mother",,,"Elkins1984",
"mMF","fuq",,"male ego's mother's father",,,"Elkins1984",
"mMM","fuq",,"male ego's mother's mother",,,"Elkins1984",
"fFF","fuq",,"female ego's father's father",,,"Elkins1984",
"fFM","fuq",,"female ego's father's mother",,,"Elkins1984",
"fMF","fuq",,"female ego's mother's father",,,"Elkins1984",
"fMM","fuq",,"female ego's mother's mother",,,"Elkins1984",
"meBS","anak, asal tingaq",,"male ego's older brother's son",,,"Elkins1984",
"myBS","anak, asal tingaq",,"male ego's younger brother's son",,,"Elkins1984",
"meZS","anak, asal tingaq",,"male ego's older sister's son",,,"Elkins1984",
"myZS","anak, asal tingaq",,"male ego's younger sister's son",,,"Elkins1984",
"meBD","anak, asal tingaq",,"male ego's older brother's daughter",,,"Elkins1984",
"myBD","anak, asal tingaq",,"male ego's younger brother's daughter",,,"Elkins1984",
"meZD","anak, asal tingaq",,"male ego's older sister's daughter",,,"Elkins1984",
"myZD","anak, asal tingaq",,"male ego's younger sister's daughter",,,"Elkins1984",
"feBS","anak, asal tingaq",,"female ego's older brother's son",,,"Elkins1984",
"fyBS","anak, asal tingaq",,"female ego's younger brother's son",,,"Elkins1984",
"feZS","anak, asal tingaq",,"female ego's older sister's son",,,"Elkins1984",
"fyZS","anak, asal tingaq",,"female ego's younger sister's son",,,"Elkins1984",
"feBD","anak, asal tingaq",,"female ego's older brother's daughter",,,"Elkins1984",
"fyBD","anak, asal tingaq",,"female ego's younger brother's daughter",,,"Elkins1984",
"feZD","anak, asal tingaq",,"female ego's older sister's daughter",,,"Elkins1984",
"fyZD","anak, asal tingaq",,"female ego's younger sister's daughter",,,"Elkins1984",
"mFeB","faq",,"male ego's father's older brother",,,"Elkins1984",
"mFyB","faq",,"male ego's father's younger brother",,,"Elkins1984",
"mFeZ","bong yéq, kalyéq",,"male ego's father's older sister",,,"Elkins1984",
"mFyZ","bong yéq, kalyéq",,"male ego's father's younger sister",,,"Elkins1984",
"mMeB","faq",,"male ego's mother's older brother",,,"Elkins1984",
"mMyB","faq",,"male ego's mother's younger brother",,,"Elkins1984",
"mMeZ","bong yéq, kalyéq",,"male ego's mother's older sister",,,"Elkins1984",
"mMyZ","bong yéq, kalyéq",,"male ego's mother's younger sister",,,"Elkins1984",
"fFeB","faq",,"female ego's father's older brother",,,"Elkins1984",
"fFyB","faq",,"female ego's father's younger brother",,,"Elkins1984",
"fFeZ","bong yéq, kalyéq",,"female ego's father's older sister",,,"Elkins1984",
"fFyZ","bong yéq, kalyéq",,"female ego's father's younger sister",,,"Elkins1984",
"fMeB","faq",,"female ego's mother's older brother",,,"Elkins1984",
"fMyB","faq",,"female ego's mother's younger brother",,,"Elkins1984",
"fMeZ","bong yéq, kalyéq",,"female ego's mother's older sister",,,"Elkins1984",
"fMyZ","bong yéq, kalyéq",,"female ego's mother's younger sister",,,"Elkins1984",
"mW","yaqan",,"male ego's wife",,,"Elkins1984",
"fH","yaqan",,"female ego‘s husband",,,"Elkins1984",
"mDH","tewe",,"male ego's daughter's husband",,,"Elkins1984",
"fDH","tewe",,"female ego's daughter's husband",,,"Elkins1984",
"mSW","tewe",,"male ego's son's wife",,,"Elkins1984",
"fSW","tewe",,"female ego's son's wife",,,"Elkins1984",
"mWF","tewe faq",,"male ego's wife's father",,,"Elkins1984",
"mWM","tewe kalyéq",,"male ego's wife's mother",,,"Elkins1984",
"mWB","feq",,"male ego's wife's brother",,,"Elkins1984",
"mWZ","féq",,"male ego's wife's sister",,,"Elkins1984",
"fHF","tewe faq",,"female ego's husband's father",,,"Elkins1984",
"fHM","tewe kalyéq",,"female ego's husband's mother",,,"Elkins1984",
"fHB","féq",,"female ego's husband's brother",,,"Elkins1984",
"fHZ","féq",,"female ego's husband's sister",,,"Elkins1984",
"mBW","féq",,"male ego's brother's wife",,,"Elkins1984",
"fBW","féq",,"female ego's brother's wife",,,"Elkins1984",
"mZH","feq",,"male ego's sister's husband",,,"Elkins1984",
"fZH","féq",,"female ego's sister's husband",,,"Elkins1984",
"mFBeS","flanek, lagi, twege",,"male ego‘s father‘s brother‘s older son",,,"Elkins1984",
"mFByS","flanek, lagi, twali",,"male ego‘s father‘s brother‘s younger son",,,"Elkins1984",
"mFBeD","flanek, libun, twege",,"male ego‘s father‘s brother‘s older daughter",,,"Elkins1984",
"mFByD","flanek, libun, twali",,"male ego‘s father‘s brother‘s younger daughter",,,"Elkins1984",
"mFZeS","flanek, lagi, twege",,"male ego‘s father‘s sisters‘s older son",,,"Elkins1984",
"mFZyS","flanek, lagi, twali",,"male ego‘s father‘s sisters‘s younger son",,,"Elkins1984",
"mFZeD","flanek, libun, twege",,"male ego‘s father‘s sisters‘s older daughter",,,"Elkins1984",
"mFZyD","flanek, libun, twali",,"male ego‘s father‘s sisters‘s younger daughter",,,"Elkins1984",
"mMBeS","flanek, lagi, twege",,"male ego‘s mother‘s brother‘s older son",,,"Elkins1984",
"mMByS","flanek, lagi, twali",,"male ego‘s mother‘s brother‘s younger son",,,"Elkins1984",
"mMBeD","flanek, libun, twege",,"male ego‘s mother‘s brother‘s older daughter",,,"Elkins1984",
"mMByD","flanek, libun, twali",,"male ego‘s mother‘s brother‘s younger daughter",,,"Elkins1984",
"mMZeS","flanek, lagi, twege",,"male ego‘s mother‘s sisters‘s older son",,,"Elkins1984",
"mMZyS","flanek, lagi, twali",,"male ego‘s mother‘s sisters‘s younger son",,,"Elkins1984",
"mMZeD","flanek, libun, twege",,"male ego‘s mother‘s sisters‘s older daughter",,,"Elkins1984",
"mMZyD","flanek, libun, twali",,"male ego‘s mother‘s sisters‘s younger daughter",,,"Elkins1984",
"fFBeS","flanek, lagi, twege",,"female ego‘s father‘s brother‘s older son",,,"Elkins1984",
"fFByS","flanek, lagi, twali",,"female ego‘s father‘s brother‘s younger son",,,"Elkins1984",
"fFBeD","flanek, libun, twege",,"female ego‘s father‘s brother‘s older daughter",,,"Elkins1984",
"fFByD","flanek, libun, twali",,"female ego‘s father‘s brother‘s younger daughter",,,"Elkins1984",
"fFZeS","flanek, lagi, twege",,"female ego‘s father‘s sisters‘s older son",,,"Elkins1984",
"fFZyS","flanek, lagi, twali",,"female ego‘s father‘s sisters‘s younger son",,,"Elkins1984",
"fFZeD","flanek, libun, twege",,"female ego‘s father‘s sisters‘s older daughter",,,"Elkins1984",
"fFZyD","flanek, libun, twali",,"female ego‘s father‘s sisters‘s younger daughter",,,"Elkins1984",
"fMBeS","flanek, lagi, twege",,"female ego‘s mother‘s brother‘s older son",,,"Elkins1984",
"fMByS","flanek, lagi, twali",,"female ego‘s mother‘s brother‘s younger son",,,"Elkins1984",
