parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"avenhai, prata",,male ego's older brother,,,Crowley2000,
myB,"avenhai, prata",,male ego's younger brother,,,Crowley2000,
feB,"man, prata",,female ego's older brother,,,Crowley2000,
fyB,"man, nate viroc, prata",,female ego's younger brother,,,Crowley2000,
meZ,veven,,male ego's older sister,,,Crowley2000,
myZ,veven,,male ego's younger sister,,,Crowley2000,
feZ,avenhai,,female ego's older sister,,,Crowley2000,
fyZ,avenhai,,female ego's younger sister,,,Crowley2000,
mF,"etmen, itmen, nate, papa",,male ego's father,,,Crowley2000,
mM,"mama, namou, ndinme",,male ego's mother,,,Crowley2000,
fF,"etmen, itmen, nate, papa",,female ego's father,,,Crowley2000,
fM,"mama, namou, ndinme",,female ego's mother,,,Crowley2000,
mS,"nelgalau, neten, netni, nitni",,male ego's son,,,Crowley2000,
fS,"nelgalau, neten, netni, nitni",,female ego's son,,,Crowley2000,
mD,"nelgalau, neten, netni, nitni",,male ego's daughter,,,Crowley2000,
fD,"nelgalau, neten, netni, nitni",,female ego's daughter,,,Crowley2000,
mSS,mocpon,,male ego's son's son,,,Crowley2000,
mSD,mocpon,,male ego's son's daughter,,,Crowley2000,
mDS,mocpon,,male ego's daughter's son,,,Crowley2000,
mDD,mocpon,,male ego's daughter's daughter,,,Crowley2000,
fSS,mocpon,,female ego's son's son,,,Crowley2000,
fSD,mocpon,,female ego's son's daughter,,,Crowley2000,
fDS,mocpon,,female ego's daughter's son,,,Crowley2000,
fDD,mocpon,,female ego's daugher's daughter,,,Crowley2000,
mFF,"(i)tahen, (i)tais",,male ego's father‘s father,,,Crowley2000,
mFM,uyon,,male ego's father's mother,,,Crowley2000,
mMF,"(i)tahen, (i)tais",,male ego's mother's father,,,Crowley2000,
mMM,uyon,,male ego's mother's mother,,,Crowley2000,
fFF,"(i)tahen, (i)tais",,female ego's father's father,,,Crowley2000,
fFM,uyon,,female ego's father's mother,,,Crowley2000,
fMF,"(i)tahen, (i)tais",,female ego's mother's father,,,Crowley2000,
fMM,uyon,,female ego's mother's mother,,,Crowley2000,
meBS,"alwon, neten, netni, nitni",,male ego's older brother's son,,,Crowley2000,
myBS,"alwon, neten, netni, nitni",,male ego's younger brother's son,,,Crowley2000,
meZS,alwon,,male ego's older sister's son,,,Crowley2000,
myZS,alwon,,male ego's younger sister's son,,,Crowley2000,
meBD,"alwon, neten, netni, nitni",,male ego's older brother's daughter,,,Crowley2000,
myBD,"alwon, neten, netni, nitni",,male ego's younger brother's daughter,,,Crowley2000,
meZD,alwon,,male ego's older sister's daughter,,,Crowley2000,
myZD,alwon,,male ego's younger sister's daughter,,,Crowley2000,
feBS,eten,,female ego's older brother's son,,,Crowley2000,
fyBS,eten,,female ego's younger brother's son,,,Crowley2000,
feZS,eten,,female ego's older sister's son,,,Crowley2000,
fyZS,eten,,female ego's younger sister's son,,,Crowley2000,
feBD,eten,,female ego's older brother's daughter,,,Crowley2000,
fyBD,eten,,female ego's younger brother's daughter,,,Crowley2000,
feZD,"eten, neten, netni, nitni",,female ego's older sister's daughter,,,Crowley2000,
fyZD,"eten, neten, netni, nitni",,female ego's younger sister's daughter,,,Crowley2000,
mFeB,itviroc,,male ego's father's older brother,,,Crowley2000,
mFyB,"itviroc, nate viroc",,male ego's father's younger brother,,,Crowley2000,
mFeZ,"namou viroc, ndetwon, retun",,male ego's father's older sister,,,Crowley2000,
mFyZ,"namou viroc, ndetwon, retun",,male ego's father's younger sister,,,Crowley2000,
mMeB,metan,,male ego's mother's older brother,,,Crowley2000,
mMyB,metan,,male ego's mother's younger brother,,,Crowley2000,
mMeZ,"ndetwon, retun, ndinmepelec",,male ego's mother's older sister,,,Crowley2000,
mMyZ,"ndetwon, retun, ndinmepelec, namou viroc",,male ego's mother's younger sister,,,Crowley2000,
fFeB,itviroc,,female ego's father's older brother,,,Crowley2000,
fFyB,"itviroc, nate viroc",,female ego's father's younger brother,,,Crowley2000,
fFeZ,"namou viroc, ndetwon, retun",,female ego's father's older sister,,,Crowley2000,
fFyZ,"namou viroc, ndetwon, retun",,female ego's father's younger sister,,,Crowley2000,
fMeB,metan,,female ego's mother's older brother,,,Crowley2000,
fMyB,metan,,female ego's mother's younger brother,,,Crowley2000,
fMeZ,"ndetwon, retun, ndinmepelec",,female ego's mother's older sister,,,Crowley2000,
fMyZ,"ndetwon, retun, ndinmepelec, namou viroc",,female ego's mother's younger sister,,,Crowley2000,
mW,retpon,,male ego's wife,,,Crowley2000,
fH,"ahwon, asun",,female ego‘s husband,,,Crowley2000,
mDH,etemachi,,male ego's daughter's husband,,,Crowley2000,
fDH,etemachi,,female ego's daughter's husband,,,Crowley2000,
mSW,etemachi,,male ego's son's wife,,,Crowley2000,
fSW,etemachi,,female ego's son's wife,,,Crowley2000,
mWF,etemachi,,male ego's wife's father,,,Crowley2000,
mWM,"etemachi, ntample",,male ego's wife's mother,,,Crowley2000,
mWB,etemachi,,male ego's wife's brother,,,Crowley2000,
mWZ,avenai,,male ego's wife's sister,,,Crowley2000,
fHF,etemachi,,female ego's husband's father,,,Crowley2000,
fHM,"etemachi, ntample",,female ego's husband's mother,,,Crowley2000,
fHB,etemachi,,female ego's husband's brother,,,Crowley2000,
fHZ,etemachi,,female ego's husband's sister,,,Crowley2000,
mBW,rovgun,,male ego's brother's wife,,,Crowley2000,
fBW,rovgun,,female ego's brother's wife,nahimnalam,,Crowley2000,wife of chief
mZH,etemachi,,male ego's sister's husband,,,Crowley2000,
fZH,"ahwon, asun",,female ego's sister's husband,,,Crowley2000,
mFZS,alwon,,male ego's father's sister's son,,,Crowley2000,
mMBS,alwon,,male ego's mother's brother's son,,,Crowley2000,
mFZD,alwon,,male ego's father's sister's daughter,,,Crowley2000,
mMBD,alwon,,male ego's mother's brother's daughter,,,Crowley2000,
fMBS,alwon,,female ego's mother's brother's son,,,Crowley2000,
fMBD,alwon,,female ego's mother's brother's daughter,,,Crowley2000,
mFeZS,alwon,,male ego's father's sister's son,,,Crowley2000,Inferred; 
mFyZS,alwon,,male ego's father's sister's son,,,Crowley2000,Inferred; 
mFeZD,alwon,,male ego's father's sister's daughter,,,Crowley2000,Inferred; 
mFyZD,alwon,,male ego's father's sister's daughter,,,Crowley2000,Inferred; 
mMeBS,alwon,,male ego's mother's brother's son,,,Crowley2000,Inferred; 
mMyBS,alwon,,male ego's mother's brother's son,,,Crowley2000,Inferred; 
mMeBD,alwon,,male ego's mother's brother's daughter,,,Crowley2000,Inferred; 
mMyBD,alwon,,male ego's mother's brother's daughter,,,Crowley2000,Inferred; 
mFZeS,alwon,,male ego's father's sister's son,,,Crowley2000,Inferred; 
mFZyS,alwon,,male ego's father's sister's son,,,Crowley2000,Inferred; 
mFZeD,alwon,,male ego's father's sister's daughter,,,Crowley2000,Inferred; 
mFZyD,alwon,,male ego's father's sister's daughter,,,Crowley2000,Inferred; 
mMBeS,alwon,,male ego's mother's brother's son,,,Crowley2000,Inferred; 
mMByS,alwon,,male ego's mother's brother's son,,,Crowley2000,Inferred; 
mMBeD,alwon,,male ego's mother's brother's daughter,,,Crowley2000,Inferred; 
