"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","keinapa",,"male ego's older brother",,,,
"myB","widi",,"male ego's younger brother",,,,
"feB","meaŋa-i",,"female ego's older brother",,,,
"fyB","meaŋa-i",,"female ego's younger brother",,,,
"meZ","meaŋa-i",,"male ego's older sister",,,,
"myZ","meaŋa-i",,"male ego's younger sister",,,,
"feZ","meaŋa-i",,"female ego's older sister",,,,
"fyZ","meaŋa-i",,"female ego's younger sister",,,,
"mF","tama-i, papa-i",,"male ego's father",,,,
"mM","neira-i, di-n",,"male ego's mother",,,,
"fF","tama-i, papa-i",,"female ego's father",,,,
"fM","neira-i, di-n",,"female ego's mother",,,,
"mS","taw-r mar",,"male ego's son",,,,
"fS","taw-r mar",,"female ego's son",,,,
"mD","raw-ra fäivi",,"male ego's daughter",,,,
"fD","raw-ra fäivi",,"female ego's daughter",,,,
"mFF","tamar tama-i",,"male ego's father‘s father",,,,
"mFM","dirar tama-i",,"male ego's father's mother",,,,
"mMF","tamar neira-i",,"male ego's mother's father",,,,
"mMM","dirar neira-i",,"male ego's mother's mother",,,,
"fFF","tamar tama-i",,"female ego's father's father",,,,
"fFM","dirar tama-i",,"female ego's father's mother",,,,
"fMF","tamar neira-i",,"female ego's mother's father",,,,
"fMM","dirar neira-i",,"female ego's mother's mother",,,,
"mFeB","bwidi ri papa-i",,"male ego's father's older brother",,,,
"mFyB","bwidi ri papa-i",,"male ego's father's younger brother",,,,
"mMeB","bwidi ri neira-i",,"male ego's mother's older brother",,,,
"mMyB","bwidi ri neira-i",,"male ego's mother's younger brother",,,,
"fFeB","bwidi ri papa-i",,"female ego's father's older brother",,,,
"fFyB","bwidi ri papa-i",,"female ego's father's younger brother",,,,
"fMeB","bwidi ri neira-i",,"female ego's mother's older brother",,,,
"fMyB","bwidi ri neira-i",,"female ego's mother's younger brother",,,,
"fH","li, mar",,"female ego‘s husband",,,,
"mFBS","bwidi",,"male ego's father's brother's son",,,,
"mFZS","bwidi",,"male ego's father's sister's son",,,,
"mMBS","bwidi",,"male ego's mother's brother's son",,,,
"mMZS","bwidi",,"male ego's mother's sister's son",,,,
"mFBD","bwidi",,"male ego's father's brother's daughter",,,,
"mFZD","bwidi",,"male ego's father's sister's daughter",,,,
"mMBD","bwidi",,"male ego's mother's brother's daughter",,,,
"mMZD","bwidi",,"male ego's mother's sister's daughter",,,,
