"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","p̃ia",,"male ego's older brother",,,,
"myB","p̃ia",,"male ego's younger brother",,,,
"feB","kakə",,"female ego's older brother",,,,
"fyB","kakə",,"female ego's younger brother",,,,
"meZ","kakə",,"male ego's older sister",,,,
"myZ","kakə",,"male ego's younger sister",,,,
"feZ","p̃ia",,"female ego's older sister",,,,
"fyZ","p̃ia",,"female ego's younger sister",,,,
"mF","rɨm",,"male ego's father",,,,
"mM","nɨsɨn",,"male ego's mother",,,,
"fF","rɨm",,"female ego's father",,,,
"fM","nɨsɨn",,"female ego's mother",,,,
"mS","ji",,"male ego's son",,,,
"fS","ji",,"female ego's son",,,,
"mD","ji",,"male ego's daughter",,,,
"fD","ji",,"female ego's daughter",,,,
"mSS","m̃ɨkɨp",,"male ego's son's son",,,,
"mSD","m̃ɨkɨp",,"male ego's son's daughter",,,,
"mDS","m̃ɨkɨp",,"male ego's daughter's son",,,,
"mDD","m̃ɨkɨp",,"male ego's daughter's daughter",,,,
"fSS","m̃ɨkɨp",,"female ego's son's son",,,,
"fSD","m̃ɨkɨp",,"female ego's son's daughter",,,,
"fDS","m̃ɨkɨp",,"female ego's daughter's son",,,,
"fDD","m̃ɨkɨp",,"female ego's daugher's daughter",,,,
"mFF","rɨp",,"male ego's father‘s father",,,,
"mFM","rɨp",,"male ego's father's mother",,,,
"mMF","rɨp",,"male ego's mother's father",,,,
"mMM","rɨp",,"male ego's mother's mother",,,,
"fFF","rɨp",,"female ego's father's father",,,,
"fFM","rɨp",,"female ego's father's mother",,,,
"fMF","rɨp",,"female ego's mother's father",,,,
"fMM","rɨp",,"female ego's mother's mother",,,,
"mFeB","mɨra",,"male ego's father's older brother",,,,
"mFyB","mɨra",,"male ego's father's younger brother",,,,
"mMeB","mɨra",,"male ego's mother's older brother",,,,
"mMyB","mɨra",,"male ego's mother's younger brother",,,,
"fFeB","mɨra",,"female ego's father's older brother",,,,
"fFyB","mɨra",,"female ego's father's younger brother",,,,
"fMeB","mɨra",,"female ego's mother's older brother",,,,
"fMyB","mɨra",,"female ego's mother's younger brother",,,,
"mW","piraovən, pian",,"male ego's wife",,,,
"fH","yerman",,"female ego‘s husband",,,,
"mWF","mɨra",,"male ego's wife's father",,,,
"fHF","mɨra",,"female ego's husband's father",,,,
"fHZ","kuni",,"female ego's husband's sister",,,,
"fBW","kuni",,"female ego's brother's wife",,,,
"mFBS","p̃ia karɨn",,"male ego's father's brother's son",,,,
"mFZS","kapa ier",,"male ego's father's sister's son",,,,
"mMBS","kapa ier",,"male ego's mother's brother's son",,,,
"mMZS","p̃ia karɨn",,"male ego's mother's sister's son",,,,
"mFBD","kaka",,"male ego's father's brother's daughter",,,,
"mFZD","kapa ier",,"male ego's father's sister's daughter",,,,
"mMBD","kapa ier",,"male ego's mother's brother's daughter",,,,
"mMZD","kaka",,"male ego's mother's sister's daughter",,,,
"fFBS","kaka",,"female ego's father's brother's son",,,,
"fFZS","kapa ier",,"female ego's father's sister's son",,,,
"fMBS","kapa ier",,"female ego's mother's brother's son",,,,
"fMZS","kaka",,"female ego's mother's sister's son",,,,
"fFBD","p̃ia karɨn",,"female ego's father's brother's daughter",,,,
"fFZD","kapa ier",,"female ego's father's sister's daughter",,,,
"fMBD","kapa ier",,"female ego's mother's brother's daughter",,,,
"fMZD","p̃ia karɨn",,"female ego's mother's sister's daughter",,,,
"mFeBS","p̃ia karɨn",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFyBS","p̃ia karɨn",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFeZS","kapa ier",,"male ego's father's sister's son",,,,"Inferred; NA"
"mFyZS","kapa ier",,"male ego's father's sister's son",,,,"Inferred; NA"
"mFeBD","kaka",,"male ego's father's brother's daughter",,,,"Inferred; NA"
"mFyBD","kaka",,"male ego's father's brother's daughter",,,,"Inferred; NA"
"mFeZD","kapa ier",,"male ego's father's sister's daughter",,,,"Inferred; NA"
"mFyZD","kapa ier",,"male ego's father's sister's daughter",,,,"Inferred; NA"
"mMeBS","kapa ier",,"male ego's mother's brother's son",,,,"Inferred; NA"
"mMyBS","kapa ier",,"male ego's mother's brother's son",,,,"Inferred; NA"
"mMeZS","p̃ia karɨn",,"male ego's mother's sister's son",,,,"Inferred; NA"
"mMyZS","p̃ia karɨn",,"male ego's mother's sister's son",,,,"Inferred; NA"
"mMeBD","kapa ier",,"male ego's mother's brother's daughter",,,,"Inferred; NA"
"mMyBD","kapa ier",,"male ego's mother's brother's daughter",,,,"Inferred; NA"
"mMeZD","kaka",,"male ego's mother's sister's daughter",,,,"Inferred; NA"
"mMyZD","kaka",,"male ego's mother's sister's daughter",,,,"Inferred; NA"
"mFBeS","p̃ia karɨn",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFByS","p̃ia karɨn",,"male ego's father's brother's son",,,,"Inferred; NA"
"mFZeS","kapa ier",,"male ego's father's sister's son",,,,"Inferred; NA"
"mFZyS","kapa ier",,"male ego's father's sister's son",,,,"Inferred; NA"
"mFBeD","kaka",,"male ego's father's brother's daughter",,,,"Inferred; NA"
"mFByD","kaka",,"male ego's father's brother's daughter",,,,"Inferred; NA"
"mFZeD","kapa ier",,"male ego's father's sister's daughter",,,,"Inferred; NA"
"mFZyD","kapa ier",,"male ego's father's sister's daughter",,,,"Inferred; NA"
"mMBeS","kapa ier",,"male ego's mother's brother's son",,,,"Inferred; NA"
"mMByS","kapa ier",,"male ego's mother's brother's son",,,,"Inferred; NA"
"mMZeS","p̃ia karɨn",,"male ego's mother's sister's son",,,,"Inferred; NA"
"mMZyS","p̃ia karɨn",,"male ego's mother's sister's son",,,,"Inferred; NA"
"mMBeD","kapa ier",,"male ego's mother's brother's daughter",,,,"Inferred; NA"
"mMByD","kapa ier",,"male ego's mother's brother's daughter",,,,"Inferred; NA"
"mMZeD","kaka",,"male ego's mother's sister's daughter",,,,"Inferred; NA"
"mMZyD","kaka",,"male ego's mother's sister's daughter",,,,"Inferred; NA"
"fFeBS","kaka",,"female ego's father's brother's son",,,,"Inferred; NA"
"fFyBS","kaka",,"female ego's father's brother's son",,,,"Inferred; NA"
"fFeZS","kapa ier",,"female ego's father's sister's son",,,,"Inferred; NA"
"fFyZS","kapa ier",,"female ego's father's sister's son",,,,"Inferred; NA"
"fFeBD","p̃ia karɨn",,"female ego's father's brother's daughter",,,,"Inferred; NA"
"fFyBD","p̃ia karɨn",,"female ego's father's brother's daughter",,,,"Inferred; NA"
"fFeZD","kapa ier",,"female ego's father's sister's daughter",,,,"Inferred; NA"
"fFyZD","kapa ier",,"female ego's father's sister's daughter",,,,"Inferred; NA"
"fMeBS","kapa ier",,"female ego's mother's brother's son",,,,"Inferred; NA"
"fMyBS","kapa ier",,"female ego's mother's brother's son",,,,"Inferred; NA"
"fMeZS","kaka",,"female ego's mother's sister's son",,,,"Inferred; NA"
"fMyZS","kaka",,"female ego's mother's sister's son",,,,"Inferred; NA"
"fMeBD","kapa ier",,"female ego's mother's brother's daughter",,,,"Inferred; NA"
"fMyBD","kapa ier",,"female ego's mother's brother's daughter",,,,"Inferred; NA"
"fMeZD","p̃ia karɨn",,"female ego's mother's sister's daughter",,,,"Inferred; NA"
"fMyZD","p̃ia karɨn",,"female ego's mother's sister's daughter",,,,"Inferred; NA"
"fFBeS","kaka",,"female ego's father's brother's son",,,,"Inferred; NA"
"fFByS","kaka",,"female ego's father's brother's son",,,,"Inferred; NA"
"fFZeS","kapa ier",,"female ego's father's sister's son",,,,"Inferred; NA"
"fFZyS","kapa ier",,"female ego's father's sister's son",,,,"Inferred; NA"
"fFBeD","p̃ia karɨn",,"female ego's father's brother's daughter",,,,"Inferred; NA"
"fFByD","p̃ia karɨn",,"female ego's father's brother's daughter",,,,"Inferred; NA"
"fFZeD","kapa ier",,"female ego's father's sister's daughter",,,,"Inferred; NA"
"fFZyD","kapa ier",,"female ego's father's sister's daughter",,,,"Inferred; NA"
"fMBeS","kapa ier",,"female ego's mother's brother's son",,,,"Inferred; NA"
"fMByS","kapa ier",,"female ego's mother's brother's son",,,,"Inferred; NA"
"fMZeS","kaka",,"female ego's mother's sister's son",,,,"Inferred; NA"
"fMZyS","kaka",,"female ego's mother's sister's son",,,,"Inferred; NA"
"fMBeD","kapa ier",,"female ego's mother's brother's daughter",,,,"Inferred; NA"
"fMByD","kapa ier",,"female ego's mother's brother's daughter",,,,"Inferred; NA"
"fMZeD","p̃ia karɨn",,"female ego's mother's sister's daughter",,,,"Inferred; NA"
"fMZyD","p̃ia karɨn",,"female ego's mother's sister's daughter",,,,"Inferred; NA"
