parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,tua,tua,male ego's older brother,"toɣo, tua-ŋ xaiβua",,,"xaiβua 'big.one', rə̆ŋrə̆ŋ 'small.one', toɣo 'first.born', 'last.born'"
myB,tua,tua,male ego's younger brother,"tas, tuaŋ rə̆ŋrə̆ŋ",,,
feB,fndĭŋ,fndĭŋ,female ego's older brother,"toɣo, fndĭŋ xaiβua",,,Variation between [ĭ] and ∅
fyB,fndĭŋ,fndĭŋ,female ego's younger brother,"tas, fndĭŋ rə̆ŋrə̆ŋ",,,
meZ,fndĭŋ,fndĭŋ,male ego's older sister,"toɣo, fndĭŋ xaiβua",,,
myZ,fndĭŋ,fndĭŋ,male ego's younger sister,"tas, fndĭŋ rə̆ŋrə̆ŋ",,,
feZ,tua,tua,female ego's older sister,"toɣo, tua-ŋ xaiβua",,,xaiβua 'big.one'
fyZ,tua,tua,female ego's younger sister,"tas, tuaŋ rə̆ŋrə̆ŋ",,,rə̆ŋrə̆ŋ 'small.one'
mF,tata,tata,male ego's father,,,,
mM,ᵐbotai,ᵐbotai,male ego's mother,,,,
fF,tata,tata,female ego's father,,,,
fM,ᵐbotai,ᵐbotai,female ego's mother,,,,
mS,taβʷə̆l,taβʷə̆l,male ego's son,natŋ,,,
fS,taβʷə̆l,taβʷə̆l,female ego's son,natŋ,,,
mD,fne,fne,male ego's daughter,natŋ,,,
fD,fne,fne,female ego's daughter,natŋ,,,
mSS,tə̆mtə̆m,tə̆mtə̆m,male ego's son's son,,,,
mSD,tə̆mtə̆m,tə̆mtə̆m,male ego's son's daughter,,,,
mDS,tə̆mtə̆m,tə̆mtə̆m,male ego's daughter's son,,,,
mDD,tə̆mtə̆m,tə̆mtə̆m,male ego's daughter's daughter,,,,
fSS,tə̆mtə̆m,tə̆mtə̆m,female ego's son's son,,,,
fSD,tə̆mtə̆m,tə̆mtə̆m,female ego's son's daughter,,,,
fDS,tə̆mtə̆m,tə̆mtə̆m,female ego's daughter's son,,,,
fDD,tə̆mtə̆m,tə̆mtə̆m,female ego's daugher's daughter,,,,
mFF,tə̆m,tə̆m,male ego's father‘s father,tə̆m tatmatua,,,
mFM,tə̆m,tə̆m,male ego's father's mother,tə̆m maⁿdua,,,
mMF,tə̆m,tə̆m,male ego's mother's father,tə̆m tatmatua,,,
mMM,tə̆m,tə̆m,male ego's mother's mother,tə̆m maⁿdua,,,
fFF,tə̆m,tə̆m,female ego's father's father,tə̆m tatmatua,,,
fFM,tə̆m,tə̆m,female ego's father's mother,tə̆m maⁿdua,,,
fMF,tə̆m,tə̆m,female ego's mother's father,tə̆m tatmatua,,,
fMM,tə̆m,tə̆m,female ego's mother's mother,tə̆m maⁿdua,,,
meBS,taβʷə̆l,taβʷə̆l,male ego's older brother's son,taβʷis,,,
myBS,taβʷə̆l,taβʷə̆l,male ego's younger brother's son,taβʷis,,,
meZS,jaloa,jaloa,male ego's older sister's son,,,,
myZS,jaloa,jaloa,male ego's younger sister's son,,,,
meBD,fne,fne,male ego's older brother's daughter,,,,
myBD,fne,fne,male ego's younger brother's daughter,,,,
meZD,jaloa,jaloa,male ego's older sister's daughter,,,,
myZD,jaloa,jaloa,male ego's younger sister's daughter,,,,
feBS,taβʷə̆l,taβʷə̆l,female ego's older brother's son,taβʷis,,,
fyBS,taβʷə̆l,taβʷə̆l,female ego's younger brother's son,taβʷis,,,
feZS,taβʷə̆l,taβʷə̆l,female ego's older sister's son,taβʷis,,,
fyZS,taβʷə̆l,taβʷə̆l,female ego's younger sister's son,taβʷis,,,
feBD,fne,fne,female ego's older brother's daughter,,,,
fyBD,fne,fne,female ego's younger brother's daughter,,,,
feZD,fne,fne,female ego's older sister's daughter,,,,
fyZD,fne,fne,female ego's younger sister's daughter,,,,
mFeB,tata,tata,male ego's father's older brother,,,,
mFyB,tata,tata,male ego's father's younger brother,,,,
mFeZ,raβe,raβe,male ego's father's older sister,,,,
mFyZ,raβe,raβe,male ego's father's younger sister,,,,
mMeB,taraᵐbe,taraᵐbe,male ego's mother's older brother,,,,
mMyB,taraᵐbe,taraᵐbe,male ego's mother's younger brother,,,,
mMeZ,ᵐbotai,ᵐbotai,male ego's mother's older sister,,,,
mMyZ,ᵐbotai,ᵐbotai,male ego's mother's younger sister,,,,
fFeB,tata,tata,female ego's father's older brother,,,,
fFyB,tata,tata,female ego's father's younger brother,,,,
fFeZ,raβe,raβe,female ego's father's older sister,,,,
fFyZ,raβe,raβe,female ego's father's younger sister,,,,
fMeB,taraᵐbe,taraᵐbe,female ego's mother's older brother,,,,
fMyB,taraᵐbe,taraᵐbe,female ego's mother's younger brother,,,,
fMeZ,ᵐbotai,ᵐbotai,female ego's mother's older sister,,,,
fMyZ,ᵐbotai,ᵐbotai,female ego's mother's younger sister,,,,
mW,rainat-ŋ,rainat-ŋ,male ego's wife,,,,
fH,timu-ku,timu-ku,female ego‘s husband,tamaras-ŋ,,,
mDH,bʷalxa,bʷalxa,male ego's daughter's husband,tata,,,
fDH,tata,tata,female ego's daughter's husband,tata,,,
mSW,raᵐbʷal(i)ɣa,raᵐbʷal(i)ɣa,male ego's son's wife,,,,
fSW,raᵐbʷal(i)ɣa,raᵐbʷal(i)ɣa,female ego's son's wife,tə̆m maⁿdua,,,
mWF,bʷalxa,bʷalxa,male ego's wife's father,,,,
mWM,raᵐbʷalxa,raᵐbʷalxa,male ego's wife's mother,,,,
fHF,bʷalxa,bʷalxa,female ego's husband's father,,,,
fHM,raᵐbʷalxa,raᵐbʷalxa,female ego's husband's mother,tə̆m maⁿdua,,,
mBW,ᵐbotai (?),ᵐbotai (?),male ego's brother's wife,,,,
fBW,raiβa,raiβa,female ego's brother's wife,,,,
mZH,salaŋ,salaŋ,male ego's sister's husband,,,,
fZH,tə̆m,tə̆m,female ego's sister's husband,,,,
mFBS,tua,tua,male ego's father's brother's son,,,,
mFZS,tə̆m,tə̆m,male ego's father's sister's son,,,,
mMBS,tə̆m,tə̆m,male ego's mother's brother's son,,,,
mMZS,tua,tua,male ego's mother's sister's son,,,,
mFBD,findiŋ,findiŋ,male ego's father's brother's daughter,,,,
mFZD,tə̆m,tə̆m,male ego's father's sister's daughter,,,,
mMBD,tə̆m,tə̆m,male ego's mother's brother's daughter,,,,
mMZD,findiŋ,findiŋ,male ego's mother's sister's daughter,,,,
fFBS,findiŋ,findiŋ,female ego's father's brother's son,,,,
fFZS,tə̆m,tə̆m,female ego's father's sister's son,,,,
fMBS,tə̆m,tə̆m,female ego's mother's brother's son,,,,
fMZS,findiŋ,findiŋ,female ego's mother's sister's son,,,,
fFBD,tua,tua,female ego's father's brother's daughter,,,,
fFZD,tə̆m,tə̆m,female ego's father's sister's daughter,,,,
fMBD,tə̆m,tə̆m,female ego's mother's brother's daughter,,,,
fMZD,tua,tua,female ego's mother's sister's daughter,,,,
