parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"tayali, kakaán",,male ego's older brother,,,,
myB,tayali,,male ego's younger brother,,,,
feB,"tayali, kakaán",,female ego's older brother,,,,
fyB,tayali,,female ego's younger brother,,,,
meZ,"tayali, kakaán",,male ego's older sister,,,,
myZ,tayali,,male ego's younger sister,,,,
feZ,"tayali, kakaán",,female ego's older sister,,,,
fyZ,tayali,,female ego's younger sister,,,,
mF,amang,,male ego's father,,,,
mM,ináng,,male ego's mother,,,,
fF,amang,,female ego's father,,,,
fM,ináng,,female ego's mother,,,,
mS,"ungâ, pulâ",,male ego's son,,,,
fS,"ungâ, pulâ",,female ego's son,,,,
mD,"ungâ, pulâ",,male ego's daughter,,,,
fD,"ungâ, pulâ",,female ego's daughter,,,,
mSS,laksón,,male ego's son's son,,,,
mSD,laksón,,male ego's son's daughter,,,,
mDS,laksón,,male ego's daughter's son,,,,
mDD,laksón,,male ego's daughter's daughter,,,,
fSS,laksón,,female ego's son's son,,,,
fSD,laksón,,female ego's son's daughter,,,,
fDS,laksón,,female ego's daughter's son,,,,
fDD,laksón,,female ego's daugher's daughter,,,,
mFF,pulakí,,male ego's father‘s father,,,,
mFM,pubai,,male ego's father's mother,,,,
mMF,pulakí,,male ego's mother's father,,,,
mMM,pubai,,male ego's mother's mother,,,,
fFF,pulakí,,female ego's father's father,,,,
fFM,pubai,,female ego's father's mother,,,,
fMF,pulakí,,female ego's mother's father,,,,
fMM,pubai,,female ego's mother's mother,,,,
meBS,akí,,male ego's older brother's son,,,,
myBS,akí,,male ego's younger brother's son,,,,
meZS,akí,,male ego's older sister's son,,,,
myZS,akí,,male ego's younger sister's son,,,,
meBD,bî,,male ego's older brother's daughter,,,,
myBD,bî,,male ego's younger brother's daughter,,,,
meZD,bî,,male ego's older sister's daughter,,,,
myZD,bî,,male ego's younger sister's daughter,,,,
feBS,akí,,female ego's older brother's son,,,,
fyBS,akí,,female ego's younger brother's son,,,,
feZS,akí,,female ego's older sister's son,,,,
fyZS,akí,,female ego's younger sister's son,,,,
feBD,bî,,female ego's older brother's daughter,,,,
fyBD,bî,,female ego's younger brother's daughter,,,,
feZD,bî,,female ego's older sister's daughter,,,,
fyZD,bî,,female ego's younger sister's daughter,,,,
mFeB,tayakí,,male ego's father's older brother,,,,
mFyB,tayakí,,male ego's father's younger brother,,,,
mFeZ,bî,,male ego's father's older sister,,,,
mFyZ,bî,,male ego's father's younger sister,,,,
mMeB,tayakí,,male ego's mother's older brother,,,,
mMyB,tayakí,,male ego's mother's younger brother,,,,
mMeZ,bî,,male ego's mother's older sister,,,,
mMyZ,bî,,male ego's mother's younger sister,,,,
fFeB,tayakí,,female ego's father's older brother,,,,
fFyB,tayakí,,female ego's father's younger brother,,,,
fFeZ,bî,,female ego's father's older sister,,,,
fFyZ,bî,,female ego's father's younger sister,,,,
fMeB,tayakí,,female ego's mother's older brother,,,,
fMyB,tayakí,,female ego's mother's younger brother,,,,
fMeZ,bî,,female ego's mother's older sister,,,,
fMyZ,bî,,female ego's mother's younger sister,,,,
mW,bai,,male ego's wife,,,,
fH,lakí,,female ego‘s husband,,,,
mDH,nugang,,male ego's daughter's husband,,,,
fDH,nugang,,female ego's daughter's husband,,,,
mSW,nugang,,male ego's son's wife,,,,
fSW,nugang,,female ego's son's wife,,,,
mWF,baynan,,male ego's wife's father,,,,
mWM,baynan,,male ego's wife's mother,,,,
fHF,baynan,,female ego's husband's father,,,,
fHM,baynan,,female ego's husband's mother,,,,
mFBS,talagbáy,,male ego's father's brother's son,,,,
mFZS,talagbáy,,male ego's father's sister's son,,,,
mMBS,talagbáy,,male ego's mother's brother's son,,,,
mMZS,talagbáy,,male ego's mother's sister's son,,,,
mFBD,talagbáy,,male ego's father's brother's daughter,,,,
mFZD,talagbáy,,male ego's father's sister's daughter,,,,
mMBD,talagbáy,,male ego's mother's brother's daughter,,,,
mMZD,talagbáy,,male ego's mother's sister's daughter,,,,
fFBS,talagbáy,,female ego's father's brother's son,,,,
fFZS,talagbáy,,female ego's father's sister's son,,,,
fMBS,talagbáy,,female ego's mother's brother's son,,,,
fMZS,talagbáy,,female ego's mother's sister's son,,,,
fFBD,talagbáy,,female ego's father's brother's daughter,,,,
fFZD,talagbáy,,female ego's father's sister's daughter,,,,
fMBD,talagbáy,,female ego's mother's brother's daughter,,,,
fMZD,talagbáy,,female ego's mother's sister's daughter,,,,
