parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,tua'ana,,male ego's older brother,,,,
myB,teina tu'ane,,male ego's younger brother,,,,
feB,tu'ane,,female ego's older brother,,,,
fyB,tu'ane,,female ego's younger brother,,,,
meZ,tua-hine,,male ego's older sister,,,,
myZ,tua-hine,,male ego's younger sister,,,,
feZ,tua'ana,,female ego's older sister,,,,
fyZ,taina tuahine,,female ego's younger sister,,,,
mF,metua tane,,male ego's father,,,,
mM,metua vahine,,male ego's mother,,,,
fF,metua tane,,female ego's father,,,,
fM,metua vahine,,female ego's mother,,,,
mS,tama-iti,,male ego's son,,,,
fS,tama-iti,,female ego's son,,,,
mD,tama-a-hine,,male ego's daughter,,,,
fD,tama-a-hine,,female ego's daughter,,,,
mSS,mo'o-tua,,male ego's son's son,,,,
mSD,mo'o-tua,,male ego's son's daughter,,,,
mDS,mo'o-tua,,male ego's daughter's son,,,,
mDD,mo'o-tua,,male ego's daughter's daughter,,,,
fSS,mo'o-tua,,female ego's son's son,,,,
fSD,mo'o-tua,,female ego's son's daughter,,,,
fDS,mo'o-tua,,female ego's daughter's son,,,,
fDD,mo'o-tua,,female ego's daugher's daughter,,,,
mFF,tupuna tane,,male ego's father‘s father,,,,
mFM,tupuna vahine,,male ego's father's mother,,,,
mMF,tupuna tane,,male ego's mother's father,,,,
mMM,tupuna vahine,,male ego's mother's mother,,,,
fFF,tupuna tane,,female ego's father's father,,,,
fFM,tupuna vahine,,female ego's father's mother,,,,
fMF,tupuna tane,,female ego's mother's father,,,,
fMM,tupuna vahine,,female ego's mother's mother,,,,
meBS,tama-iti,,male ego's older brother's son,,,,
myBS,tama-iti,,male ego's younger brother's son,,,,
meZS,tama-iti,,male ego's older sister's son,,,,
myZS,tama-iti,,male ego's younger sister's son,,,,
meBD,tama-a-hine,,male ego's older brother's daughter,,,,
myBD,tama-a-hine,,male ego's younger brother's daughter,,,,
meZD,tama-a-hine,,male ego's older sister's daughter,,,,
myZD,tama-a-hine,,male ego's younger sister's daughter,,,,
feBS,tama-iti,,female ego's older brother's son,,,,
fyBS,tama-iti,,female ego's younger brother's son,,,,
feZS,tama-iti,,female ego's older sister's son,,,,
fyZS,tama-iti,,female ego's younger sister's son,,,,
feBD,tama-a-hine,,female ego's older brother's daughter,,,,
fyBD,tama-a-hine,,female ego's younger brother's daughter,,,,
feZD,tama-a-hine,,female ego's older sister's daughter,,,,
fyZD,tama-a-hine,,female ego's younger sister's daughter,,,,
mFeB,metua tane,,male ego's father's older brother,,,,
mFyB,metua tane,,male ego's father's younger brother,,,,
mFeZ,metua vahine,,male ego's father's older sister,,,,
mFyZ,metua vahine,,male ego's father's younger sister,,,,
mMeB,metua tane,,male ego's mother's older brother,,,,
mMyB,metua tane,,male ego's mother's younger brother,,,,
mMeZ,metua vahine,,male ego's mother's older sister,,,,
mMyZ,metua vahine,,male ego's mother's younger sister,,,,
fFeB,metua tane,,female ego's father's older brother,,,,
fFyB,metua tane,,female ego's father's younger brother,,,,
fFeZ,metua vahine,,female ego's father's older sister,,,,
fFyZ,metua vahine,,female ego's father's younger sister,,,,
fMeB,metua tane,,female ego's mother's older brother,,,,
fMyB,metua tane,,female ego's mother's younger brother,,,,
fMeZ,metua vahine,,female ego's mother's older sister,,,,
fMyZ,metua vahine,,female ego's mother's younger sister,,,,
mW,tane'a,,male ego's wife,,,,
mDH,hunoo'a,,male ego's daughter's husband,,,,
fDH,hunoo'a,,female ego's daughter's husband,,,,
mSW,hunoo'a,,male ego's son's wife,,,,
fSW,hunoo'a,,female ego's son's wife,,,,
mWF,ho'ovai tane,,male ego's wife's father,,,,
mWM,ho'ovai vahine,,male ego's wife's mother,,,,
mWB,tao-'ete,,male ego's wife's brother,,,,
mWZ,tao-'ete,,male ego's wife's sister,,,,
fHF,ho'ovai tane,,female ego's husband's father,,,,
fHM,ho'ovai vahine,,female ego's husband's mother,,,,
fHB,tao-'ete,,female ego's husband's brother,,,,
fHZ,tao-'ete,,female ego's husband's sister,,,,
mBW,tao-'ete,,male ego's brother's wife,,,,
fBW,tao-'ete,,female ego's brother's wife,,,,
mZH,tao-'ete,,male ego's sister's husband,,,,
fZH,tao-'ete,,female ego's sister's husband,,,,
mFBeS,tua'ana,,male ego‘s father‘s brother‘s older son,,,,
mFByS,teina tu'ane,,male ego‘s father‘s brother‘s younger son,,,,
mFBeD,tua-hine,,male ego‘s father‘s brother‘s older daughter,,,,
mFByD,tua-hine,,male ego‘s father‘s brother‘s younger daughter,,,,
mFZeS,tua'ana,,male ego‘s father‘s sisters‘s older son,,,,
mFZyS,teina tu'ane,,male ego‘s father‘s sisters‘s younger son,,,,
mFZeD,tua-hine,,male ego‘s father‘s sisters‘s older daughter,,,,
mFZyD,tua-hine,,male ego‘s father‘s sisters‘s younger daughter,,,,
mMBeS,tua'ana,,male ego‘s mother‘s brother‘s older son,,,,
mMByS,teina tu'ane,,male ego‘s mother‘s brother‘s younger son,,,,
mMBeD,tua-hine,,male ego‘s mother‘s brother‘s older daughter,,,,
mMByD,tua-hine,,male ego‘s mother‘s brother‘s younger daughter,,,,
mMZeS,tua'ana,,male ego‘s mother‘s sisters‘s older son,,,,
mMZyS,teina tu'ane,,male ego‘s mother‘s sisters‘s younger son,,,,
mMZeD,tua-hine,,male ego‘s mother‘s sisters‘s older daughter,,,,
mMZyD,tua-hine,,male ego‘s mother‘s sisters‘s younger daughter,,,,
fFBeS,tu'ane,,female ego‘s father‘s brother‘s older son,,,,
fFByS,tu'ane,,female ego‘s father‘s brother‘s younger son,,,,
