parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,taea'a,,,,AUS27(726-728),oliver_ancient_1975,
mZ,tuahine,,,,AUS27(726-728),oliver_ancient_1975,
meB,tua'ana,,,,AUS27(726-728),oliver_ancient_1975,
myB,teina,,,,AUS27(726-728),oliver_ancient_1975,
meZ,tuahine,,,,AUS27(726-728),oliver_ancient_1975,
myZ,tuahine,,,,AUS27(726-728),oliver_ancient_1975,
mF,metua tane,,,,AUS27(692-698),oliver_ancient_1975,
mM,metua vahine,,,,AUS27(692-698),oliver_ancient_1975,
mC,tama,,,,AUS27(692-698),oliver_ancient_1975,
mS,tamaiti,,,,AUS27(692-698),oliver_ancient_1975,
mD,tamāhine,,,,AUS27(692-698),oliver_ancient_1975,
mA,tupuna,,,,AUS27(743),oliver_ancient_1975,
mPP,tupuna,,,,AUS27(743),oliver_ancient_1975,
mFF,tupuna,,,,AUS27(743),oliver_ancient_1975,
mFM,tupuna,,,,AUS27(743),oliver_ancient_1975,
mMF,tupuna,,,,AUS27(743),oliver_ancient_1975,
mMM,tupuna,,,,AUS27(743),oliver_ancient_1975,
mCC,mo'otua,,,,AUS27(743),oliver_ancient_1975,
mSS,mo'otua,,,,AUS27(743),oliver_ancient_1975,
mSD,mo'otua,,,,AUS27(743),oliver_ancient_1975,
mDS,mo'otua,,,,AUS27(743),oliver_ancient_1975,
mDD,mo'otua,,,,AUS27(743),oliver_ancient_1975,
mFB,metua tane,,,,AUS27(692-698),oliver_ancient_1975,
mFZ,metua vahine,,,,AUS27(692-698),oliver_ancient_1975,
mMB,metua tane,,,,AUS27(692-698),oliver_ancient_1975,
mMZ,metua vahine,,,,AUS27(692-698),oliver_ancient_1975,
mFeB,metua tane,,,,AUS27(692-698),oliver_ancient_1975,
mFyB,metua tane,,,,AUS27(692-698),oliver_ancient_1975,
mFeZ,metua vahine,,,,AUS27(692-698),oliver_ancient_1975,
mFyZ,metua vahine,,,,AUS27(692-698),oliver_ancient_1975,
mMeZ,metua vahine,,,,AUS27(692-698),oliver_ancient_1975,
mMyZ,metua vahine,,,,AUS27(692-698),oliver_ancient_1975,
mMeB,metua tane,,,,AUS27(692-698),oliver_ancient_1975,
mMyB,metua tane,,,,AUS27(692-698),oliver_ancient_1975,
mBS,tamaiti,,,,AUS27(692-698),oliver_ancient_1975,
mBD,tamāhine,,,,AUS27(692-698),oliver_ancient_1975,
mZS,tamaiti,,,,AUS27(692-698),oliver_ancient_1975,
mZD,tamāhine,,,,AUS27(692-698),oliver_ancient_1975,
meBS,tamaiti,,,,AUS27(692-698),oliver_ancient_1975,
myBS,tamaiti,,,,AUS27(692-698),oliver_ancient_1975,
meBD,tamāhine,,,,AUS27(692-698),oliver_ancient_1975,
myBD,tamāhine,,,,AUS27(692-698),oliver_ancient_1975,
meZS,tamaiti,,,,AUS27(692-698),oliver_ancient_1975,
myZS,tamaiti,,,,AUS27(692-698),oliver_ancient_1975,
