parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,sia'a,,male ego's older brother,,,,
myB,tuai,,male ego's younger brother,,,,
feB,sia'a,,female ego's older brother,,,,
fyB,tuai,,female ego's younger brother,,,,
meZ,sia'a,,male ego's older sister,,,,
myZ,tuai,,male ego's younger sister,,,,
feZ,sia'a,,female ego's older sister,,,,
fyZ,tuai,,female ego's younger sister,,,,
mF,siama,,male ego's father,,,,
mM,siina,,male ego's mother,,,,
fF,siama,,female ego's father,,,,
fM,siina,,female ego's mother,,,,
mS,angana,,male ego's son,,,,
fS,angana,,female ego's son,,,,
mD,angana,,male ego's daughter,,,,
fD,angana,,female ego's daughter,,,,
mSS,"moompu te, ompu, mo'upu",,male ego's son's son,,,,
mSD,"moompu te, ompu, mo'upu",,male ego's son's daughter,,,,
mDS,"moompu te, ompu, mo'upu",,male ego's daughter's son,,,,
mDD,"moompu te, ompu, mo'upu",,male ego's daughter's daughter,,,,
fSS,"moompu te, ompu, mo'upu",,female ego's son's son,,,,
fSD,"moompu te, ompu, mo'upu",,female ego's son's daughter,,,,
fDS,"moompu te, ompu, mo'upu",,female ego's daughter's son,,,,
fDD,"moompu te, ompu, mo'upu",,female ego's daugher's daughter,,,,
mFF,sikau,,male ego's father‘s father,,,,
mFM,"siopu/siompu benggel, si beke",,male ego's father's mother,,,,
mMF,sikau,,male ego's mother's father,,,,
mMM,"siopu/siompu benggel, si beke",,male ego's mother's mother,,,,
fFF,sikau,,female ego's father's father,,,,
fFM,"siopu/siompu benggel, si beke",,female ego's father's mother,,,,
fMF,sikau,,female ego's mother's father,,,,
fMM,"siopu/siompu benggel, si beke",,female ego's mother's mother,,,,
meBS,ponungao,,male ego's older brother's son,,,,
myBS,ponungao,,male ego's younger brother's son,,,,
meZS,ponungao,,male ego's older sister's son,,,,
myZS,ponungao,,male ego's younger sister's son,,,,
meBD,ponungao,,male ego's older brother's daughter,,,,
myBD,ponungao,,male ego's younger brother's daughter,,,,
meZD,ponungao,,male ego's older sister's daughter,,,,
myZD,ponungao,,male ego's younger sister's daughter,,,,
feBS,ponungao,,female ego's older brother's son,,,,
fyBS,ponungao,,female ego's younger brother's son,,,,
feZS,ponungao,,female ego's older sister's son,,,,
fyZS,ponungao,,female ego's younger sister's son,,,,
feBD,ponungao,,female ego's older brother's daughter,,,,
fyBD,ponungao,,female ego's younger brother's daughter,,,,
feZD,ponungao,,female ego's older sister's daughter,,,,
fyZD,ponungao,,female ego's younger sister's daughter,,,,
mFeB,"posiamaong, posiamao",,male ego's father's older brother,,,,
mFyB,"posiamaong, posiamao",,male ego's father's younger brother,,,,
mFeZ,"posinaong, posinao",,male ego's father's older sister,,,,
mFyZ,"posinaong, posinao",,male ego's father's younger sister,,,,
mMeB,"posiamaong, posiamao",,male ego's mother's older brother,,,,
mMyB,"posiamaong, posiamao",,male ego's mother's younger brother,,,,
mMeZ,"posinaong, posinao",,male ego's mother's older sister,,,,
mMyZ,"posinaong, posinao",,male ego's mother's younger sister,,,,
fFeB,"posiamaong, posiamao",,female ego's father's older brother,,,,
fFyB,"posiamaong, posiamao",,female ego's father's younger brother,,,,
fFeZ,"posinaong, posinao",,female ego's father's older sister,,,,
fFyZ,"posinaong, posinao",,female ego's father's younger sister,,,,
fMeB,"posiamaong, posiamao",,female ego's mother's older brother,,,,
fMyB,"posiamaong, posiamao",,female ego's mother's younger brother,,,,
fMeZ,"posinaong, posinao",,female ego's mother's older sister,,,,
fMyZ,"posinaong, posinao",,female ego's mother's younger sister,,,,
mW,lapi te,,male ego's wife,,,,
fH,lapi te,,female ego‘s husband,,,,
mDH,memeniang,,male ego's daughter's husband,,,,
fDH,memeniang,,female ego's daughter's husband,,,,
mSW,memeniang,,male ego's son's wife,,,,
fSW,memeniang,,female ego's son's wife,,,,
mWF,memeniang,,male ego's wife's father,,,,
mWM,memeniang,,male ego's wife's mother,,,,
mWB,ipag,,male ego's wife's brother,,,,
fHF,memeniang,,female ego's husband's father,,,,
fHM,memeniang,,female ego's husband's mother,,,,
fHB,ipag,,female ego's husband's brother,,,,
mZH,ipag,,male ego's sister's husband,,,,
fZH,ipag,,female ego's sister's husband,,,,
mFBS,rurus sangganing,,male ego's father's brother's son,,,,
mFZS,rurus sangganing,,male ego's father's sister's son,,,,
mMBS,rurus sangganing,,male ego's mother's brother's son,,,,
mMZS,rurus sangganing,,male ego's mother's sister's son,,,,
mFBD,rurus sangganing,,male ego's father's brother's daughter,,,,
mFZD,rurus sangganing,,male ego's father's sister's daughter,,,,
mMBD,rurus sangganing,,male ego's mother's brother's daughter,,,,
mMZD,rurus sangganing,,male ego's mother's sister's daughter,,,,
fFBS,rurus sangganing,,female ego's father's brother's son,,,,
fFZS,rurus sangganing,,female ego's father's sister's son,,,,
fMBS,rurus sangganing,,female ego's mother's brother's son,,,,
fMZS,rurus sangganing,,female ego's mother's sister's son,,,,
fFBD,rurus sangganing,,female ego's father's brother's daughter,,,,
fFZD,rurus sangganing,,female ego's father's sister's daughter,,,,
fMBD,rurus sangganing,,female ego's mother's brother's daughter,,,,
fMZD,rurus sangganing,,female ego's mother's sister's daughter,,,,
