parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,ruelxi,,male ego's older brother,,,Capell1938,
myB,ruelxi,,male ego's younger brother,,,Capell1938,
feB,ŋmano,,female ego's older brother,,,Capell1938,
fyB,ŋmano,,female ego's younger brother,,,Capell1938,
meZ,vino,,male ego's older sister,,,Capell1938,
myZ,vino,,male ego's younger sister,,,Capell1938,
feZ,ina,,female ego's older sister,,,Capell1938,
fyZ,ina,,female ego's younger sister,,,Capell1938,
mF,arima,,male ego's father,,,Capell1938,
mM,ane,,male ego's mother,,,Capell1938,
fF,arima,,female ego's father,,,Capell1938,
fM,ane,,female ego's mother,,,Capell1938,
mS,naru,,male ego's son,,,Capell1938,
fS,naru,,female ego's son,,,Capell1938,
mD,naru,,male ego's daughter,,,Capell1938,
fD,naru,,female ego's daughter,,,Capell1938,
mSS,mwapi,,male ego's son's son,,,Capell1938,
mSD,mwapi,,male ego's son's daughter,,,Capell1938,
mDS,mwapi,,male ego's daughter's son,,,Capell1938,
mDD,mwapi,,male ego's daughter's daughter,,,Capell1938,
fSS,mwapi,,female ego's son's son,,,Capell1938,
fSD,mwapi,,female ego's son's daughter,,,Capell1938,
fDS,mwapi,,female ego's daughter's son,,,Capell1938,
fDD,mwapi,,female ego's daugher's daughter,,,Capell1938,
mFF,apua,,male ego's father‘s father,,,Capell1938,
mFM,apua,,male ego's father's mother,,,Capell1938,
mMF,apua,,male ego's mother's father,,,Capell1938,
mMM,apua,,male ego's mother's mother,,,Capell1938,
fFF,apua,,female ego's father's father,,,Capell1938,
fFM,apua,,female ego's father's mother,,,Capell1938,
fMF,apua,,female ego's mother's father,,,Capell1938,
fMM,apua,,female ego's mother's mother,,,Capell1938,
meBS,naru,,male ego's older brother's son,,,Capell1938,
myBS,naru,,male ego's younger brother's son,,,Capell1938,
meZS,miaru,,male ego's older sister's son,,,Capell1938,
myZS,miaru,,male ego's younger sister's son,,,Capell1938,
meBD,naru,,male ego's older brother's daughter,,,Capell1938,
myBD,naru,,male ego's younger brother's daughter,,,Capell1938,
meZD,miaru,,male ego's older sister's daughter,,,Capell1938,
myZD,miaru,,male ego's younger sister's daughter,,,Capell1938,
feBS,apogbwa,,female ego's older brother's son,,,Capell1938,
fyBS,apogbwa,,female ego's younger brother's son,,,Capell1938,
feBD,apogbwa,,female ego's older brother's daughter,,,Capell1938,
