"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","tokana",,"male ego's older brother",,,"Marck1996",
"myB","teina",,"male ego's younger brother",,,"Marck1996",
"feB","tungane",,"female ego's older brother",,,"Marck1996",
"fyB","tungane",,"female ego's younger brother",,,"Marck1996",
"meZ","tahini",,"male ego's older sister",,,"Marck1996",
"myZ","tahini",,"male ego's younger sister",,,"Marck1996",
"feZ","tokana",,"female ego's older sister",,,"Marck1996",
"fyZ","teina",,"female ego's younger sister",,,"Marck1996",
"mF","hama",,"male ego's father",,,"Marck1996",
"mM","hina",,"male ego's mother",,,"Marck1996",
"fF","hama",,"female ego's father",,,"Marck1996",
"fM","hina",,"female ego's mother",,,"Marck1996",
"mS","ataliki",,"male ego's son",,,"Marck1996",
"fS","tama",,"female ego's son",,,"Marck1996",
"mD","ahahine",,"male ego's daughter",,,"Marck1996",
"fD","taina",,"female ego's daughter",,,"Marck1996",
"mSS","apu, makupu",,"male ego's son's son",,,"Marck1996",
"mSD","apu, makupu",,"male ego's son's daughter",,,"Marck1996",
"mDS","apu, makupu",,"male ego's daughter's son",,,"Marck1996",
"mDD","apu, makupu",,"male ego's daughter's daughter",,,"Marck1996",
"fSS","apu, makupu",,"female ego's son's son",,,"Marck1996",
"fSD","apu, makupu",,"female ego's son's daughter",,,"Marck1996",
"fDS","apu, makupu",,"female ego's daughter's son",,,"Marck1996",
"fDD","apu, makupu",,"female ego's daugher's daughter",,,"Marck1996",
"mFF","apu, hipa",,"male ego's father‘s father",,,"Marck1996",
"mFM","apu, hipa",,"male ego's father's mother",,,"Marck1996",
"mMF","apu, hipa",,"male ego's mother's father",,,"Marck1996",
"mMM","apu, hipa",,"male ego's mother's mother",,,"Marck1996",
"fFF","apu, hipa",,"female ego's father's father",,,"Marck1996",
"fFM","apu, hipa",,"female ego's father's mother",,,"Marck1996",
"fMF","apu, hipa",,"female ego's mother's father",,,"Marck1996",
"fMM","apu, hipa",,"female ego's mother's mother",,,"Marck1996",
"meBS","ataliki",,"male ego's older brother's son",,,"Marck1996",
"myBS","ataliki",,"male ego's younger brother's son",,,"Marck1996",
"meZS","ilamotu",,"male ego's older sister's son",,,"Marck1996",
"myZS","ilamotu",,"male ego's younger sister's son",,,"Marck1996",
"meBD","ahahine",,"male ego's older brother's daughter",,,"Marck1996",
"myBD","ahahine",,"male ego's younger brother's daughter",,,"Marck1996",
"meZD","ilamotu",,"male ego's older sister's daughter",,,"Marck1996",
"myZD","ilamotu",,"male ego's younger sister's daughter",,,"Marck1996",
"feBS","tama",,"female ego's older brother's son",,,"Marck1996",
"fyBS","tama",,"female ego's younger brother's son",,,"Marck1996",
"feZS","tama",,"female ego's older sister's son",,,"Marck1996",
"fyZS","tama",,"female ego's younger sister's son",,,"Marck1996",
"feBD","taina",,"female ego's older brother's daughter",,,"Marck1996",
"fyBD","taina",,"female ego's younger brother's daughter",,,"Marck1996",
"feZD","taina",,"female ego's older sister's daughter",,,"Marck1996",
"fyZD","taina",,"female ego's younger sister's daughter",,,"Marck1996",
"mFeB","hama",,"male ego's father's older brother",,,"Marck1996",
"mFyB","hama",,"male ego's father's younger brother",,,"Marck1996",
"mFeZ","hina",,"male ego's father's older sister",,,"Marck1996",
"mFyZ","hina",,"male ego's father's younger sister",,,"Marck1996",
"mMeB","ingoa",,"male ego's mother's older brother",,,"Marck1996",
"mMyB","ingoa",,"male ego's mother's younger brother",,,"Marck1996",
"mMeZ","hina",,"male ego's mother's older sister",,,"Marck1996",
"mMyZ","hina",,"male ego's mother's younger sister",,,"Marck1996",
"fFeB","hama",,"female ego's father's older brother",,,"Marck1996",
"fFyB","hama",,"female ego's father's younger brother",,,"Marck1996",
"fFeZ","hina",,"female ego's father's older sister",,,"Marck1996",
"fFyZ","hina",,"female ego's father's younger sister",,,"Marck1996",
"fMeB","ingoa",,"female ego's mother's older brother",,,"Marck1996",
"fMyB","ingoa",,"female ego's mother's younger brother",,,"Marck1996",
"fMeZ","hina",,"female ego's mother's older sister",,,"Marck1996",
"fMyZ","hina",,"female ego's mother's younger sister",,,"Marck1996",
"mW","nohine",,"male ego's wife",,,"Marck1996",
"fH","matua",,"female ego‘s husband",,,"Marck1996",
"mDH","hungo",,"male ego's daughter's husband",,,"Marck1996",
"fDH","hungo",,"female ego's daughter's husband",,,"Marck1996",
"mSW","hungo",,"male ego's son's wife",,,"Marck1996",
"fSW","hungo",,"female ego's son's wife",,,"Marck1996",
"mWF","hama-hongovae",,"male ego's wife's father",,,"Marck1996",
"mWM","hina-hongovae",,"male ego's wife's mother",,,"Marck1996",
"mWB","ma",,"male ego's wife's brother",,,"Marck1996",
"fHF","hama-hongovae",,"female ego's husband's father",,,"Marck1996",
"fHM","hina-hongovae",,"female ego's husband's mother",,,"Marck1996",
"fHZ","ma",,"female ego's husband's sister",,,"Marck1996",
"mBW","ma",,"male ego's brother's wife",,,"Marck1996",
"fZH","ma",,"female ego's sister's husband",,,"Marck1996",
"mFeBS","tokana",,"male ego's father‘s older brother‘s son",,,"Marck1996",
"mFyBS","teina",,"male ego‘s father‘s younger brother‘s son",,,"Marck1996",
"mFeZS","kave",,"male ego's father‘s older sister‘s son",,,"Marck1996",
"mFyZS","kave",,"male ego‘s father‘s younger sister‘s son",,,"Marck1996",
"mFeBD","tahini",,"male ego's father‘s older brother‘s daughter",,,"Marck1996",
"mFyBD","tahini",,"male ego‘s father‘s younger brother‘s daughter",,,"Marck1996",
"mFeZD","tahini-kave",,"male ego's father‘s older sister‘s daughter",,,"Marck1996",
"mFyZD","tahini-kave",,"male ego‘s father‘s younger sister‘s daughter",,,"Marck1996",
"mMeBS","kave",,"male ego's mother‘s older brother‘s son",,,"Marck1996",
"mMyBS","kave",,"male ego‘s mother‘s younger brother‘s son",,,"Marck1996",
"mMeZS","tokana",,"male ego's mother‘s older sister‘s son",,,"Marck1996",
"mMyZS","teina",,"male ego‘s mother‘s younger sister‘s son",,,"Marck1996",
"mMeBD","tahini-kave",,"male ego's mother‘s older brother‘s daughter",,,"Marck1996",
"mMyBD","tahini-kave",,"male ego‘s mother‘s younger brother‘s daughter",,,"Marck1996",
"mMeZD","tahini",,"male ego's mother‘s older sister‘s daughter",,,"Marck1996",
"mMyZD","tahini",,"male ego‘s mother‘s younger sister‘s daughter",,,"Marck1996",
"fFeBS","tungane",,"female ego's father‘s older brother‘s son",,,"Marck1996",
"fFyBS","tungane",,"female ego‘s father‘s younger brother‘s son",,,"Marck1996",
"fFeZS","tungane-kave",,"female ego's father‘s older sister‘s son",,,"Marck1996",
"fFyZS","tungane-kave",,"female ego‘s father‘s younger sister‘s son",,,"Marck1996",
"fFeBD","tokana",,"female ego's father‘s older brother‘s daughter",,,"Marck1996",
"fFyBD","teina",,"female ego‘s father‘s younger brother‘s daughter",,,"Marck1996",
"fFeZD","kave",,"female ego's father‘s older sister‘s daughter",,,"Marck1996",
"fFyZD","kave",,"female ego‘s father‘s younger sister‘s daughter",,,"Marck1996",
"fMeBS","tungane-kave",,"female ego's mother‘s older brother‘s son",,,"Marck1996",
"fMyBS","tungane-kave",,"female ego‘s mother‘s younger brother‘s son",,,"Marck1996",
"fMeZS","tungane",,"female ego's mother‘s older sister‘s son",,,"Marck1996",
"fMyZS","tungane",,"female ego‘s mother‘s younger sister‘s son",,,"Marck1996",
"fMeBD","kave",,"female ego's mother‘s older brother‘s daughter",,,"Marck1996",
"fMyBD","kave",,"female ego‘s mother‘s younger brother‘s daughter",,,"Marck1996",
"fMeZD","tokana",,"female ego's mother‘s older sister‘s daughter",,,"Marck1996",
"fMyZD","teina",,"female ego‘s mother‘s younger sister‘s daughter",,,"Marck1996",
