parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,tiga-,,male ego's older brother,,,Beaumont1979,
myB,tiga-,,male ego's younger brother,,,Beaumont1979,
feB,vasa-,,female ego's older brother,,,Beaumont1979,
fyB,vasa-,,female ego's younger brother,,,Beaumont1979,
meZ,vasa-,,male ego's older sister,,,Beaumont1979,
myZ,vasa-,,male ego's younger sister,,,Beaumont1979,
feZ,tiga-,,female ego's older sister,,,Beaumont1979,
fyZ,tiga-,,female ego's younger sister,,,Beaumont1979,
mF,tama-,,male ego's father,,,Beaumont1979,
mM,na-,,male ego's mother,,,Beaumont1979,
fF,tama-,,female ego's father,,,Beaumont1979,
fM,na-,,female ego's mother,,,Beaumont1979,
mS,natu-,,male ego's son,,,Beaumont1979,
fS,natu-,,female ego's son,,,Beaumont1979,
mD,natu-,,male ego's daughter,,,Beaumont1979,
fD,natu-,,female ego's daughter,,,Beaumont1979,
mW,natlava-,,male ego's wife,,,Beaumont1979,
fH,natlava-,,female ego‘s husband,,,Beaumont1979,
