parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,kaka,,male ego's older brother,,,,
myB,hai,,male ego's younger brother,,,,
feB,kaka,,female ego's older brother,,,,
fyB,hai,,female ego's younger brother,,,,
meZ,kaka,,male ego's older sister,,,,
myZ,hai,,male ego's younger sister,,,,
feZ,kaka,,female ego's older sister,,,,
fyZ,hai,,female ego's younger sister,,,,
mF,uma,,male ego's father,,,,
mM,ine,,male ego's mother,,,,
fF,uma,,female ego's father,,,,
fM,ine,,female ego's mother,,,,
mS,ana,,male ego's son,,,,
fS,ana,,female ego's son,,,,
mD,ana,,male ego's daughter,,,,
fD,ana,,female ego's daughter,,,,
mSS,ua,,male ego's son's son,,,,
mSD,ua,,male ego's son's daughter,,,,
mDS,ua,,male ego's daughter's son,,,,
mDD,ua,,male ego's daughter's daughter,,,,
fSS,ua,,female ego's son's son,,,,
fSD,ua,,female ego's son's daughter,,,,
fDS,ua,,female ego's daughter's son,,,,
fDD,ua,,female ego's daugher's daughter,,,,
mFF,uekai,,male ego's father‘s father,,,,
mFM,uekele,,male ego's father's mother,,,,
mMF,uekai,,male ego's mother's father,,,,
mMM,uekele,,male ego's mother's mother,,,,
fFF,uekai,,female ego's father's father,,,,
fFM,uekele,,female ego's father's mother,,,,
fMF,uekai,,female ego's mother's father,,,,
fMM,uekele,,female ego's mother's mother,,,,
mFeB,lakiˀama,,male ego's father's older brother,,,,
mFyB,lakiˀama,,male ego's father's younger brother,,,,
mFeZ,aɸo,,male ego's father's older sister,,,,
mFyZ,aɸo,,male ego's father's younger sister,,,,
mMeB,lakiˀama,,male ego's mother's older brother,,,,
mMyB,lakiˀama,,male ego's mother's younger brother,,,,
mMeZ,aɸo,,male ego's mother's older sister,,,,
mMyZ,aɸo,,male ego's mother's younger sister,,,,
fFeB,lakiˀama,,female ego's father's older brother,,,,
fFyB,lakiˀama,,female ego's father's younger brother,,,,
fFeZ,aɸo,,female ego's father's older sister,,,,
fFyZ,aɸo,,female ego's father's younger sister,,,,
fMeB,lakiˀama,,female ego's mother's older brother,,,,
fMyB,lakiˀama,,female ego's mother's younger brother,,,,
fMeZ,aɸo,,female ego's mother's older sister,,,,
fMyZ,aɸo,,female ego's mother's younger sister,,,,
mW,inalo,,male ego's wife,,,,
fH,inalo,,female ego‘s husband,,,,
