parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,taina,,male ego's older brother,,,,
myB,taina,,male ego's younger brother,,,,
feB,tuagane,,female ego's older brother,,,,
fyB,tuagane,,female ego's younger brother,,,,
meZ,tuagane,,male ego's older sister,,,,
myZ,tuagane,,male ego's younger sister,,,,
feZ,taina,,female ego's older sister,,,,
fyZ,taina,,female ego's younger sister,,,,
mF,tamana,,male ego's father,,,,
mM,"maatua, mama",,male ego's mother,,,,
fF,tamana,,female ego's father,,,,
fM,"maatua, mama",,female ego's mother,,,,
mS,tamataane,,male ego's son,,,,
fS,tamataane,,female ego's son,,,,
mD,tama fafine,,male ego's daughter,,,,
fD,tama fafine,,female ego's daughter,,,,
mSS,mokopuna,,male ego's son's son,,,,
mSD,mokopuna,,male ego's son's daughter,,,,
mDS,mokopuna,,male ego's daughter's son,,,,
mDD,mokopuna,,male ego's daughter's daughter,,,,
fSS,mokopuna,,female ego's son's son,,,,
fSD,mokopuna,,female ego's son's daughter,,,,
fDS,mokopuna,,female ego's daughter's son,,,,
fDD,mokopuna,,female ego's daugher's daughter,,,,
mFF,tupuna,,male ego's father‘s father,,,,
mFM,tupuna,,male ego's father's mother,,,,
mMF,tupuna,,male ego's mother's father,,,,
mMM,tupuna,,male ego's mother's mother,,,,
fFF,tupuna,,female ego's father's father,,,,
fFM,tupuna,,female ego's father's mother,,,,
fMF,tupuna,,female ego's mother's father,,,,
fMM,tupuna,,female ego's mother's mother,,,,
meBS,tama taane,,male ego's older brother's son,,,,
myBS,tama taane,,male ego's younger brother's son,,,,
meZS,"laamutu, ilaamutu, tuaatuna",,male ego's older sister's son,,,,
myZS,"laamutu, ilaamutu, tuaatuna",,male ego's younger sister's son,,,,
meBD,tama fafine,,male ego's older brother's daughter,,,,
myBD,tama fafine,,male ego's younger brother's daughter,,,,
meZD,"laamutu, ilaamutu, tuaatuna",,male ego's older sister's daughter,,,,
myZD,"laamutu, ilaamutu, tuaatuna",,male ego's younger sister's daughter,,,,
feBS,tama taane,,female ego's older brother's son,,,,
fyBS,tama taane,,female ego's younger brother's son,,,,
feZS,"laamutu, ilaamutu, tuaatuna",,female ego's older sister's son,,,,
fyZS,"laamutu, ilaamutu, tuaatuna",,female ego's younger sister's son,,,,
feBD,tama fafine,,female ego's older brother's daughter,,,,
fyBD,tama fafine,,female ego's younger brother's daughter,,,,
feZD,"laamutu, ilaamutu, tuaatuna",,female ego's older sister's daughter,,,,
fyZD,"laamutu, ilaamutu, tuaatuna",,female ego's younger sister's daughter,,,,
mFeB,tamana,,male ego's father's older brother,,,,
mFyB,tamana,,male ego's father's younger brother,,,,
mFeZ,fakamaatua,,male ego's father's older sister,,,,
mFyZ,fakamaatua,,male ego's father's younger sister,,,,
mMeB,"laamutu, ilaamutu, tuaatuna",,male ego's mother's older brother,,,,
mMyB,"laamutu, ilaamutu, tuaatuna",,male ego's mother's younger brother,,,,
mMeZ,fakamaatua,,male ego's mother's older sister,,,,
mMyZ,fakamaatua,,male ego's mother's younger sister,,,,
fFeB,tamana,,female ego's father's older brother,,,,
fFyB,tamana,,female ego's father's younger brother,,,,
fFeZ,fakamaatua,,female ego's father's older sister,,,,
fFyZ,fakamaatua,,female ego's father's younger sister,,,,
fMeB,"laamutu, ilaamutu, tuaatuna",,female ego's mother's older brother,,,,
fMyB,"laamutu, ilaamutu, tuaatuna",,female ego's mother's younger brother,,,,
fMeZ,fakamaatua,,female ego's mother's older sister,,,,
fMyZ,fakamaatua,,female ego's mother's younger sister,,,,
mW,"aavaga, ama",,male ego's wife,,,,
fH,aavaga,,female ego‘s husband,,,,
mDH,fugaono,,male ego's daughter's husband,,,,
fDH,fugaono,,female ego's daughter's husband,,,,
mSW,fugaono,,male ego's son's wife,,,,
fSW,fugaono,,female ego's son's wife,,,,
mWF,fugaono,,male ego's wife's father,,,,
mWM,fugaono,,male ego's wife's mother,,,,
mWB,maa,,male ego's wife's brother,,,,
fHF,fugaono,,female ego's husband's father,,,,
fHM,fugaono,,female ego's husband's mother,,,,
fHB,kave,,female ego's husband's brother,,,,
mZH,maa,,male ego's sister's husband,,,,
fZH,kave,,female ego's sister's husband,,,,
mFBS,fakataina,,male ego's father's brother's son,,,,
mFZS,fakataina,,male ego's father's sister's son,,,,
mMBS,fakataina,,male ego's mother's brother's son,,,,
mMZS,fakataina,,male ego's mother's sister's son,,,,
mFBD,fakatuagane,,male ego's father's brother's daughter,,,,
mFZD,fakatuagane,,male ego's father's sister's daughter,,,,
mMBD,fakatuagane,,male ego's mother's brother's daughter,,,,
mMZD,fakatuagane,,male ego's mother's sister's daughter,,,,
fFBS,fakatuagane,,female ego's father's brother's son,,,,
fFZS,fakatuagane,,female ego's father's sister's son,,,,
fMBS,fakatuagane,,female ego's mother's brother's son,,,,
fMZS,fakatuagane,,female ego's mother's sister's son,,,,
fFBD,fakataina,,female ego's father's brother's daughter,,,,
fFZD,fakataina,,female ego's father's sister's daughter,,,,
fMBD,fakataina,,female ego's mother's brother's daughter,,,,
fMZD,fakataina,,female ego's mother's sister's daughter,,,,
