parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,kaka,,male ego's older brother,,,Elkins1984,
myB,weli,,male ego's younger brother,,,Elkins1984,
feB,kaka,,female ego's older brother,,,Elkins1984,
fyB,weli,,female ego's younger brother,,,Elkins1984,
meZ,"ati, kaka",,male ego's older sister,,,Elkins1984,
myZ,weli,,male ego's younger sister,,,Elkins1984,
feZ,"ati, kaka",,female ego's older sister,,,Elkins1984,
fyZ,weli,,female ego's younger sister,,,Elkins1984,
mF,ama,,male ego's father,,,Elkins1984,
mM,ina,,male ego's mother,,,Elkins1984,
fF,ama,,female ego's father,,,Elkins1984,
fM,ina,,female ego's mother,,,Elkins1984,
mS,anak,,male ego's son,,,Elkins1984,
fS,anak,,female ego's son,,,Elkins1984,
mD,anak,,male ego's daughter,,,Elkins1984,
fD,anak,,female ego's daughter,,,Elkins1984,
mSS,apo,,male ego's son's son,,,Elkins1984,
mSD,apo,,male ego's son's daughter,,,Elkins1984,
mDS,apo,,male ego's daughter's son,,,Elkins1984,
mDD,apo,,male ego's daughter's daughter,,,Elkins1984,
fSS,apo,,female ego's son's son,,,Elkins1984,
fSD,apo,,female ego's son's daughter,,,Elkins1984,
fDS,apo,,female ego's daughter's son,,,Elkins1984,
fDD,apo,,female ego's daugher's daughter,,,Elkins1984,
mFF,bubu,,male ego's father‘s father,,,Elkins1984,
mFM,bubu,,male ego's father's mother,,,Elkins1984,
mMF,bubu,,male ego's mother's father,,,Elkins1984,
mMM,bubu,,male ego's mother's mother,,,Elkins1984,
fFF,bubu,,female ego's father's father,,,Elkins1984,
fFM,bubu,,female ego's father's mother,,,Elkins1984,
fMF,bubu,,female ego's mother's father,,,Elkins1984,
fMM,bubu,,female ego's mother's mother,,,Elkins1984,
meBS,manakon,,male ego's older brother's son,,,Elkins1984,
myBS,manakon,,male ego's younger brother's son,,,Elkins1984,
meZS,manakon,,male ego's older sister's son,,,Elkins1984,
myZS,manakon,,male ego's younger sister's son,,,Elkins1984,
meBD,manakon,,male ego's older brother's daughter,,,Elkins1984,
myBD,manakon,,male ego's younger brother's daughter,,,Elkins1984,
meZD,manakon,,male ego's older sister's daughter,,,Elkins1984,
myZD,manakon,,male ego's younger sister's daughter,,,Elkins1984,
feBS,manakon,,female ego's older brother's son,,,Elkins1984,
fyBS,manakon,,female ego's younger brother's son,,,Elkins1984,
feZS,manakon,,female ego's older sister's son,,,Elkins1984,
fyZS,manakon,,female ego's younger sister's son,,,Elkins1984,
feBD,manakon,,female ego's older brother's daughter,,,Elkins1984,
fyBD,manakon,,female ego's younger brother's daughter,,,Elkins1984,
feZD,manakon,,female ego's older sister's daughter,,,Elkins1984,
fyZD,manakon,,female ego's younger sister's daughter,,,Elkins1984,
mFeB,wawa,,male ego's father's older brother,,,Elkins1984,
mFyB,mama,,male ego's father's younger brother,,,Elkins1984,
mFeZ,"indo, teti",,male ego's father's older sister,indo = oldest aunt,,Elkins1984,
mFyZ,nangnang,,male ego's father's younger sister,,,Elkins1984,
mMeB,wawa,,male ego's mother's older brother,,,Elkins1984,
mMyB,mama,,male ego's mother's younger brother,,,Elkins1984,
mMeZ,"indo, teti",,male ego's mother's older sister,indo = oldest aunt,,Elkins1984,
mMyZ,nangnang,,male ego's mother's younger sister,,,Elkins1984,
fFeB,wawa,,female ego's father's older brother,,,Elkins1984,
fFyB,mama,,female ego's father's younger brother,,,Elkins1984,
fFeZ,"indo, teti",,female ego's father's older sister,indo = oldest aunt,,Elkins1984,
fFyZ,nangnang,,female ego's father's younger sister,,,Elkins1984,
fMeB,wawa,,female ego's mother's older brother,,,Elkins1984,
fMyB,mama,,female ego's mother's younger brother,,,Elkins1984,
fMeZ,"indo, teti",,female ego's mother's older sister,indo = oldest aunt,,Elkins1984,
fMyZ,nangnang,,female ego's mother's younger sister,,,Elkins1984,
mW,bebi,,male ego's wife,,,Elkins1984,
fH,bebi,,female ego‘s husband,,,Elkins1984,
mDH,anak,,male ego's daughter's husband,,,Elkins1984,
fDH,anak,,female ego's daughter's husband,,,Elkins1984,
mSW,anak,,male ego's son's wife,,,Elkins1984,
fSW,anak,,female ego's son's wife,,,Elkins1984,
mWF,panawangan,,male ego's wife's father,,,Elkins1984,
mWM,panawangan,,male ego's wife's mother,,,Elkins1984,
mWB,beyaw,,male ego's wife's brother,,,Elkins1984,
mWZ,"ati, beyaw",,male ego's wife's sister,"ati = older, beyaw = younger",,Elkins1984,
fHF,panawangan,,female ego's husband's father,,,Elkins1984,
fHM,panawangan,,female ego's husband's mother,,,Elkins1984,
fHB,beyaw,,female ego's husband's brother,,,Elkins1984,
fHZ,"ati, beyaw",,female ego's husband's sister,"ati = older, beyaw = younger",,Elkins1984,
mBW,"ati, beyaw",,male ego's brother's wife,"ati = older, beyaw = younger",,Elkins1984,
fBW,"ati, beyaw",,female ego's brother's wife,"ati = older, beyaw = younger",,Elkins1984,
mZH,beyaw,,male ego's sister's husband,,,Elkins1984,
fZH,beyaw,,female ego's sister's husband,,,Elkins1984,
mFBeS,pinsan,,male ego‘s father‘s brother‘s older son,,,Elkins1984,
mFByS,pinsan,,male ego‘s father‘s brother‘s younger son,,,Elkins1984,
mFBeD,"ati, pinsan",,male ego‘s father‘s brother‘s older daughter,,,Elkins1984,
mFByD,pinsan,,male ego‘s father‘s brother‘s younger daughter,,,Elkins1984,
mFZeS,pinsan,,male ego‘s father‘s sisters‘s older son,,,Elkins1984,
mFZyS,pinsan,,male ego‘s father‘s sisters‘s younger son,,,Elkins1984,
mFZeD,"ati, pinsan",,male ego‘s father‘s sisters‘s older daughter,,,Elkins1984,
mFZyD,pinsan,,male ego‘s father‘s sisters‘s younger daughter,,,Elkins1984,
mMBeS,pinsan,,male ego‘s mother‘s brother‘s older son,,,Elkins1984,
mMByS,pinsan,,male ego‘s mother‘s brother‘s younger son,,,Elkins1984,
mMBeD,"ati, pinsan",,male ego‘s mother‘s brother‘s older daughter,,,Elkins1984,
mMByD,pinsan,,male ego‘s mother‘s brother‘s younger daughter,,,Elkins1984,
mMZeS,pinsan,,male ego‘s mother‘s sisters‘s older son,,,Elkins1984,
mMZyS,pinsan,,male ego‘s mother‘s sisters‘s younger son,,,Elkins1984,
mMZeD,"ati, pinsan",,male ego‘s mother‘s sisters‘s older daughter,,,Elkins1984,
mMZyD,pinsan,,male ego‘s mother‘s sisters‘s younger daughter,,,Elkins1984,
fFBeS,pinsan,,female ego‘s father‘s brother‘s older son,,,Elkins1984,
fFByS,pinsan,,female ego‘s father‘s brother‘s younger son,,,Elkins1984,
fFBeD,"ati, pinsan",,female ego‘s father‘s brother‘s older daughter,,,Elkins1984,
fFByD,pinsan,,female ego‘s father‘s brother‘s younger daughter,,,Elkins1984,
fFZeS,pinsan,,female ego‘s father‘s sisters‘s older son,,,Elkins1984,
fFZyS,pinsan,,female ego‘s father‘s sisters‘s younger son,,,Elkins1984,
fFZeD,"ati, pinsan",,female ego‘s father‘s sisters‘s older daughter,,,Elkins1984,
fFZyD,pinsan,,female ego‘s father‘s sisters‘s younger daughter,,,Elkins1984,
fMBeS,pinsan,,female ego‘s mother‘s brother‘s older son,,,Elkins1984,
fMByS,pinsan,,female ego‘s mother‘s brother‘s younger son,,,Elkins1984,
fMBeD,"ati, pinsan",,female ego‘s mother‘s brother‘s older daughter,,,Elkins1984,
fMByD,pinsan,,female ego‘s mother‘s brother‘s younger daughter,,,Elkins1984,
fMZeS,pinsan,,female ego‘s mother‘s sisters‘s older son,,,Elkins1984,
fMZyS,pinsan,,female ego‘s mother‘s sisters‘s younger son,,,Elkins1984,
fMZeD,"ati, pinsan",,female ego‘s mother‘s sisters‘s older daughter,,,Elkins1984,
fMZyD,pinsan,,female ego‘s mother‘s sisters‘s younger daughter,,,Elkins1984,
