parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"avinsai, afro, avuk",,male ego's older brother,,,,
myB,"avinsai, afro, avuk",,male ego's younger brother,,,,
meZ,vin,,male ego's older sister,,,,
myZ,vin,,male ego's younger sister,,,,
feZ,"avinsai, avuk",,female ego's older sister,,,,
fyZ,"avinsai, avuk",,female ego's younger sister,,,,
mF,rimin,,male ego's father,dera,,,
mM,ehnen,,male ego's mother,ula,,,
fF,rimin,,female ego's father,dera,,,
fM,ehnen,,female ego's mother,ula,,,
mSS,bocbon,,male ego's son's son,,,,
mSD,bocbon,,male ego's son's daughter,,,,
mDS,bocbon,,male ego's daughter's son,,,,
mDD,bocbon,,male ego's daughter's daughter,,,,
fSS,bocbon,,female ego's son's son,,,,
fSD,bocbon,,female ego's son's daughter,,,,
fDS,bocbon,,female ego's daughter's son,,,,
fDD,bocbon,,female ego's daugher's daughter,,,,
mFF,irais,,male ego's father‘s father,,,,
mFM,uyou,,male ego's father's mother,,,,
mMF,irais,,male ego's mother's father,,,,
mMM,uyou,,male ego's mother's mother,,,,
fFF,irais,,female ego's father's father,,,,
fFM,uyou,,female ego's father's mother,,,,
fMF,irais,,female ego's mother's father,,,,
fMM,uyou,,female ego's mother's mother,,,,
meBS,alwin,,male ego's older brother's son,,,,
myBS,alwin,,male ego's younger brother's son,,,,
meZS,alwin,,male ego's older sister's son,,,,
myZS,alwin,,male ego's younger sister's son,,,,
feBS,eten,,female ego's older brother's son,,,,
fyBS,eten,,female ego's younger brother's son,,,,
feZS,eten,,female ego's older sister's son,,,,
fyZS,eten,,female ego's younger sister's son,,,,
mFeZ,leren,,male ego's father's older sister,,,,
mFyZ,leren,,male ego's father's younger sister,,,,
mMeB,maran,,male ego's mother's older brother,,,,
mMyB,maran,,male ego's mother's younger brother,,,,
fFeZ,leren,,female ego's father's older sister,,,,
fFyZ,leren,,female ego's father's younger sister,,,,
mW,"lavnan, rivan",,male ego's wife,nasimnalam,,,wife of chief
fH,awin,,female ego‘s husband,,,,
fHB,damle,,female ego's husband's brother,,,,
fHZ,damle,,female ego's husband's sister,,,,
mBW,damle,,male ego's brother's wife,,,,
fBW,damle,,female ego's brother's wife,,,,
mZH,damle,,male ego's sister's husband,,,,
fZH,damle,,female ego's sister's husband,,,,
