parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,togana,,male ego's older brother,,,,
myB,kaena,,male ego's younger brother,,,,
feB,vavanina,,female ego's older brother,,,,
fyB,vavanina,,female ego's younger brother,,,,
meZ,vavanina,,male ego's older sister,,,,
myZ,vavanina,,male ego's younger sister,,,,
feZ,togana,,female ego's older sister,,,,
fyZ,kaena,,female ego's younger sister,,,,
mF,tamana,,male ego's father,,,,
mM,sinana,,male ego's mother,,,,
fF,tamana,,female ego's father,,,,
fM,sinana,,female ego's mother,,,,
mS,tuna,,male ego's son,,,,
fS,tuna,,female ego's son,,,,
mD,tuna,,male ego's daughter,,,,
fD,tuna,,female ego's daughter,,,,
mSS,babazuna,,male ego's son's son,,,,
mSD,babazuna,,male ego's son's daughter,,,,
mDS,babazuna,,male ego's daughter's son,,,,
mDD,babazuna,,male ego's daughter's daughter,,,,
fSS,babazuna,,female ego's son's son,,,,
fSD,babazuna,,female ego's son's daughter,,,,
fDS,babazuna,,female ego's daughter's son,,,,
fDD,babazuna,,female ego's daugher's daughter,,,,
mFF,tunazake,,male ego's father‘s father,,,,
mFM,sinananggole,,male ego's father's mother,,,,
mMF,tunazake,,male ego's mother's father,,,,
mMM,sinananggole,,male ego's mother's mother,,,,
fFF,tunazake,,female ego's father's father,,,,
fFM,sinananggole,,female ego's father's mother,,,,
fMF,tunazake,,female ego's mother's father,,,,
fMM,sinananggole,,female ego's mother's mother,,,,
meBS,tuna,,male ego's older brother's son,,,,
myBS,tuna,,male ego's younger brother's son,,,,
meZS,babazuna,,male ego's older sister's son,,,,
myZS,babazuna,,male ego's younger sister's son,,,,
meBD,tuna,,male ego's older brother's daughter,,,,
myBD,tuna,,male ego's younger brother's daughter,,,,
meZD,babazuna,,male ego's older sister's daughter,,,,
myZD,babazuna,,male ego's younger sister's daughter,,,,
feBS,tuna,,female ego's older brother's son,,,,
fyBS,tuna,,female ego's younger brother's son,,,,
feZS,tuna,,female ego's older sister's son,,,,
fyZS,tuna,,female ego's younger sister's son,,,,
feBD,tuna,,female ego's older brother's daughter,,,,
fyBD,tuna,,female ego's younger brother's daughter,,,,
feZD,tuna,,female ego's older sister's daughter,,,,
fyZD,tuna,,female ego's younger sister's daughter,,,,
mFeB,tamana,,male ego's father's older brother,,,,
mFyB,tamana,,male ego's father's younger brother,,,,
mFeZ,sinana,,male ego's father's older sister,,,,
mFyZ,sinana,,male ego's father's younger sister,,,,
mMeB,tuetana,,male ego's mother's older brother,,,,
mMyB,tuetana,,male ego's mother's younger brother,,,,
mMeZ,sinana,,male ego's mother's older sister,,,,
mMyZ,sinana,,male ego's mother's younger sister,,,,
fFeB,tamana,,female ego's father's older brother,,,,
fFyB,tamana,,female ego's father's younger brother,,,,
fFeZ,sinana,,female ego's father's older sister,,,,
fFyZ,sinana,,female ego's father's younger sister,,,,
fMeB,tuetana,,female ego's mother's older brother,,,,
fMyB,tuetana,,female ego's mother's younger brother,,,,
fMeZ,sinana,,female ego's mother's older sister,,,,
fMyZ,sinana,,female ego's mother's younger sister,,,,
mW,aro,,male ego's wife,,,,
fH,aro,,female ego‘s husband,,,,
mDH,ravana,,male ego's daughter's husband,,,,
fDH,ravana,,female ego's daughter's husband,,,,
mSW,ravana,,male ego's son's wife,,,,
fSW,ravana,,female ego's son's wife,,,,
mWF,ravana,,male ego's wife's father,,,,
mWM,ravana,,male ego's wife's mother,,,,
mWZ,tuna,,male ego's wife's sister,tuna = wife's younger sister,,,
fHF,ravana,,female ego's husband's father,,,,
fHM,ravana,,female ego's husband's mother,,,,
fHB,tuna,,female ego's husband's brother,tuna = husband's younger brother,,,
mBW,ivana,,male ego's brother's wife,,,,
fBW,ivana,,female ego's brother's wife,,,,
mZH,ivana,,male ego's sister's husband,,,,
fZH,ivana,,female ego's sister's husband,,,,
mFBeS,togana,,male ego‘s father‘s brother‘s older son,,,,
mFByS,kaena,,male ego‘s father‘s brother‘s younger son,,,,
mFBeD,vavanina,,male ego‘s father‘s brother‘s older daughter,,,,
mFByD,vavanina,,male ego‘s father‘s brother‘s younger daughter,,,,
mFZeS,togana,,male ego‘s father‘s sisters‘s older son,,,,
mFZyS,kaena,,male ego‘s father‘s sisters‘s younger son,,,,
mFZeD,vavanina,,male ego‘s father‘s sisters‘s older daughter,,,,
mFZyD,vavanina,,male ego‘s father‘s sisters‘s younger daughter,,,,
mMBeS,togana,,male ego‘s mother‘s brother‘s older son,,,,
mMByS,kaena,,male ego‘s mother‘s brother‘s younger son,,,,
mMBeD,vavanina,,male ego‘s mother‘s brother‘s older daughter,,,,
mMByD,vavanina,,male ego‘s mother‘s brother‘s younger daughter,,,,
mMZeS,togana,,male ego‘s mother‘s sisters‘s older son,,,,
mMZyS,kaena,,male ego‘s mother‘s sisters‘s younger son,,,,
mMZeD,vavanina,,male ego‘s mother‘s sisters‘s older daughter,,,,
mMZyD,vavanina,,male ego‘s mother‘s sisters‘s younger daughter,,,,
fFBeS,vavanina,,female ego‘s father‘s brother‘s older son,,,,
fFByS,vavanina,,female ego‘s father‘s brother‘s younger son,,,,
fFBeD,togana,,female ego‘s father‘s brother‘s older daughter,,,,
fFByD,kaena,,female ego‘s father‘s brother‘s younger daughter,,,,
fFZeS,vavanina,,female ego‘s father‘s sisters‘s older son,,,,
fFZyS,vavanina,,female ego‘s father‘s sisters‘s younger son,,,,
fFZeD,togana,,female ego‘s father‘s sisters‘s older daughter,,,,
fFZyD,kaena,,female ego‘s father‘s sisters‘s younger daughter,,,,
fMBeS,vavanina,,female ego‘s mother‘s brother‘s older son,,,,
fMByS,vavanina,,female ego‘s mother‘s brother‘s younger son,,,,
fMBeD,togana,,female ego‘s mother‘s brother‘s older daughter,,,,
fMByD,kaena,,female ego‘s mother‘s brother‘s younger daughter,,,,
fMZeS,vavanina,,female ego‘s mother‘s sisters‘s older son,,,,
fMZyS,vavanina,,female ego‘s mother‘s sisters‘s younger son,,,,
fMZeD,togana,,female ego‘s mother‘s sisters‘s older daughter,,,,
fMZyD,kaena,,female ego‘s mother‘s sisters‘s younger daughter,,,,
