parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,tukaka,,male ego's older brother,,,,
myB,tuai,,male ego's younger brother,,,,
feB,tukaka,,female ego's older brother,,,,
fyB,tuai,,female ego's younger brother,,,,
meZ,tukaka,,male ego's older sister,,,,
myZ,tuai,,male ego's younger sister,,,,
feZ,tukaka,,female ego's older sister,,,,
fyZ,tuai,,female ego's younger sister,,,,
mF,"apu, tama",,male ego's father,,,,
mM,bae,,male ego's mother,,,,
fF,"apu, tama",,female ego's father,,,,
fM,bae,,female ego's mother,,,,
mS,ana,,male ego's son,,,,
fS,ana,,female ego's son,,,,
mD,ana,,male ego's daughter,,,,
fD,ana,,female ego's daughter,,,,
mSS,ue,,male ego's son's son,,,,
mSD,ue,,male ego's son's daughter,,,,
mDS,ue,,male ego's daughter's son,,,,
mDD,ue,,male ego's daughter's daughter,,,,
fSS,ue,,female ego's son's son,,,,
fSD,ue,,female ego's son's daughter,,,,
fDS,ue,,female ego's daughter's son,,,,
fDD,ue,,female ego's daugher's daughter,,,,
mFF,ue,,male ego's father‘s father,,,,
mFM,ue,,male ego's father's mother,,,,
mMF,ue,,male ego's mother's father,,,,
mMM,ue,,male ego's mother's mother,,,,
fFF,ue,,female ego's father's father,,,,
fFM,ue,,female ego's father's mother,,,,
fMF,ue,,female ego's mother's father,,,,
fMM,ue,,female ego's mother's mother,,,,
mFeB,kiˀama,,male ego's father's older brother,,,,
mFyB,kiˀama,,male ego's father's younger brother,,,,
mFeZ,ina,,male ego's father's older sister,,,,
mFyZ,ina,,male ego's father's younger sister,,,,
mMeB,kiˀama,,male ego's mother's older brother,,,,
mMyB,kiˀama,,male ego's mother's younger brother,,,,
mMeZ,ina,,male ego's mother's older sister,,,,
mMyZ,ina,,male ego's mother's younger sister,,,,
fFeB,kiˀama,,female ego's father's older brother,,,,
fFyB,kiˀama,,female ego's father's younger brother,,,,
fFeZ,ina,,female ego's father's older sister,,,,
fFyZ,ina,,female ego's father's younger sister,,,,
fMeB,kiˀama,,female ego's mother's older brother,,,,
fMyB,kiˀama,,female ego's mother's younger brother,,,,
fMeZ,ina,,female ego's mother's older sister,,,,
fMyZ,ina,,female ego's mother's younger sister,,,,
mW,tiɸa,,male ego's wife,,,,
fH,tiɸa,,female ego‘s husband,,,,
