"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mF","momo",,"male ego's father",,,"Holle1980v2",
"mM","nene",,"male ego's mother",,,"Holle1980v2",
"fF","momo",,"female ego's father",,,"Holle1980v2",
"fM","nene",,"female ego's mother",,,"Holle1980v2",
"mS","joi-mon",,"male ego's son",,,"Holle1980v2",
"mD","joi-meping",,"male ego's daughter",,,"Holle1980v2",
"fS","joi-mon",,"female ego's son",,,"Holle1980v2",
"fD","joi-meping",,"female ego's daughter",,,"Holle1980v2",
"mFF","gae",,"male ego's father's father",,,"Holle1980v2",
"mFM","gele",,"male ego's father's mother",,,"Holle1980v2",
"mMF","gae",,"male ego's mother's father",,,"Holle1980v2",
"mMM","gele",,"male ego's mother's mother",,,"Holle1980v2",
"fFF","gae",,"female ego's father's father",,,"Holle1980v2",
"fFM","gele",,"female ego's father's mother",,,"Holle1980v2",
"fMF","gae",,"female ego's mother's father",,,"Holle1980v2",
"fMM","gele",,"female ego's mother's mother",,,"Holle1980v2",
"meB","fteno tenlol",,"male ego's older brother",,,"Holle1980v2",
"myB","fteno tatetoetei",,"male ego's younger brother",,,"Holle1980v2",
"feB","fteno tenlol",,"female ego's older brother",,,"Holle1980v2",
"fyB","fteno tatetoetei",,"female ego's younger brother",,,"Holle1980v2",
"meZ","remo tenlol",,"male ego's older sister",,,"Holle1980v2",
"myZ","remo tatetoetei",,"male ego's younger sister",,,"Holle1980v2",
"feZ","remo tenlol",,"female ego's older sister",,,"Holle1980v2",
"fyZ","remo tatetoetei",,"female ego's younger sister",,,"Holle1980v2",
"mSS","kboe",,"male ego's son's son",,,"Holle1980v2",
"mSD","kboe",,"male ego's son's daughter",,,"Holle1980v2",
"mDS","kboe",,"male ego's daughter's son",,,"Holle1980v2",
"mDD","kboe",,"male ego's daughter's daughter",,,"Holle1980v2",
"fSS","kboe",,"female ego's son's son",,,"Holle1980v2",
"fSD","kboe",,"female ego's son's daughter",,,"Holle1980v2",
"fDS","kboe",,"female ego's daughter's son",,,"Holle1980v2",
"fDD","kboe",,"female ego's daugher's daughter",,,"Holle1980v2",
"mFeB","momo, pea",,"male ego's father's older brother",,,"Holle1980v2",
"mFyB","momo, pea",,"male ego's father's younger brother",,,"Holle1980v2",
"mFeZ","baba, nene",,"male ego's father's older sister",,,"Holle1980v2",
"mFyZ","baba, nene",,"male ego's father's younger sister",,,"Holle1980v2",
"mMeB","momo, pea",,"male ego's mother's older brother",,,"Holle1980v2",
"mMyB","momo, pea",,"male ego's mother's younger brother",,,"Holle1980v2",
"mMeZ","baba, nene",,"male ego's mother's older sister",,,"Holle1980v2",
"mMyZ","baba, nene",,"male ego's mother's younger sister",,,"Holle1980v2",
"fFeB","momo, pea",,"female ego's father's older brother",,,"Holle1980v2",
"fFyB","momo, pea",,"female ego's father's younger brother",,,"Holle1980v2",
"fFeZ","baba, nene",,"female ego's father's older sister",,,"Holle1980v2",
"fFyZ","baba, nene",,"female ego's father's younger sister",,,"Holle1980v2",
"fMeB","momo, pea",,"female ego's mother's older brother",,,"Holle1980v2",
"fMyB","momo, pea",,"female ego's mother's younger brother",,,"Holle1980v2",
"fMeZ","baba, nene",,"female ego's mother's older sister",,,"Holle1980v2",
"fMyZ","baba, nene",,"female ego's mother's younger sister",,,"Holle1980v2",
"mFeBS","fono",,"male ego's father‘s older brother‘s son",,,"Holle1980v2",
"mFyBS","fono",,"male ego‘s father‘s younger brother‘s son",,,"Holle1980v2",
"mFeZS","fono",,"male ego's father‘s older sister‘s son",,,"Holle1980v2",
"mFyZS","fono",,"male ego‘s father‘s younger sister‘s son",,,"Holle1980v2",
"mFeBD","fono-meping",,"male ego's father‘s older brother‘s daughter",,,"Holle1980v2",
"mFyBD","fono-meping",,"male ego‘s father‘s younger brother‘s daughter",,,"Holle1980v2",
"mFeZD","fono-meping",,"male ego's father‘s older sister‘s daughter",,,"Holle1980v2",
"mFyZD","fono-meping",,"male ego‘s father‘s younger sister‘s daughter",,,"Holle1980v2",
"mMeBS","fono",,"male ego's mother‘s older brother‘s son",,,"Holle1980v2",
"mMyBS","fono",,"male ego‘s mother‘s younger brother‘s son",,,"Holle1980v2",
"mMeZS","fono",,"male ego's mother‘s older sister‘s son",,,"Holle1980v2",
"mMyZS","fono",,"male ego‘s mother‘s younger sister‘s son",,,"Holle1980v2",
"mMeBD","fono-meping",,"male ego's mother‘s older brother‘s daughter",,,"Holle1980v2",
"mMyBD","fono-meping",,"male ego‘s mother‘s younger brother‘s daughter",,,"Holle1980v2",
"mMeZD","fono-meping",,"male ego's mother‘s older sister‘s daughter",,,"Holle1980v2",
"mMyZD","fono-meping",,"male ego‘s mother‘s younger sister‘s daughter",,,"Holle1980v2",
"fFeBS","fono",,"female ego's father‘s older brother‘s son",,,"Holle1980v2",
"fFyBS","fono",,"female ego‘s father‘s younger brother‘s son",,,"Holle1980v2",
"fFeZS","fono",,"female ego's father‘s older sister‘s son",,,"Holle1980v2",
"fFyZS","fono",,"female ego‘s father‘s younger sister‘s son",,,"Holle1980v2",
"fFeBD","fono-meping",,"female ego's father‘s older brother‘s daughter",,,"Holle1980v2",
"fFyBD","fono-meping",,"female ego‘s father‘s younger brother‘s daughter",,,"Holle1980v2",
"fFeZD","fono-meping",,"female ego's father‘s older sister‘s daughter",,,"Holle1980v2",
"fFyZD","fono-meping",,"female ego‘s father‘s younger sister‘s daughter",,,"Holle1980v2",
"fMeBS","fono",,"female ego's mother‘s older brother‘s son",,,"Holle1980v2",
"fMyBS","fono",,"female ego‘s mother‘s younger brother‘s son",,,"Holle1980v2",
"fMeZS","fono",,"female ego's mother‘s older sister‘s son",,,"Holle1980v2",
"fMyZS","fono",,"female ego‘s mother‘s younger sister‘s son",,,"Holle1980v2",
"fMeBD","fono-meping",,"female ego's mother‘s older brother‘s daughter",,,"Holle1980v2",
"fMyBD","fono-meping",,"female ego‘s mother‘s younger brother‘s daughter",,,"Holle1980v2",
"fMeZD","fono-meping",,"female ego's mother‘s older sister‘s daughter",,,"Holle1980v2",
"fMyZD","fono-meping",,"female ego‘s mother‘s younger sister‘s daughter",,,"Holle1980v2",
"mDH","menoi",,"male ego's daughter's husband",,,"Holle1980v2",
"mSW","melofe",,"male ego's son's wife",,,"Holle1980v2",
"fDH","menoi",,"female ego's daughter's husband",,,"Holle1980v2",
"fSW","melofe",,"female ego's son's wife",,,"Holle1980v2",
"mWB","temai",,"male ego's wife's brother",,,"Holle1980v2",
"fHB","temai",,"female ego's husband's brother",,,"Holle1980v2",
"fHZ","tarino",,"female ego's husband's sister",,,"Holle1980v2",
"mWZ","tarino",,"male ego's wife'S sister",,,"Holle1980v2",
"fH","onik mon",,"female ego's husband",,,"Holle1980v2",
"mW","anik-meping",,"male ego's wife",,,"Holle1980v2",
"mZH","temai",,"male ego's sister's husband",,,"Holle1980v2",
"fZH","temai",,"female ego's sister's husband",,,"Holle1980v2",
