parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"duksayan, kaká",,male ego's older brother,,,,
myB,duksayan,,male ego's younger brother,,,,
feB,"duksayan, kaká",,female ego's older brother,,,,
fyB,duksayan,,female ego's younger brother,,,,
meZ,"duksayan, kaká",,male ego's older sister,,,,
myZ,duksayan,,male ego's younger sister,,,,
feZ,"duksayan, kaká",,female ego's older sister,,,,
fyZ,duksayan,,female ego's younger sister,,,,
mF,mama,,male ego's father,,,,
mM,mina,,male ego's mother,,,,
fF,mama,,female ego's father,,,,
fM,mina,,female ego's mother,,,,
mS,ungâ,,male ego's son,,,,
fS,ungâ,,female ego's son,,,,
mD,ungâ,,male ego's daughter,,,,
fD,ungâ,,female ego's daughter,,,,
mSS,fofo,,male ego's son's son,,,,
mSD,fofo,,male ego's son's daughter,,,,
mDS,fofo,,male ego's daughter's son,,,,
mDD,fofo,,male ego's daughter's daughter,,,,
fSS,fofo,,female ego's son's son,,,,
fSD,fofo,,female ego's son's daughter,,,,
fDS,fofo,,female ego's daughter's son,,,,
fDD,fofo,,female ego's daugher's daughter,,,,
mFF,fofo ama,,male ego's father‘s father,,,,
mFM,fofo ina,,male ego's father's mother,,,,
mMF,fofo ama,,male ego's mother's father,,,,
mMM,fofo ina,,male ego's mother's mother,,,,
fFF,fofo ama,,female ego's father's father,,,,
fFM,fofo ina,,female ego's father's mother,,,,
fMF,fofo ama,,female ego's mother's father,,,,
fMM,fofo ina,,female ego's mother's mother,,,,
meBS,mangwae,,male ego's older brother's son,,,,
myBS,mangwae,,male ego's younger brother's son,,,,
meZS,mangwae,,male ego's older sister's son,,,,
myZS,mangwae,,male ego's younger sister's son,,,,
meBD,mangubae,,male ego's older brother's daughter,,,,
myBD,mangubae,,male ego's younger brother's daughter,,,,
meZD,mangubae,,male ego's older sister's daughter,,,,
myZD,mangubae,,male ego's younger sister's daughter,,,,
feBS,mangwae,,female ego's older brother's son,,,,
fyBS,mangwae,,female ego's younger brother's son,,,,
feZS,mangwae,,female ego's older sister's son,,,,
fyZS,mangwae,,female ego's younger sister's son,,,,
feBD,mangubae,,female ego's older brother's daughter,,,,
fyBD,mangubae,,female ego's younger brother's daughter,,,,
feZD,mangubae,,female ego's older sister's daughter,,,,
fyZD,mangubae,,female ego's younger sister's daughter,,,,
mFeB,"sai, taliáy",,male ego's father's older brother,,,,
mFyB,"sai, taliáy",,male ego's father's younger brother,,,,
mFeZ,baáy,,male ego's father's older sister,,,,
mFyZ,baáy,,male ego's father's younger sister,,,,
mMeB,"sai, taliáy",,male ego's mother's older brother,,,,
mMyB,"sai, taliáy",,male ego's mother's younger brother,,,,
mMeZ,baáy,,male ego's mother's older sister,,,,
mMyZ,baáy,,male ego's mother's younger sister,,,,
fFeB,"sai, taliáy",,female ego's father's older brother,,,,
fFyB,"sai, taliáy",,female ego's father's younger brother,,,,
fFeZ,baáy,,female ego's father's older sister,,,,
fFyZ,baáy,,female ego's father's younger sister,,,,
fMeB,"sai, taliáy",,female ego's mother's older brother,,,,
fMyB,"sai, taliáy",,female ego's mother's younger brother,,,,
fMeZ,baáy,,female ego's mother's older sister,,,,
fMyZ,baáy,,female ego's mother's younger sister,,,,
mW,mangana,,male ego's wife,,,,
fH,mangama,,female ego‘s husband,,,,
mDH,nugang,,male ego's daughter's husband,,,,
fDH,nugang,,female ego's daughter's husband,,,,
mSW,nugang,,male ego's son's wife,,,,
fSW,nugang,,female ego's son's wife,,,,
mWF,nugangama,,male ego's wife's father,,,,
mWM,nugangina,,male ego's wife's mother,,,,
fHF,nugangama,,female ego's husband's father,,,,
fHM,nugangina,,female ego's husband's mother,,,,
mFBS,lagbä,,male ego's father's brother's son,,,,
mFZS,lagbä,,male ego's father's sister's son,,,,
mMBS,lagbä,,male ego's mother's brother's son,,,,
mMZS,lagbä,,male ego's mother's sister's son,,,,
mFBD,lagbä,,male ego's father's brother's daughter,,,,
mFZD,lagbä,,male ego's father's sister's daughter,,,,
mMBD,lagbä,,male ego's mother's brother's daughter,,,,
mMZD,lagbä,,male ego's mother's sister's daughter,,,,
fFBS,lagbä,,female ego's father's brother's son,,,,
fFZS,lagbä,,female ego's father's sister's son,,,,
fMBS,lagbä,,female ego's mother's brother's son,,,,
fMZS,lagbä,,female ego's mother's sister's son,,,,
fFBD,lagbä,,female ego's father's brother's daughter,,,,
fFZD,lagbä,,female ego's father's sister's daughter,,,,
fMBD,lagbä,,female ego's mother's brother's daughter,,,,
fMZD,lagbä,,female ego's mother's sister's daughter,,,,
