parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,toka,,male ego's older brother,,,hogbin1964a,
myB,tei,,male ego's younger brother,,,hogbin1964a,
feB,lu,,female ego's older brother,,,hogbin1964a,
fyB,lu,,female ego's younger brother,,,hogbin1964a,
meZ,lu,,male ego's older sister,,,hogbin1964a,
myZ,lu,,male ego's younger sister,,,hogbin1964a,
feZ,toka,,female ego's older sister,,,hogbin1964a,
fyZ,tei,,female ego's younger sister,,,hogbin1964a,
mF,tama,,male ego's father,,,hogbin1964a,
mM,tina,,male ego's mother,,,hogbin1964a,
fF,tama,,female ego's father,,,hogbin1964a,
fM,tina,,female ego's mother,,,hogbin1964a,
mS,natu,,male ego's son,,,hogbin1964a,
fS,natu,,female ego's son,,,hogbin1964a,
mD,natu,,male ego's daughter,,,hogbin1964a,
fD,natu,,female ego's daughter,,,hogbin1964a,
mSS,tubu,,male ego's son's son,,,hogbin1964a,
mSD,tubu,,male ego's son's daughter,,,hogbin1964a,
mDS,tubu,,male ego's daughter's son,,,hogbin1964a,
mDD,tubu,,male ego's daughter's daughter,,,hogbin1964a,
fSS,tubu,,female ego's son's son,,,hogbin1964a,
fSD,tubu,,female ego's son's daughter,,,hogbin1964a,
fDS,tubu,,female ego's daughter's son,,,hogbin1964a,
fDD,tubu,,female ego's daugher's daughter,,,hogbin1964a,
mFF,tubu,,male ego's father‘s father,,,hogbin1964a,
mFM,tubu,,male ego's father's mother,,,hogbin1964a,
mMF,tubu,,male ego's mother's father,,,hogbin1964a,
mMM,tubu,,male ego's mother's mother,,,hogbin1964a,
fFF,tubu,,female ego's father's father,,,hogbin1964a,
fFM,tubu,,female ego's father's mother,,,hogbin1964a,
fMF,tubu,,female ego's mother's father,,,hogbin1964a,
fMM,tubu,,female ego's mother's mother,,,hogbin1964a,
meBS,natu,,male ego's older brother's son,,,hogbin1964a,
myBS,natu,,male ego's younger brother's son,,,hogbin1964a,
meZS,"kalawa, nigwa",,male ego's older sister's son,,,hogbin1964a,
myZS,"kalawa, nigwa",,male ego's younger sister's son,,,hogbin1964a,
meBD,natu,,male ego's older brother's daughter,,,hogbin1964a,
myBD,natu,,male ego's younger brother's daughter,,,hogbin1964a,
meZD,"kalawa, nigwa",,male ego's older sister's daughter,,,hogbin1964a,
myZD,"kalawa, nigwa",,male ego's younger sister's daughter,,,hogbin1964a,
feBS,natu,,female ego's older brother's son,,,hogbin1964a,
fyBS,natu,,female ego's younger brother's son,,,hogbin1964a,
feZS,natu,,female ego's older sister's son,,,hogbin1964a,
fyZS,natu,,female ego's younger sister's son,,,hogbin1964a,
feBD,natu,,female ego's older brother's daughter,,,hogbin1964a,
