parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,lofu,,,,AUS51(63),hafford_wuvulu_2014,
mZ,ʔari,,,,AUS51(63),hafford_wuvulu_2014,
mF,ʔama,,,,AUS51(63),hafford_wuvulu_2014,
mM,ʔina,,,,AUS51(63),hafford_wuvulu_2014,
mC,naʔu,,,,AUS51(63),hafford_wuvulu_2014,
mPP,ʔupu,,,,AUS51(63),hafford_wuvulu_2014,
mCC,ʔupu,,,,AUS51(63),hafford_wuvulu_2014,
mFB,ʔama,,,,AUS51(63),hafford_wuvulu_2014,
mFZ,ole,,,,AUS51(12),hafford_wuvulu_2014,only used by elder generation. Term is being replaced by Ɂama (father).
mFZ,ʔina,,,,AUS51(12),hafford_wuvulu_2014,
mMB,ole,,,,AUS51(12),hafford_wuvulu_2014,only used by elder generation. Term is being replaced by Ɂina (mother).
mMB,ama,,,,AUS51(12),hafford_wuvulu_2014,
mMZ,ʔina,,,,AUS51(63),hafford_wuvulu_2014,
mBS,naʔu,,,,AUS51(12),hafford_wuvulu_2014,term is being replaced with 'naɁu' meaning 'child'.
mBD,naʔu,,,,AUS51(12),hafford_wuvulu_2014,term is being replaced with 'naɁu' meaning 'child'.
mZS,ara,,,,AUS51(12),hafford_wuvulu_2014,term is being replaced with 'naɁu' meaning 'child'.
mZD,ara,,,,AUS51(12),hafford_wuvulu_2014,term is being replaced with 'naɁu' meaning 'child'.
mFZD,ʔari,,,,AUS51(12),hafford_wuvulu_2014,*see below
mFBD,ʔari,,,,AUS51(12),hafford_wuvulu_2014,*see below
mMBD,ʔari,,,,AUS51(12),hafford_wuvulu_2014,*see below
mMZD,ʔari,,,,AUS51(12),hafford_wuvulu_2014,*see below
mFBS,lofu,,,,AUS51(12),hafford_wuvulu_2014,*see below
mFZS,lofu,,,,AUS51(12),hafford_wuvulu_2014,*see below
mMBS,lofu,,,,AUS51(12),hafford_wuvulu_2014,*see below
mMZS,lofu,,,,AUS51(12),hafford_wuvulu_2014,*see below
mE,aro,,,,AUS51(63),hafford_wuvulu_2014,
mHF,ramaʔa,,,,AUS51(63),hafford_wuvulu_2014,ramaʔa'='in-law' source does not clarify further.
mHM,ramaʔa,,,,AUS51(63),hafford_wuvulu_2014,ramaʔa'='in-law' source does not clarify further.
mWF,ramaʔa,,,,AUS51(63),hafford_wuvulu_2014,ramaʔa'='in-law' source does not clarify further.
mWM,ramaʔa,,,,AUS51(63),hafford_wuvulu_2014,ramaʔa'='in-law' source does not clarify further.
mBW,tala,,,,AUS51(63),hafford_wuvulu_2014,spouse of kin'
mZH,tala,,,,AUS51(63),hafford_wuvulu_2014,spouse of kin'
mWB,ramaʔa,,,,AUS51(63),hafford_wuvulu_2014,ramaʔa'='in-law' source does not clarify further.
mWZ,ramaʔa,,,,AUS51(63),hafford_wuvulu_2014,ramaʔa'='in-law' source does not clarify further.
mHB,ramaʔa,,,,AUS51(63),hafford_wuvulu_2014,ramaʔa'='in-law' source does not clarify further.
mHZ,ramaʔa,,,,AUS51(63),hafford_wuvulu_2014,ramaʔa'='in-law' source does not clarify further.
fB,ʔari,,,,AUS51(63),hafford_wuvulu_2014,
fZ,tafi,,,,AUS51(63),hafford_wuvulu_2014,
fF,ʔama,,,,AUS51(63),hafford_wuvulu_2014,
fM,ʔina,,,,AUS51(63),hafford_wuvulu_2014,
fC,naʔu,,,,AUS51(63),hafford_wuvulu_2014,
fPP,ʔupu,,,,AUS51(63),hafford_wuvulu_2014,
fCC,ʔupu,,,,AUS51(63),hafford_wuvulu_2014,
fFB,ʔama,,,,AUS51(63),hafford_wuvulu_2014,
fFZ,ole,,,,AUS51(12),hafford_wuvulu_2014,only used by elder generation. Term is being replaced by Ɂama (father).
fFZ,ʔina,,,,AUS51(12),hafford_wuvulu_2014,
fMB,ole,,,,AUS51(12),hafford_wuvulu_2014,only used by elder generation. Term is being replaced by Ɂina (mother).
fMB,ama,,,,AUS51(12),hafford_wuvulu_2014,
fMZ,ʔina,,,,AUS51(63),hafford_wuvulu_2014,
fBS,ara,,,,AUS51(12),hafford_wuvulu_2014,term is being replaced with 'naɁu' meaning 'child'.
fBD,wane,,,,AUS51(12),hafford_wuvulu_2014,term is being replaced with 'naɁu' meaning 'child'.
fZS,naʔu,,,,AUS51(12),hafford_wuvulu_2014,term is being replaced with 'naɁu' meaning 'child'.
