parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,šea,,male ego's older brother,,,,
myB,muduɛ,,male ego's younger brother,,,,
feB,šea,,female ego's older brother,,,,
meZ,"çɛ̃, šea",,male ego's older sister,,,,
myZ,çɛ̃,,male ego's younger sister,,,,
feZ,šea,,female ego's older sister,,,,
fyZ,muduɛ,,female ego's younger sister,,,,
mF,panɛɛ-,,male ego's father,,,,
mM,mwiñe-,,male ego's mother,,,,
fF,panɛɛ-,,female ego's father,,,,
fM,mwiñe-,,female ego's mother,,,,
mSS,xɛrɛ,,male ego's son's son,,,,
mSD,xɛrɛ,,male ego's son's daughter,,,,
mDS,xɛrɛ,,male ego's daughter's son,,,,
mDD,xɛrɛ,,male ego's daughter's daughter,,,,
fSS,xɛrɛ,,female ego's son's son,,,,
fSD,xɛrɛ,,female ego's son's daughter,,,,
fDS,xɛrɛ,,female ego's daughter's son,,,,
fDD,xɛrɛ,,female ego's daugher's daughter,,,,
mFF,nunũũ,,male ego's father‘s father,,,,
mFM,"çamwãça, gɛɛ",,male ego's father's mother,,,,
mMF,nunũũ,,male ego's mother's father,,,,
mMM,"çamwãça, gɛɛ",,male ego's mother's mother,,,,
fFF,nunũũ,,female ego's father's father,,,,
fFM,"çamwãça, gɛɛ",,female ego's father's mother,,,,
fMF,nunũũ,,female ego's mother's father,,,,
fMM,"çamwãça, gɛɛ",,female ego's mother's mother,,,,
meBS,dɔtəšʌ̃ʌ̃,,male ego's older brother's son,,,,
myBS,dɔtəšʌ̃ʌ̃,,male ego's younger brother's son,,,,
meZS,xɛrɛ,,male ego's older sister's son,,,,
myZS,xɛrɛ,,male ego's younger sister's son,,,,
meBD,dɔtəšʌ̃ʌ̃,,male ego's older brother's daughter,,,,
myBD,dɔtəšʌ̃ʌ̃,,male ego's younger brother's daughter,,,,
meZD,dɔtəšʌ̃ʌ̃,,male ego's older sister's daughter,,,,
myZD,dɔtəšʌ̃ʌ̃,,male ego's younger sister's daughter,,,,
feBS,dɔtəšʌ̃ʌ̃,,female ego's older brother's son,,,,
fyBS,dɔtəšʌ̃ʌ̃,,female ego's younger brother's son,,,,
feZS,xɛrɛ,,female ego's older sister's son,,,,
fyZS,xɛrɛ,,female ego's younger sister's son,,,,
feBD,dɔtəšʌ̃ʌ̃,,female ego's older brother's daughter,,,,
fyBD,dɔtəšʌ̃ʌ̃,,female ego's younger brother's daughter,,,,
feZD,dɔtəšʌ̃ʌ̃,,female ego's older sister's daughter,,,,
fyZD,dɔtəšʌ̃ʌ̃,,female ego's younger sister's daughter,,,,
mFeB,duñɛ,,male ego's father's older brother,,,,
mFyB,duñɛ,,male ego's father's younger brother,,,,
mFeZ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",,male ego's father's older sister,,,,
mFyZ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",,male ego's father's younger sister,,,,
mMeB,mwɛ̃ɛ̃,,male ego's mother's older brother,,,,
mMyB,mwɛ̃ɛ̃,,male ego's mother's younger brother,,,,
mMeZ,duñɛ,,male ego's mother's older sister,,,,
mMyZ,duñɛ,,male ego's mother's younger sister,,,,
fFeB,duñɛ,,female ego's father's older brother,,,,
fFyB,duñɛ,,female ego's father's younger brother,,,,
fFeZ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",,female ego's father's older sister,,,,
fFyZ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",,female ego's father's younger sister,,,,
fMeB,mwɛ̃ɛ̃,,female ego's mother's older brother,,,,
fMyB,mwɛ̃ɛ̃,,female ego's mother's younger brother,,,,
fMeZ,duñɛ,,female ego's mother's older sister,,,,
fMyZ,duñɛ,,female ego's mother's younger sister,,,,
mW,kwɛ̃ɛ̃-,,male ego's wife,,,,
fH,kwɛɛtɔ-,,female ego‘s husband,,,,
