"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","têwa, lasi",,"male ego's older brother",,,"Streicher1982",""
"myB","têwa, lasi",,"male ego's younger brother",,,"Streicher1982",""
"feB","luŋac,  têwa lasi",,"female ego's older brother",,,"Streicher1982",""
"fyB","luŋac,  têwa lasi",,"female ego's younger brother",,,"Streicher1982",""
"meZ","luò",,"male ego's older sister",,,"Streicher1982",""
"myZ","luò",,"male ego's younger sister",,,"Streicher1982",""
"feZ","têwaò, lasiò",,"female ego's older sister",,,"Streicher1982",""
"fyZ","têwaò, lasiò",,"female ego's younger sister",,,"Streicher1982",""
"mF","tama",,"male ego's father",,,"Streicher1982",""
"mM","têna",,"male ego's mother",,,"Streicher1982",""
"fF","tama",,"female ego's father",,,"Streicher1982",""
"fM","têna",,"female ego's mother",,,"Streicher1982",""
"mS","latu",,"male ego's son",,,"Streicher1982",""
"fS","latu",,"female ego's son",,,"Streicher1982",""
"mD","latuò",,"male ego's daughter",,,"Streicher1982",""
"fD","latuò",,"female ego's daughter",,,"Streicher1982",""
"mSS","dêbu",,"male ego's son's son",,,"Streicher1982",""
"mSD","dêbuò",,"male ego's son's daughter",,,"Streicher1982",""
"mDS","dêbu",,"male ego's daughter's son",,,"Streicher1982",""
"mDD","dêbuò",,"male ego's daughter's daughter",,,"Streicher1982",""
"fSS","dêbu",,"female ego's son's son",,,"Streicher1982",""
"fSD","dêbuò",,"female ego's son's daughter",,,"Streicher1982",""
"fDS","dêbu",,"female ego's daughter's son",,,"Streicher1982",""
"fDD","dêbuò",,"female ego's daugher's daughter",,,"Streicher1982",""
"mFF","dêbu",,"male ego's father‘s father",,,"Streicher1982",""
"mFM","dêbuò",,"male ego's father's mother",,,"Streicher1982",""
"mMF","dêbu ŋac",,"male ego's mother's father",,,"Streicher1982",""
"mMM","dêbuò",,"male ego's mother's mother",,,"Streicher1982",""
"fFF","dêbu ŋac",,"female ego's father's father",,,"Streicher1982",""
"fFM","dêbuò",,"female ego's father's mother",,,"Streicher1982",""
"fMF","dêbu ŋac",,"female ego's mother's father",,,"Streicher1982",""
"fMM","dêbuò",,"female ego's mother's mother",,,"Streicher1982",""
"meBS","latu",,"male ego's older brother's son",,,"Streicher1982",""
"myBS","latu",,"male ego's younger brother's son",,,"Streicher1982",""
"meZS","nêsib",,"male ego's older sister's son",,,"Streicher1982",""
"myZS","nêsib",,"male ego's younger sister's son",,,"Streicher1982",""
"meBD","latuò",,"male ego's older brother's daughter",,,"Streicher1982",""
"myBD","latuò",,"male ego's younger brother's daughter",,,"Streicher1982",""
"meZD","nêsibò",,"male ego's older sister's daughter",,,"Streicher1982",""
"myZD","nêsibò",,"male ego's younger sister's daughter",,,"Streicher1982",""
"feBS","nêsib",,"female ego's older brother's son",,,"Streicher1982",""
"fyBS","nêsib",,"female ego's younger brother's son",,,"Streicher1982",""
"feZS","latu",,"female ego's older sister's son",,,"Streicher1982",""
"fyZS","latu",,"female ego's younger sister's son",,,"Streicher1982",""
"feBD","nêsibò",,"female ego's older brother's daughter",,,"Streicher1982",""
"fyBD","nêsibò",,"female ego's younger brother's daughter",,,"Streicher1982",""
"feZD","latuò",,"female ego's older sister's daughter",,,"Streicher1982",""
"fyZD","latuò",,"female ego's younger sister's daughter",,,"Streicher1982",""
"mFeB","tamasêga, tama sauŋ",,"male ego's father's older brother",,,"Streicher1982",""
"mFyB","tamasêga, tama sauŋ",,"male ego's father's younger brother",,,"Streicher1982",""
"mFeZ","saò àwêsêga, sao awê sauŋ",,"male ego's father's older sister",,,"Streicher1982",""
"mFyZ","saò àwêsêga, sao awê sauŋ",,"male ego's father's younger sister",,,"Streicher1982",""
"mMeB","sa laŋgwa, ŋac sêga, ŋac sauŋ",,"male ego's mother's older brother",,,"Streicher1982",""
"mMyB","sa laŋgwa, ŋac sêga, ŋac sauŋ",,"male ego's mother's younger brother",,,"Streicher1982",""
"mMeZ","tênasêga, têna sauŋ",,"male ego's mother's older sister",,,"Streicher1982",""
"mMyZ","tênasêga, têna sauŋ",,"male ego's mother's younger sister",,,"Streicher1982",""
"fFeB","tamasêga, tama sauŋ",,"female ego's father's older brother",,,"Streicher1982",""
"fFyB","tamasêga, tama sauŋ",,"female ego's father's younger brother",,,"Streicher1982",""
"fFeZ","saò àwêsêga, sao awê sauŋ",,"female ego's father's older sister",,,"Streicher1982",""
"fFyZ","saò àwêsêga, sao awê sauŋ",,"female ego's father's younger sister",,,"Streicher1982",""
"fMeB","sa laŋgwa, ŋac sêga, ŋac sauŋ",,"female ego's mother's older brother",,,"Streicher1982",""
"fMyB","sa laŋgwa, ŋac sêga, ŋac sauŋ",,"female ego's mother's younger brother",,,"Streicher1982",""
"fMeZ","tênasêga, têna sauŋ",,"female ego's mother's older sister",,,"Streicher1982",""
"fMyZ","tênasêga, têna sauŋ",,"female ego's mother's younger sister",,,"Streicher1982",""
"mW","àwê",,"male ego's wife",,,"Streicher1982",""
"fH","akweŋ",,"female ego‘s husband",,,"Streicher1982",""
"mDH","lawa, wakuc",,"male ego's daughter's husband",,,"Streicher1982",""
"fDH","lawa, wakuc",,"female ego's daughter's husband",,,"Streicher1982",""
"mSW","lawaò, wakuc",,"male ego's son's wife",,,"Streicher1982",""
"fSW","lawaò, wakuc",,"female ego's son's wife",,,"Streicher1982",""
"mWF","lawaò",,"male ego's wife's father",,,"Streicher1982",""
"mWM","lawa",,"male ego's wife's mother",,,"Streicher1982",""
"mWB","nêjac",,"male ego's wife's brother",,,"Streicher1982",""
"mWZ","têwaò, lasiò",,"male ego's wife's sister",,,"Streicher1982",""
"fHF","lawaò",,"female ego's husband's father",,,"Streicher1982",""
"fHM","lawa",,"female ego's husband's mother",,,"Streicher1982",""
"fHB","têwa ŋac, lasi ŋac",,"female ego's husband's brother",,,"Streicher1982",""
"mBW","têwaò, lasiò",,"male ego's brother's wife",,,"Streicher1982",""
"fBW","nêjacò",,"female ego's brother's wife",,,"Streicher1982",""
"mZH","ŋacmêndu",,"male ego's sister's husband",,,"Streicher1982",""
"fZH","têwa ŋac, lasi ŋac",,"female ego's sister's husband",,,"Streicher1982",""
"mFBS","têwa, lasi",,"male ego's father's brother's son",,,"Streicher1982",""
"mFZS","gwadê",,"male ego's father's sister's son",,,"Streicher1982",""
"mMBS","gwadê",,"male ego's mother's brother's son",,,"Streicher1982",""
"mMZS","têwa, lasi",,"male ego's mother's sister's son",,,"Streicher1982",""
"mFBD","têwaò, lasiò",,"male ego's father's brother's daughter",,,"Streicher1982",""
"mFZD","gwadêò",,"male ego's father's sister's daughter",,,"Streicher1982",""
"mMBD","gwadêò",,"male ego's mother's brother's daughter",,,"Streicher1982",""
"mMZD","luò, têwaò, lasiò",,"male ego's mother's sister's daughter",,,"Streicher1982",""
"fFBS","têwa, lasi",,"female ego's father's brother's son",,,"Streicher1982",""
"fFZS","gwadê",,"female ego's father's sister's son",,,"Streicher1982",""
"fMBS","gwadê",,"female ego's mother's brother's son",,,"Streicher1982",""
"fMZS","têwa, lasi",,"female ego's mother's sister's son",,,"Streicher1982",""
"fFBD","têwaò, lasiò",,"female ego's father's brother's daughter",,,"Streicher1982",""
"fFZD","gwadêò",,"female ego's father's sister's daughter",,,"Streicher1982",""
"fMBD","gwadêò",,"female ego's mother's brother's daughter",,,"Streicher1982",""
"fMZD","luò, têwaò, lasiò",,"female ego's mother's sister's daughter",,,"Streicher1982",""
"mFeBS","têwa, lasi",,"male ego's father's brother's son",,,"Streicher1982","Inferred; NA"
"mFyBS","têwa, lasi",,"male ego's father's brother's son",,,"Streicher1982","Inferred; NA"
"mFeZS","gwadê",,"male ego's father's sister's son",,,"Streicher1982","Inferred; NA"
"mFyZS","gwadê",,"male ego's father's sister's son",,,"Streicher1982","Inferred; NA"
"mFeBD","têwaò, lasiò",,"male ego's father's brother's daughter",,,"Streicher1982","Inferred; NA"
"mFyBD","têwaò, lasiò",,"male ego's father's brother's daughter",,,"Streicher1982","Inferred; NA"
"mFeZD","gwadêò",,"male ego's father's sister's daughter",,,"Streicher1982","Inferred; NA"
"mFyZD","gwadêò",,"male ego's father's sister's daughter",,,"Streicher1982","Inferred; NA"
"mMeBS","gwadê",,"male ego's mother's brother's son",,,"Streicher1982","Inferred; NA"
"mMyBS","gwadê",,"male ego's mother's brother's son",,,"Streicher1982","Inferred; NA"
"mMeZS","têwa, lasi",,"male ego's mother's sister's son",,,"Streicher1982","Inferred; NA"
"mMyZS","têwa, lasi",,"male ego's mother's sister's son",,,"Streicher1982","Inferred; NA"
"mMeBD","gwadêò",,"male ego's mother's brother's daughter",,,"Streicher1982","Inferred; NA"
"mMyBD","gwadêò",,"male ego's mother's brother's daughter",,,"Streicher1982","Inferred; NA"
"mMeZD","luò, têwaò, lasiò",,"male ego's mother's sister's daughter",,,"Streicher1982","Inferred; NA"
"mMyZD","luò, têwaò, lasiò",,"male ego's mother's sister's daughter",,,"Streicher1982","Inferred; NA"
"mFBeS","têwa, lasi",,"male ego's father's brother's son",,,"Streicher1982","Inferred; NA"
"mFByS","têwa, lasi",,"male ego's father's brother's son",,,"Streicher1982","Inferred; NA"
"mFZeS","gwadê",,"male ego's father's sister's son",,,"Streicher1982","Inferred; NA"
"mFZyS","gwadê",,"male ego's father's sister's son",,,"Streicher1982","Inferred; NA"
"mFBeD","têwaò, lasiò",,"male ego's father's brother's daughter",,,"Streicher1982","Inferred; NA"
"mFByD","têwaò, lasiò",,"male ego's father's brother's daughter",,,"Streicher1982","Inferred; NA"
"mFZeD","gwadêò",,"male ego's father's sister's daughter",,,"Streicher1982","Inferred; NA"
"mFZyD","gwadêò",,"male ego's father's sister's daughter",,,"Streicher1982","Inferred; NA"
"mMBeS","gwadê",,"male ego's mother's brother's son",,,"Streicher1982","Inferred; NA"
"mMByS","gwadê",,"male ego's mother's brother's son",,,"Streicher1982","Inferred; NA"
"mMZeS","têwa, lasi",,"male ego's mother's sister's son",,,"Streicher1982","Inferred; NA"
"mMZyS","têwa, lasi",,"male ego's mother's sister's son",,,"Streicher1982","Inferred; NA"
"mMBeD","gwadêò",,"male ego's mother's brother's daughter",,,"Streicher1982","Inferred; NA"
"mMByD","gwadêò",,"male ego's mother's brother's daughter",,,"Streicher1982","Inferred; NA"
"mMZeD","luò, têwaò, lasiò",,"male ego's mother's sister's daughter",,,"Streicher1982","Inferred; NA"
"mMZyD","luò, têwaò, lasiò",,"male ego's mother's sister's daughter",,,"Streicher1982","Inferred; NA"
"fFeBS","têwa, lasi",,"female ego's father's brother's son",,,"Streicher1982","Inferred; NA"
"fFyBS","têwa, lasi",,"female ego's father's brother's son",,,"Streicher1982","Inferred; NA"
"fFeZS","gwadê",,"female ego's father's sister's son",,,"Streicher1982","Inferred; NA"
"fFyZS","gwadê",,"female ego's father's sister's son",,,"Streicher1982","Inferred; NA"
"fFeBD","têwaò, lasiò",,"female ego's father's brother's daughter",,,"Streicher1982","Inferred; NA"
"fFyBD","têwaò, lasiò",,"female ego's father's brother's daughter",,,"Streicher1982","Inferred; NA"
"fFeZD","gwadêò",,"female ego's father's sister's daughter",,,"Streicher1982","Inferred; NA"
"fFyZD","gwadêò",,"female ego's father's sister's daughter",,,"Streicher1982","Inferred; NA"
"fMeBS","gwadê",,"female ego's mother's brother's son",,,"Streicher1982","Inferred; NA"
"fMyBS","gwadê",,"female ego's mother's brother's son",,,"Streicher1982","Inferred; NA"
"fMeZS","têwa, lasi",,"female ego's mother's sister's son",,,"Streicher1982","Inferred; NA"
"fMyZS","têwa, lasi",,"female ego's mother's sister's son",,,"Streicher1982","Inferred; NA"
"fMeBD","gwadêò",,"female ego's mother's brother's daughter",,,"Streicher1982","Inferred; NA"
"fMyBD","gwadêò",,"female ego's mother's brother's daughter",,,"Streicher1982","Inferred; NA"
"fMeZD","luò, têwaò, lasiò",,"female ego's mother's sister's daughter",,,"Streicher1982","Inferred; NA"
"fMyZD","luò, têwaò, lasiò",,"female ego's mother's sister's daughter",,,"Streicher1982","Inferred; NA"
"fFBeS","têwa, lasi",,"female ego's father's brother's son",,,"Streicher1982","Inferred; NA"
"fFByS","têwa, lasi",,"female ego's father's brother's son",,,"Streicher1982","Inferred; NA"
"fFZeS","gwadê",,"female ego's father's sister's son",,,"Streicher1982","Inferred; NA"
"fFZyS","gwadê",,"female ego's father's sister's son",,,"Streicher1982","Inferred; NA"
"fFBeD","têwaò, lasiò",,"female ego's father's brother's daughter",,,"Streicher1982","Inferred; NA"
"fFByD","têwaò, lasiò",,"female ego's father's brother's daughter",,,"Streicher1982","Inferred; NA"
"fFZeD","gwadêò",,"female ego's father's sister's daughter",,,"Streicher1982","Inferred; NA"
"fFZyD","gwadêò",,"female ego's father's sister's daughter",,,"Streicher1982","Inferred; NA"
"fMBeS","gwadê",,"female ego's mother's brother's son",,,"Streicher1982","Inferred; NA"
"fMByS","gwadê",,"female ego's mother's brother's son",,,"Streicher1982","Inferred; NA"
"fMZeS","têwa, lasi",,"female ego's mother's sister's son",,,"Streicher1982","Inferred; NA"
