"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mG","",,"male speaker's sibling","",,"",
"mB","",,"male speaker's brother","",,"",
"mZ","yenautê",,"male speaker's sister","",,"Arnaud_1968",
"meB","irï",,"male speaker's elder brother","yayá",,"Arnaud_1968",
"myB","pirï",,"male speaker's younger brother","tiom",,"Arnaud_1968",
"meZ","wawá",,"male speaker's elder sister","wawá",,"Arnaud_1968",
"myZ","xonen",,"male speaker's younger sister","xonen",,"Arnaud_1968",
"mP","",,"male speaker's parent","",,"",
"mF","yüman",,"male speaker's father","papá",,"Arnaud_1968",
"mM","sanon",,"male speaker's mother","tatá, mamá",,"Arnaud_1968",
"mC","",,"male speaker's child","",,"",
"mS","ymuru",,"male speaker's son","",,"Arnaud_1968",
"mD","yemirê",,"male speaker's daughter","",,"Arnaud_1968",
"mA","",,"male speaker's ancestor","",,"",
"mPP","",,"male speaker's grandparent","",,"",
"mFF","tamuru",,"male speaker's father's father","tuxí",,"Arnaud_1968",
"mFM","notï",,"male speaker's father's mother","pipi",,"Arnaud_1968",
"mMF","tamuru",,"male speaker's mother's father","tuxí",,"Arnaud_1968",
"mMM","notï",,"male speaker's mother's mother","pipi",,"Arnaud_1968",
"mCC","",,"male speaker's grandchild","",,"",
"mSS","parï",,"male speaker's son's son","",,"Arnaud_1968",
"mSD","parï",,"male speaker's son's daughter","",,"Arnaud_1968",
"mDS","parï",,"male speaker's daughter's son","",,"Arnaud_1968",
"mDD","parï",,"male speaker's daughter's daughter","",,"Arnaud_1968",
"mFB","",,"male speaker's father's brother","",,"",
"mFZ","",,"male speaker's father's sister","",,"",
"mMB","",,"male speaker's mother's brother","",,"",
"mMZ","",,"male speaker's mother's sister","",,"",
"mFeB","yüman",,"male speaker's father's older brother","papá",,"Arnaud_1968",
"mFyB","yüman",,"male speaker's father's younger brother","papá",,"Arnaud_1968",
"mFeZ","yawôpirï",,"male speaker's father's older sister","opi",,"Arnaud_1968",
"mFyZ","yawôpirï",,"male speaker's father's younger sister","opi",,"Arnaud_1968",
"mMeZ","sanon",,"male speaker's mother's older sister","tatá, mamá",,"Arnaud_1968",
"mMyZ","sanon",,"male speaker's mother's younger sister","tatá, mamá",,"Arnaud_1968",
"mMeB","katobô",,"male speaker's mother's older brother","yawô",,"Arnaud_1968",
"mMyB","",,"male speaker's mother's younger brother","",,"",
"mBS","",,"male speaker's brother's son","",,"",
"mBD","",,"male speaker's brother's daughter","",,"",
"mZS","",,"male speaker's sister's son","",,"",
