"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mF","ayya",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
"mM","amma",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
"mFF","pāttayya",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
"mFM","pātti",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
"mMF","pāttayya",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
"mMM","pātti",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
"mFZ","athai",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
"mMB","māmā",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
"mMZ","periyatha",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
"mFeB","periayya",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
"mFyB","chinnayya",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
"mFZS","machinan",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
"mFBeS","anna",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
"mFByS","0",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
"mFBeD","akkal",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
"mFByD","0",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
"mFZeD","mathini",,,"","DR3(184)","madhava_menon_encyclopaedia_1996-1","appended chart; copied by CS from kinterm_mjp.xls"
