"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mMBD","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMZD","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mFZS","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMBS","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMZS","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mFeZS","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mFyZS","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMeBS","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMyBS","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMeZS","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMyZS","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMeBD","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMyBD","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMeZD","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMyZD","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mFZeS","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mFZyS","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMBeS","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMByS","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMZeS","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMZyS","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMBeD","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMByD","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMZeD","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mMZyD","trizatk",,,,"IE44(40)","ferraro_baluchi_1988","trizatk ""FZC, MBC, MZC"" / ""father's sister's child, mother's brother's child, mother's sister's child"" [44]"
"mBW","nIšar",,,,"IE44(41)","ferraro_baluchi_1988","nIšar ""brother's wife"" [44]"
"mZH","zamaθ",,,,"IE44(41)","ferraro_baluchi_1988","zamaθ ""sister's husband"" [44]"
"mWB","sala",,,,"IE44(41)","ferraro_baluchi_1988","sala ""wife's brother"" [44]"
