parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,bra,,,,IE215(31),barth_principles_1953,"bra ""brother"" [215]"
mZ,khusk,,,,IE215(31),barth_principles_1953,"khusk ""sister"" [215]"
meB,bra,,,,IE215(31),barth_principles_1953,"bra ""brother"" [215]"
myB,bra,,,,IE215(31),barth_principles_1953,"bra ""brother"" [215]"
meZ,khusk,,,,IE215(31),barth_principles_1953,"khusk ""sister"" [215]"
myZ,khusk,,,,IE215(31),barth_principles_1953,"khusk ""sister"" [215]"
mF,baok,,,,IE215(31),barth_principles_1953,"baok ""father"" [215]"
mM,daik,,,,IE215(31),barth_principles_1953,"daik ""mother"" [215]"
mS,kurr,,,,IE215(31),barth_principles_1953,"kurr ""son"" [215]"
mD,kitch,,,,IE215(31),barth_principles_1953,"kitch ""daughter"" [215]"
mFF,ba-pir,,,,IE215(31),barth_principles_1953,"ba-pir ""grandfather"" [215]"
mFM,nanik,,,,IE215(31),barth_principles_1953,"nanik ""grandmother""; also: nanna [215:31]"
mMF,ba-pir,,,,IE215(31),barth_principles_1953,"ba-pir ""grandfather"" [215]"
mMM,nanik,,,,IE215(31),barth_principles_1953,"nanik ""grandmother""; also: nanna [215:31]"
mSS,kurraza,,,,IE215(31),barth_principles_1953,"kurraza ""son's child"" [21]"
mSD,kurraza,,,,IE215(31),barth_principles_1953,"kurraza ""son's child"" [21]"
mDS,kitchaza,,,,IE215(31),barth_principles_1953,"kitchaza ""daughter's child"" [215]"
mDD,kitchaza,,,,IE215(31),barth_principles_1953,"kitchaza ""daughter's child"" [215]"
mFB,mam,,,,IE215(31),barth_principles_1953,"mam ""father's brother"" [215]"
mFZ,pur,,,,IE215(31),barth_principles_1953,"pur ""father's sister"" (also MZ) [215]"
mMB,khal,,,,IE215(31),barth_principles_1953,"khal ""mother's brother"" [215]"
mMZ,pur,,,,IE215(31),barth_principles_1953,"pur ""mother's sister"" (also FZ) [215]"
mFeB,mam,,,,IE215(31),barth_principles_1953,"mam ""father's brother"" [215]"
mFyB,mam,,,,IE215(31),barth_principles_1953,"mam ""father's brother"" [215]"
mFeZ,pur,,,,IE215(31),barth_principles_1953,"pur ""father's sister"" (also MZ) [215]"
mFyZ,pur,,,,IE215(31),barth_principles_1953,"pur ""father's sister"" (also MZ) [215]"
mMeZ,pur,,,,IE215(31),barth_principles_1953,"pur ""mother's sister"" (also FZ) [215]"
mMyZ,pur,,,,IE215(31),barth_principles_1953,"pur ""mother's sister"" (also FZ) [215]"
mMeB,khal,,,,IE215(31),barth_principles_1953,"khal ""mother's brother"" [215]"
mMyB,khal,,,,IE215(31),barth_principles_1953,"khal ""mother's brother"" [215]"
mBS,braza,,,,IE215(31),barth_principles_1953,"braza ""brother's child"" [215]"
mBD,braza,,,,IE215(31),barth_principles_1953,"braza ""brother's child"" [215]"
mZS,khushkaza,,,,IE215(31),barth_principles_1953,"khushkaza ""sister's child"" [215]"
mZD,khushkaza,,,,IE215(31),barth_principles_1953,"khushkaza ""sister's child"" [215]"
meBS,braza,,,,IE215(31),barth_principles_1953,"braza ""brother's child"" [215]"
myBS,braza,,,,IE215(31),barth_principles_1953,"braza ""brother's child"" [215]"
meBD,braza,,,,IE215(31),barth_principles_1953,"braza ""brother's child"" [215]"
myBD,braza,,,,IE215(31),barth_principles_1953,"braza ""brother's child"" [215]"
meZS,khushkaza,,,,IE215(31),barth_principles_1953,"khushkaza ""sister's child"" [215]"
myZS,khushkaza,,,,IE215(31),barth_principles_1953,"khushkaza ""sister's child"" [215]"
meZD,khushkaza,,,,IE215(31),barth_principles_1953,"khushkaza ""sister's child"" [215]"
myZD,khushkaza,,,,IE215(31),barth_principles_1953,"khushkaza ""sister's child"" [215]"
mFZD,purza,,,,IE215(31),barth_principles_1953,"purza ""FZC"" (father's sister's child)(also MZC) [215]"
mFBD,amoaza,,,,IE215(31),barth_principles_1953,"amoaza ""FBC"" (father's brother's child) [215]"
mMBD,khaloaza,,,,IE215(31),barth_principles_1953,"khaloaza ""MBC"" (mother's brother's child) [215]"
mMZD,purza,,,,IE215(31),barth_principles_1953,"purza ""MZC"" (mother's sister's child)(also FZC) [215]"
mFBS,amoaza,,,,"IE215(31,33)",barth_principles_1953,"amoaza ""FBC"" (father's brother's child); the suffix -aza literally means ""child of"" or ""born of"" [215]"
mFZS,purza,,,,IE215(31),barth_principles_1953,"purza ""FZC"" (father's sister's child)(also MZC) [215]"
mMBS,khaloaza,,,,IE215(31),barth_principles_1953,"khaloaza ""MBC"" (mother's brother's child) [215]"
mMZS,purza,,,,IE215(31),barth_principles_1953,"purza ""MZC"" (mother's sister's child)(also FZC) [215]"
mFeBS,amoaza,,,,"IE215(31,33)",barth_principles_1953,"amoaza ""FBC"" (father's brother's child); the suffix -aza literally means ""child of"" or ""born of"" [215]"
mFyBS,amoaza,,,,"IE215(31,33)",barth_principles_1953,"amoaza ""FBC"" (father's brother's child); the suffix -aza literally means ""child of"" or ""born of"" [215]"
mFeZS,purza,,,,IE215(31),barth_principles_1953,"purza ""FZC"" (father's sister's child)(also MZC) [215]"
mFyZS,purza,,,,IE215(31),barth_principles_1953,"purza ""FZC"" (father's sister's child)(also MZC) [215]"
mFeBD,amoaza,,,,IE215(31),barth_principles_1953,"amoaza ""FBC"" (father's brother's child) [215]"
mFyBD,amoaza,,,,IE215(31),barth_principles_1953,"amoaza ""FBC"" (father's brother's child) [215]"
mFeZD,purza,,,,IE215(31),barth_principles_1953,"purza ""FZC"" (father's sister's child)(also MZC) [215]"
mFyZD,purza,,,,IE215(31),barth_principles_1953,"purza ""FZC"" (father's sister's child)(also MZC) [215]"
mMeBS,khaloaza,,,,IE215(31),barth_principles_1953,"khaloaza ""MBC"" (mother's brother's child) [215]"
mMyBS,khaloaza,,,,IE215(31),barth_principles_1953,"khaloaza ""MBC"" (mother's brother's child) [215]"
mMeZS,purza,,,,IE215(31),barth_principles_1953,"purza ""MZC"" (mother's sister's child)(also FZC) [215]"
mMyZS,purza,,,,IE215(31),barth_principles_1953,"purza ""MZC"" (mother's sister's child)(also FZC) [215]"
mMeBD,khaloaza,,,,IE215(31),barth_principles_1953,"khaloaza ""MBC"" (mother's brother's child) [215]"
mMyBD,khaloaza,,,,IE215(31),barth_principles_1953,"khaloaza ""MBC"" (mother's brother's child) [215]"
mMeZD,purza,,,,IE215(31),barth_principles_1953,"purza ""MZC"" (mother's sister's child)(also FZC) [215]"
mMyZD,purza,,,,IE215(31),barth_principles_1953,"purza ""MZC"" (mother's sister's child)(also FZC) [215]"
mFBeS,amoaza,,,,"IE215(31,33)",barth_principles_1953,"amoaza ""FBC"" (father's brother's child); the suffix -aza literally means ""child of"" or ""born of"" [215]"
mFByS,amoaza,,,,"IE215(31,33)",barth_principles_1953,"amoaza ""FBC"" (father's brother's child); the suffix -aza literally means ""child of"" or ""born of"" [215]"
mFZeS,purza,,,,IE215(31),barth_principles_1953,"purza ""FZC"" (father's sister's child)(also MZC) [215]"
mFZyS,purza,,,,IE215(31),barth_principles_1953,"purza ""FZC"" (father's sister's child)(also MZC) [215]"
mFBeD,amoaza,,,,IE215(31),barth_principles_1953,"amoaza ""FBC"" (father's brother's child) [215]"
mFByD,amoaza,,,,IE215(31),barth_principles_1953,"amoaza ""FBC"" (father's brother's child) [215]"
mFZeD,purza,,,,IE215(31),barth_principles_1953,"purza ""FZC"" (father's sister's child)(also MZC) [215]"
mFZyD,purza,,,,IE215(31),barth_principles_1953,"purza ""FZC"" (father's sister's child)(also MZC) [215]"
mMBeS,khaloaza,,,,IE215(31),barth_principles_1953,"khaloaza ""MBC"" (mother's brother's child) [215]"
mMByS,khaloaza,,,,IE215(31),barth_principles_1953,"khaloaza ""MBC"" (mother's brother's child) [215]"
mMZeS,purza,,,,IE215(31),barth_principles_1953,"purza ""MZC"" (mother's sister's child)(also FZC) [215]"
mMZyS,purza,,,,IE215(31),barth_principles_1953,"purza ""MZC"" (mother's sister's child)(also FZC) [215]"
mMBeD,khaloaza,,,,IE215(31),barth_principles_1953,"khaloaza ""MBC"" (mother's brother's child) [215]"
mMByD,khaloaza,,,,IE215(31),barth_principles_1953,"khaloaza ""MBC"" (mother's brother's child) [215]"
mMZeD,purza,,,,IE215(31),barth_principles_1953,"purza ""MZC"" (mother's sister's child)(also FZC) [215]"
mMZyD,purza,,,,IE215(31),barth_principles_1953,"purza ""MZC"" (mother's sister's child)(also FZC) [215]"
mW,jin,,,,IE215(31),barth_principles_1953,"zhin ""wife"" [215]"
mWF,khazur,,,,"IE215(31,33)",barth_principles_1953,"khazur ""wife's father"" or ""spouse's father"" [215]"
mWM,khasu,,,,"IE215(31,33)",barth_principles_1953,"khasu ""wife's mother"" or ""spouse's mother"" [215]"
mBW,brazhin,,,,IE215(31),barth_principles_1953,"brazhin ""brother's wife"" [215]"
mZH,zawa,,,,IE215(31),barth_principles_1953,"zawa ""sister's husband"" [215]"
mWB,kaka,,,,IE215(31),barth_principles_1953,"kaka …(given name) ""wife's brother"" or ""spouse's brother"" [215]"
mWZ,badja,,,,IE215(31),barth_principles_1953,"badja …(given name) ""wife's sister"" or ""spouse's sister"" [215]"
mSW,buk,,,,IE215(31),barth_principles_1953,"buk ""son's wife"" [215]"
mDH,zawa,,,,IE215(31),barth_principles_1953,"zawa ""daughter's husband"" [215]"
fB,bra,,,,IE215(31),barth_principles_1953,"bra ""brother"" [215]"
fZ,khusk,,,,IE215(31),barth_principles_1953,"khusk ""sister"" [215]"
feB,bra,,,,IE215(31),barth_principles_1953,"bra ""brother"" [215]"
fyB,bra,,,,IE215(31),barth_principles_1953,"bra ""brother"" [215]"
feZ,khusk,,,,IE215(31),barth_principles_1953,"khusk ""sister"" [215]"
fyZ,khusk,,,,IE215(31),barth_principles_1953,"khusk ""sister"" [215]"
fF,baok,,,,IE215(31),barth_principles_1953,"baok ""father"" [215]"
fM,daik,,,,IE215(31),barth_principles_1953,"daik ""mother"" [215]"
fS,kurr,,,,IE215(31),barth_principles_1953,"kurr ""son"" [215]"
fD,kitch,,,,IE215(31),barth_principles_1953,"kitch ""daughter"" [215]"
fFF,ba-pir,,,,IE215(31),barth_principles_1953,"ba-pir ""grandfather"" [215]"
fFM,nanik,,,,IE215(31),barth_principles_1953,"nanik ""grandmother""; also: nanna [215:31]"
fMF,ba-pir,,,,IE215(31),barth_principles_1953,"ba-pir ""grandfather"" [215]"
fMM,nanik,,,,IE215(31),barth_principles_1953,"nanik ""grandmother""; also: nanna [215:31]"
fSS,kurraza,,,,IE215(31),barth_principles_1953,"kurraza ""son's child"" [21]"
fSD,kurraza,,,,IE215(31),barth_principles_1953,"kurraza ""son's child"" [21]"
fDS,kitchaza,,,,IE215(31),barth_principles_1953,"kitchaza ""daughter's child"" [215]"
fDD,kitchaza,,,,IE215(31),barth_principles_1953,"kitchaza ""daughter's child"" [215]"
fFB,mam,,,,IE215(31),barth_principles_1953,"mam ""father's brother"" [215]"
fFZ,pur,,,,IE215(31),barth_principles_1953,"pur ""father's sister"" (also MZ) [215]"
fMB,khal,,,,IE215(31),barth_principles_1953,"khal ""mother's brother"" [215]"
fMZ,pur,,,,IE215(31),barth_principles_1953,"pur ""mother's sister"" (also FZ) [215]"
fFeB,mam,,,,IE215(31),barth_principles_1953,"mam ""father's brother"" [215]"
fFyB,mam,,,,IE215(31),barth_principles_1953,"mam ""father's brother"" [215]"
fFeZ,pur,,,,IE215(31),barth_principles_1953,"pur ""father's sister"" (also MZ) [215]"
fFyZ,pur,,,,IE215(31),barth_principles_1953,"pur ""father's sister"" (also MZ) [215]"
fMeZ,pur,,,,IE215(31),barth_principles_1953,"pur ""mother's sister"" (also FZ) [215]"
