parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,fratello,,,,"IE80(156,167)",diniz_os_1977,"fratello ""brother"" [80]"
mZ,sorella,,,,"IE80(156,167)",diniz_os_1977,"sorella ""sister"" [80]"
meB,fratello,,,,"IE80(156,167)",diniz_os_1977,"fratello ""brother"" [80]"
myB,fratello,,,,"IE80(156,167)",diniz_os_1977,"fratello ""brother"" [80]"
meZ,sorella,,,,"IE80(156,167)",diniz_os_1977,"sorella ""sister"" [80]"
myZ,sorella,,,,"IE80(156,167)",diniz_os_1977,"sorella ""sister"" [80]"
mP,progenitori,,,,"IE80(156,167)",diniz_os_1977,"progenitori ""parent"" [80]"
mF,padre,,,,"IE80(156,167)",diniz_os_1977,"padre ""father"" [80]"
mF,papá,,,,"IE80(156,167)",diniz_os_1977,"papá ""daddy"" [80]"
mM,madre,,,,"IE80(156,167)",diniz_os_1977,"madre ""mother"" [80]"
mM,mamma,,,,"IE80(156,167)",diniz_os_1977,"mamma ""mammy"" [80]"
mS,figlio,,,,"IE80(156,167)",diniz_os_1977,"figlio ""son"" [80]"
mD,figlia,,,,"IE80(156,167)",diniz_os_1977,"figlia ""daughter"" [80]"
mFF,nonno,,,,"IE80(156,167)",diniz_os_1977,"nonno ""grandfather"" [80]"
mFM,nonna,,,,"IE80(156,167)",diniz_os_1977,"nonna ""grandmother"" [80]"
mMF,nonno,,,,"IE80(156,167)",diniz_os_1977,"nonno ""grandfather"" [80]"
mMM,nonna,,,,"IE80(156,167)",diniz_os_1977,"nonna ""grandmother"" [80]"
mSS,nipote,,,,"IE80(156,167)",diniz_os_1977,"nipote ""grandson"" [80]"
mSD,nipote,,,,"IE80(156,167)",diniz_os_1977,"nipote ""granddaughter"" [80]"
mDS,nipote,,,,"IE80(156,167)",diniz_os_1977,"nipote ""grandson"" [80]"
mDD,nipote,,,,"IE80(156,167)",diniz_os_1977,"nipote ""granddaughter"" [80]"
mFB,zio,,,,"IE80(156,167)",diniz_os_1977,"zio ""uncle"" [80]"
mFZ,zia,,,,"IE80(156,167)",diniz_os_1977,"zia ""aunt"" [80]"
mMB,zio,,,,"IE80(156,167)",diniz_os_1977,"zio ""uncle"" [80]"
mMZ,zia,,,,"IE80(156,167)",diniz_os_1977,"zia ""aunt"" [80]"
mFeB,zio,,,,"IE80(156,167)",diniz_os_1977,"zio ""uncle"" [80]"
mFyB,zio,,,,"IE80(156,167)",diniz_os_1977,"zio ""uncle"" [80]"
mFeZ,zia,,,,"IE80(156,167)",diniz_os_1977,"zia ""aunt"" [80]"
