parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
myB,frāter minor,,,,IE519,baldi_latin_2015,
myZ,soror minor,,,,IE519,baldi_latin_2015,
mC,nātī,,,,IE519,baldi_latin_2015,
mC,līberī,,,,IE519,baldi_latin_2015,
mS,nātus,,,,IE519,baldi_latin_2015,
mD,nāta,,,,IE519,baldi_latin_2015,
mH,vir,,,,IE519,baldi_latin_2015,
mH,marītus,,,,IE519,baldi_latin_2015,
mH,coniu(n)x,,,,IE519,baldi_latin_2015,
mW,uxor,,,,IE519,baldi_latin_2015,
mW,coniu(n)x,,,,IE519,baldi_latin_2015,
mW,marīta,,,,IE519,baldi_latin_2015,
mHF,socer,,,,IE519,baldi_latin_2015,
mHM,socrus,,,,IE519,baldi_latin_2015,
mWF,socer,,,,IE519,baldi_latin_2015,
mWM,socrus,,,,IE519,baldi_latin_2015,
mSW,nurus,,,,IE519,baldi_latin_2015,
mSW,nurus,,,,IE519,baldi_latin_2015,
mDH,gener,,,,IE519,baldi_latin_2015,
mDH,gener,,,,IE519,baldi_latin_2015,
fyB,frāter minor,,,,IE519,baldi_latin_2015,
fyZ,soror minor,,,,IE519,baldi_latin_2015,
fC,nātī,,,,IE519,baldi_latin_2015,
fC,līberī,,,,IE519,baldi_latin_2015,
fS,nātus,,,,IE519,baldi_latin_2015,
fD,nāta,,,,IE519,baldi_latin_2015,
fH,vir,,,,IE519,baldi_latin_2015,
fH,marītus,,,,IE519,baldi_latin_2015,
fH,coniu(n)x,,,,IE519,baldi_latin_2015,
fW,uxor,,,,IE519,baldi_latin_2015,
fW,coniu(n)x,,,,IE519,baldi_latin_2015,
fW,marīta,,,,IE519,baldi_latin_2015,
fHF,socer,,,,IE519,baldi_latin_2015,
fHM,socrus,,,,IE519,baldi_latin_2015,
fWF,socer,,,,IE519,baldi_latin_2015,
fWM,socrus,,,,IE519,baldi_latin_2015,
fSW,nurus,,,,IE519,baldi_latin_2015,
fSW,nurus,,,,IE519,baldi_latin_2015,
fDH,gener,,,,IE519,baldi_latin_2015,
fDH,gener,,,,IE519,baldi_latin_2015,
mB,frāter,,,,IE519,baldi_latin_2015,
mZ,soror,,,,IE519,baldi_latin_2015,
mF,pater,,,,IE519,baldi_latin_2015,
mM,māter,,,,IE519,baldi_latin_2015,
mS,fīlius,,,,IE519,baldi_latin_2015,
mD,fīlia,,,,IE519,baldi_latin_2015,
