parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mC,vaĩkas,,,,IE287(102),ambrazas_lithuanian_2006,"vaĩkas ""child"", plural: vaikaĩ [287]"
mMF,mótinos tévas,,,,IE287(562),ambrazas_lithuanian_2006,"mótinos tévas (e with ´and ė accents on it) ""mother's father"" [287]"
mBS,brólvaikis,,,,IE287(129),ambrazas_lithuanian_2006,"brólvaikis ""nephew"" [287]"
mZS,sesers sūnùs,,,,IE287(562),ambrazas_lithuanian_2006,"sesers sūnùs (r has ~ accent on it) ""sister's son"" [287]"
mZS,sūnénas,,,,IE287(562),ambrazas_lithuanian_2006,"sūnénas (é has also ė accent on it) ""nephew"" [287]"
mZD,sesers duktė,,,,IE287(562),ambrazas_lithuanian_2006,"sesers duktė (r has accent ~ on it, ė has also ~ on it) ""sister's daughter"" [287]"
mZD,dukteréčia,,,,IE287(562),ambrazas_lithuanian_2006,"dukteréčia (é has also ė accent on it) ""niece"" [287]"
meBS,brólvaikis,,,,IE287(129),ambrazas_lithuanian_2006,"brólvaikis ""nephew"" [287]"
myBS,brólvaikis,,,,IE287(129),ambrazas_lithuanian_2006,"brólvaikis ""nephew"" [287]"
meZS,sesers sūnùs,,,,IE287(562),ambrazas_lithuanian_2006,"sesers sūnùs (r has ~ accent on it) ""sister's son"" [287]"
meZS,sūnénas,,,,IE287(562),ambrazas_lithuanian_2006,"sūnénas (é has also ė accent on it) ""nephew"" [287]"
myZS,sesers sūnùs,,,,IE287(562),ambrazas_lithuanian_2006,"sesers sūnùs (r has ~ accent on it) ""sister's son"" [287]"
myZS,sūnénas,,,,IE287(562),ambrazas_lithuanian_2006,"sūnénas (é has also ė accent on it) ""nephew"" [287]"
meZD,sesers duktė,,,,IE287(562),ambrazas_lithuanian_2006,"sesers duktė (r has accent ~ on it, ė has also ~ on it) ""sister's daughter"" [287]"
meZD,dukteréčia,,,,IE287(562),ambrazas_lithuanian_2006,"dukteréčia (é has also ė accent on it) ""niece"" [287]"
myZD,sesers duktė,,,,IE287(562),ambrazas_lithuanian_2006,"sesers duktė (r has accent ~ on it, ė has also ~ on it) ""sister's daughter"" [287]"
myZD,dukteréčia,,,,IE287(562),ambrazas_lithuanian_2006,"dukteréčia (é has also ė accent on it) ""niece"" [287]"
mHF,vy'ro tévas,,,,IE287(562),ambrazas_lithuanian_2006,"vy'ro tévas ""husband's father"" [287]"
mHZ,vy´ro sesuõ,,,,IE287(562),ambrazas_lithuanian_2006,"vy´ro sesuõ ""husband's sister""  [287]"
fC,vaĩkas,,,,IE287(102),ambrazas_lithuanian_2006,"vaĩkas ""child"", plural: vaikaĩ [287]"
fMF,mótinos tévas,,,,IE287(562),ambrazas_lithuanian_2006,"mótinos tévas (e with ´and ė accents on it) ""mother's father"" [287]"
fBS,brólvaikis,,,,IE287(129),ambrazas_lithuanian_2006,"brólvaikis ""nephew"" [287]"
fZS,sesers sūnùs,,,,IE287(562),ambrazas_lithuanian_2006,"sesers sūnùs (r has ~ accent on it) ""sister's son"" [287]"
fZS,sūnénas,,,,IE287(562),ambrazas_lithuanian_2006,"sūnénas (é has also ė accent on it) ""nephew"" [287]"
