parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,Brudder,,,,IE502,noauthor_worterbucher_2010,
mZ,Schwester,,,,IE502,noauthor_worterbucher_2010,
meB,Brudder,,,,IE502,noauthor_worterbucher_2010,
myB,Brudder,,,,IE502,noauthor_worterbucher_2010,
meZ,Schwester,,,,IE502,noauthor_worterbucher_2010,
myZ,Schwester,,,,IE502,noauthor_worterbucher_2010,
mP,Elteren,,,,IE502,noauthor_worterbucher_2010,no singular
mF,Papp,,,,IE502,noauthor_worterbucher_2010,
mM,Mamm,,,,IE502,noauthor_worterbucher_2010,
mC,Kand,,,,IE502,noauthor_worterbucher_2010,
mS,Fils,,,,IE502,noauthor_worterbucher_2010,
mS,Fiss,,,,IE502,noauthor_worterbucher_2010,
mS,Fiston,,,,IE502,noauthor_worterbucher_2010,
mD,duechter,,,,IE502,noauthor_worterbucher_2010,
mA,virelteren,,,,IE502,noauthor_worterbucher_2010,
mPP,grousselteren,,,,IE502,noauthor_worterbucher_2010,
mFF,grousspapp,,,"bopa, bopi, bopapa",IE502,noauthor_worterbucher_2010,
mFM,groussmamm,,,"bom, ditti",IE502,noauthor_worterbucher_2010,
mMF,grousspapp,,,bopa,IE502,noauthor_worterbucher_2010,
mMM,groussmamm,,,bom,IE502,noauthor_worterbucher_2010,
mCC,enkelkanner,,,,IE502,noauthor_worterbucher_2010,
mCC,kannskanner,,,,IE502,noauthor_worterbucher_2010,
mSS,enkel,,,,IE502,noauthor_worterbucher_2010,
mSD,enkelin,,,,IE502,noauthor_worterbucher_2010,
mDS,enkel,,,,IE502,noauthor_worterbucher_2010,
mDD,enkelin,,,,IE502,noauthor_worterbucher_2010,
mFB,monnonk,,,monni,IE502,noauthor_worterbucher_2010,
mFZ,mattant,,,tatta,IE502,noauthor_worterbucher_2010,
mMB,monnonk,,,monni,IE502,noauthor_worterbucher_2010,
mMZ,mattant,,,tatta,IE502,noauthor_worterbucher_2010,
mBS,neveu,,,,IE502,noauthor_worterbucher_2010,additionally 'Nëwwi' can also be used
mBD,niess,,,,IE502,noauthor_worterbucher_2010,
mZS,neveu,,,,IE502,noauthor_worterbucher_2010,
mZD,niess,,,,IE502,noauthor_worterbucher_2010,
meBS,neveu,,,,IE502,noauthor_worterbucher_2010,
myBS,neveu,,,,IE502,noauthor_worterbucher_2010,
meBD,niess,,,,IE502,noauthor_worterbucher_2010,
myBD,niess,,,,IE502,noauthor_worterbucher_2010,
meZS,neveu,,,,IE502,noauthor_worterbucher_2010,
myZS,neveu,,,,IE502,noauthor_worterbucher_2010,
meZD,niess,,,,IE502,noauthor_worterbucher_2010,
myZD,niess,,,,IE502,noauthor_worterbucher_2010,
mFZD,Cousin,,,,IE502,noauthor_worterbucher_2010,
mFZD,koseng,,,,IE502,noauthor_worterbucher_2010,
mFBD,Cousin,,,,IE502,noauthor_worterbucher_2010,
mFBD,koseng,,,,IE502,noauthor_worterbucher_2010,
mMBD,Cousin,,,,IE502,noauthor_worterbucher_2010,
mMBD,koseng,,,,IE502,noauthor_worterbucher_2010,
mMZD,Cousin,,,,IE502,noauthor_worterbucher_2010,
mMZD,koseng,,,,IE502,noauthor_worterbucher_2010,
mFBS,Cousin,,,,IE502,noauthor_worterbucher_2010,
mFBS,koseng,,,,IE502,noauthor_worterbucher_2010,
mFZS,Cousin,,,,IE502,noauthor_worterbucher_2010,
mFZS,koseng,,,,IE502,noauthor_worterbucher_2010,
mMBS,Cousin,,,,IE502,noauthor_worterbucher_2010,
mMBS,koseng,,,,IE502,noauthor_worterbucher_2010,
mMZS,Cousin,,,,IE502,noauthor_worterbucher_2010,
mMZS,koseng,,,,IE502,noauthor_worterbucher_2010,
mFeBS,Cousin,,,,IE502,noauthor_worterbucher_2010,
mFeBS,koseng,,,,IE502,noauthor_worterbucher_2010,
mFyBS,Cousin,,,,IE502,noauthor_worterbucher_2010,
mFyBS,koseng,,,,IE502,noauthor_worterbucher_2010,
mFyZS,Cousin,,,,IE502,noauthor_worterbucher_2010,
mFyZS,koseng,,,,IE502,noauthor_worterbucher_2010,
mFeBD,Cousin,,,,IE502,noauthor_worterbucher_2010,
mFeBD,koseng,,,,IE502,noauthor_worterbucher_2010,
mFeBD,Cousin,,,,IE502,noauthor_worterbucher_2010,
mFeBD,koseng,,,,IE502,noauthor_worterbucher_2010,
mFeZD,Cousin,,,,IE502,noauthor_worterbucher_2010,
mFeZD,koseng,,,,IE502,noauthor_worterbucher_2010,
mFyZD,Cousin,,,,IE502,noauthor_worterbucher_2010,
mFyZD,koseng,,,,IE502,noauthor_worterbucher_2010,
mMeBS,Cousin,,,,IE502,noauthor_worterbucher_2010,
mMeBS,koseng,,,,IE502,noauthor_worterbucher_2010,
mMyBS,Cousin,,,,IE502,noauthor_worterbucher_2010,
