parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mM,amma,,,,IE9(107),basu_sociolinguistic_1974,"amma ""mother"" (the Sanskrit term  mātr (mātā) is used in New Indo-Aryan languages in high-style writing; the Tadbhava (derivative) of this term is commonly found as mā in many of these languages (see text); in Marathi is used a term  amma which is common with the Dravidian terms of South India [9:107]"
mW,gharkarī,,,,IE9(104),basu_sociolinguistic_1974,gharkarī [9]
fM,amma,,,,IE9(107),basu_sociolinguistic_1974,"amma ""mother"" (the Sanskrit term  mātr (mātā) is used in New Indo-Aryan languages in high-style writing; the Tadbhava (derivative) of this term is commonly found as mā in many of these languages (see text); in Marathi is used a term  amma which is common with the Dravidian terms of South India [9:107]"
fW,gharkarī,,,,IE9(104),basu_sociolinguistic_1974,gharkarī [9]
mB,bhāū,,,,DR7(146),basu_sociolinguistic_1974,"bhāū ""brother"" [223]; bhāu ""brother"" (in general), ""younger brother"" (in particular) [9:109]"
mZ,bahiṇa,,,,DR7(146),basu_sociolinguistic_1974,"bahiṇa ""sister"" [223]; bahīn ""sister"" (in general), ""younger sister"" (in particular) [9]"
meB,dādā,,,,IE157(583),basu_sociolinguistic_1974,"dādā  brother, elder"" [157]; dādā (in some languages  used for ""the grandfather""), is used in Marathi (and in several other languages) for ""the elder brother""; the term is probably derived from  tātaka,  tāta like ārya being a respectful term given to the honourable kins like the father or to a fatherlike person in Sanskrit. [...] The ka suffix might have been used to denote ""slightly less than"". As both FF and FeB could be considered slightly less than the father in estimation, tātaka might have been used for them. [...] According to Turner, however, the origin of this word is a Nursery word (Lallwort). [9]"
myB,bhāū,,,,DR7(146),basu_sociolinguistic_1974,"bhāū ""brother"" [223]; bhāu ""brother"" (in general), ""younger brother"" (in particular) [9:109]"
meZ,tāī,,,,IE157(583),basu_sociolinguistic_1974,"tāī ""sister, elder"" [157]; tāī ""elder sister"" (derived from tātika) [9]"
myZ,bahiṇa,,,,DR7(146),basu_sociolinguistic_1974,"bahiṇa ""sister"" [223]; bahīn ""sister"" (in general), ""younger sister"" (in particular) [9]"
mF,bāpa,,,,DR7(145),basu_sociolinguistic_1974,"bāpa ""father"" [223]; bābā ""father"", also: āppā [157]; bāp ""father"" [9]"
mF,vaḍil,,,,IE157(584),basu_sociolinguistic_1974,"waḍīl ""father"" [157]; a respectful term is  vaḍil (this might be coming from  vardhila, an attributive in honour, or from Persian  wālid) [9]"
mM,āī,,,,DR7(145),basu_sociolinguistic_1974,"āī ""mother"" [223]; āī ""mother"" [157]; (Besides the term  amma): Further, it [Marathi] has a term  āyī for ""mother"", which term is, however, used in many of these languages (see text) for ""the grand mother"". Marathi has however the term  ājī for the grand mother as ājā for grandfather.   Both āyī [and ...] and ājī are derived from Sanskrit āryikā, Prakrit  ayyiā, and ajjiā). Again  ājā [...] is derived from Sanskrit  āryaka, Prakrit ajjaa. The choice of one derivative for ""mother"" and another for ""grandmother"" in Marathi is thus very interesting from the socio-linguistic points of view. [...]  [9:107];          (citation: Sindhi has still preserved, like some other Indian languages like Marathi, the term āī, derived like aiya and ā'i (no longer used in modern Hindi) from Sans. āryā > Prakrit ayyā (see footnote for source)) [188:345]"
mS,mulagā,,,,DR7(146),basu_sociolinguistic_1974,"mulagā"" son"" [223]; mulgā ""son"" [157];  mulgā (the origin of this term may be  mūlaka […], the original meaning of which may be ""the germ"" or the root of genealogy that spreads over through the son)(see also footnote on same page) [9]"
mS,puta,,,,DR7(146),basu_sociolinguistic_1974,"puta ""son"" [223];  put ""son"" [9]"
mD,mulgī,,,,DR7(147),basu_sociolinguistic_1974,"mulagi ""daughter"" [223]; mulgī ""daughter"" [157]; mulgī ""daughter"" [9]"
