parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
fFByD,"merä bahin, chacheri bahin",,female speaker's father's brother's younger daughter,,,Morgan1871,
feB,merá bará bhái,,female speaker's older brother,,,Morgan1871,
meB,merá bará bhái,,male speaker's older brother,,,Morgan1871,
fS,merá betá,,female speaker's son,,,Morgan1871,
mS,merá betá,,male speaker's son,,,Morgan1871,
feZS,merá bhahinautá,,female speaker's older sister's son,,,Morgan1871,
fyZS,merá bhahinautá,,female speaker's younger sister's son,,,Morgan1871,
fMBeS,"merá bhaí, mamera bhaí",,female speaker's mother's brother's older son,,,Morgan1871,
fMByS,"merá bhaí, mamera bhaí",,female speaker's mother's brother's younger son,,,Morgan1871,
mMBeS,"merá bhaí, mamere bhaí",,male speaker's mother's brother's older son,,,Morgan1871,
mMByS,"merá bhaí, mamere bhaí",,male speaker's mother's brother's younger son,,,Morgan1871,
fFZeS,"merá bhaí, phuphera bhaí",,female speaker's father's sister's older son,,,Morgan1871,
fFZyS,"merá bhaí, phuphera bhaí",,male speaker's father's sister's younger son,,,Morgan1871,
mFZeS,"merá bhaí, phuphera bhaí",,male speaker's father's sister's older son,,,Morgan1871,
mFZyS,"merá bhaí, phuphera bhaí",,male speaker's father's sister's younger son,,,Morgan1871,
fFByS,"merá bhai´, chackerá bhai´",,female speaker's father's brother's younger son,,,Morgan1871,
mFByS,"merá bhai´, chackerá bhai´",,male speaker's father's brother's younger son,,,Morgan1871,
fFBeS,"merá bhai´, chackerá bhai´",,female speaker's father's brother's older son,,,Morgan1871,
mFBeS,"merá bhai´, chackerá bhai´",,male speaker's father's brother's older son,,,Morgan1871,
fMZyS,"merá bhai´, mauseta bhai",,female speaker's mother's sister's younger son,,,Morgan1871,
fMZeS,"merá bhai´, mauseta bhai",,female speaker's mother's sister's older son,,,Morgan1871,
mMZeS,"merá bhai´, mauseta bhai",,male speaker's mother's sister's older son,,,Morgan1871,
mMZyS,"merá bhai´, mausetu bhai",,male speaker's mother's sister's younger son,,,Morgan1871,
feBS,merá bhantijá,,female speaker's older brother's son,,,Morgan1871,
fyBS,merá bhantijá,,female speaker's younger brother's son,,,Morgan1871,
