"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mB","brōðir",,,,"IE997","westvik_old_2015",""
"mZ","systir",,,,"IE997","westvik_old_2015",""
"mF","faðir",,,,"IE997","westvik_old_2015",""
"mM","mōðir",,,,"IE997","westvik_old_2015",""
"mS","sunr",,,,"IE997","westvik_old_2015",""
"mS","sonr",,,,"IE997","westvik_old_2015",""
"mD","dōttir",,,,"IE997","westvik_old_2015",""
"mFF","foður-faðir",,,,"IE997","westvik_old_2015",""
"mFF","afi",,,,"IE997","westvik_old_2015",""
"mFM","foður-mōðir",,,,"IE997","westvik_old_2015",""
"mFM","amma",,,,"IE997","westvik_old_2015",""
"mMF","mōður-faðir",,,,"IE997","westvik_old_2015",""
"mMF","afi",,,,"IE997","westvik_old_2015",""
"mMM","mōður-mōðir",,,,"IE997","westvik_old_2015",""
"mMM","amma",,,,"IE997","westvik_old_2015",""
"mSS","sonar-sonr",,,,"IE997","westvik_old_2015",""
"mSD","sonar-dōttur",,,,"IE997","westvik_old_2015","sonar-dōttir"
"mDS","dōttur-sonr",,,,"IE997","westvik_old_2015",""
"mDD","dōttur-dōttir",,,,"IE997","westvik_old_2015",""
"mFB","foður-brōðir",,,,"IE997","westvik_old_2015",""
"mFZ","foður-systir",,,,"IE997","westvik_old_2015",""
"mMB","mōður-brōðir",,,,"IE997","westvik_old_2015",""
"mMZ","mōðir-systir",,,,"IE997","westvik_old_2015",""
"mBS","nefi",,,,"IE997","westvik_old_2015",""
"mBD","nipt",,,,"IE997","westvik_old_2015",""
"mZS","nefi",,,,"IE997","westvik_old_2015",""
"mZD","nipt",,,,"IE997","westvik_old_2015",""
"mFBD","brœðrunga",,,,"IE997","westvik_old_2015",""
"mMZD","systrunga",,,,"IE997","westvik_old_2015",""
"mFBS","brœðrungr",,,,"IE997","westvik_old_2015",""
"mMZS","systrungr",,,,"IE997","westvik_old_2015",""
"mH","verr",,,,"IE997","westvik_old_2015",""
"mH","maðr",,,,"IE997","westvik_old_2015",""
"mH","hūs-bōndi",,,,"IE997","westvik_old_2015",""
"mW","kona",,,,"IE997","westvik_old_2015",""
"mW","kvān",,,,"IE997","westvik_old_2015",""
"mHF","verfaðir",,,,"IE997","westvik_old_2015",""
"mHM","vermōðir",,,,"IE997","westvik_old_2015",""
"mWF","māgr",,,,"IE997","westvik_old_2015",""
"mWM","svœ̄ra",,,,"IE997","westvik_old_2015",""
"mWM","māgkona",,,,"IE997","westvik_old_2015",""
"mSW","snor",,,,"IE997","westvik_old_2015",""
"mSW","māgkona",,,,"IE997","westvik_old_2015",""
"mDH","māgr",,,,"IE997","westvik_old_2015",""
"meB","brōðir",,,,"IE997","westvik_old_2015","Inferred; NA"
"myB","brōðir",,,,"IE997","westvik_old_2015","Inferred; NA"
"meZ","systir",,,,"IE997","westvik_old_2015","Inferred; NA"
"myZ","systir",,,,"IE997","westvik_old_2015","Inferred; NA"
"mFeB","foður-brōðir",,,,"IE997","westvik_old_2015","Inferred; NA"
"mFyB","foður-brōðir",,,,"IE997","westvik_old_2015","Inferred; NA"
"mFeZ","foður-systir",,,,"IE997","westvik_old_2015","Inferred; NA"
"mFyZ","foður-systir",,,,"IE997","westvik_old_2015","Inferred; NA"
"mMeZ","mōðir-systir",,,,"IE997","westvik_old_2015","Inferred; NA"
"mMyZ","mōðir-systir",,,,"IE997","westvik_old_2015","Inferred; NA"
"mMeB","mōður-brōðir",,,,"IE997","westvik_old_2015","Inferred; NA"
"mMyB","mōður-brōðir",,,,"IE997","westvik_old_2015","Inferred; NA"
"meBS","nefi",,,,"IE997","westvik_old_2015","Inferred; NA"
"myBS","nefi",,,,"IE997","westvik_old_2015","Inferred; NA"
"meBD","nipt",,,,"IE997","westvik_old_2015","Inferred; NA"
"myBD","nipt",,,,"IE997","westvik_old_2015","Inferred; NA"
"meZS","nefi",,,,"IE997","westvik_old_2015","Inferred; NA"
"myZS","nefi",,,,"IE997","westvik_old_2015","Inferred; NA"
"meZD","nipt",,,,"IE997","westvik_old_2015","Inferred; NA"
"myZD","nipt",,,,"IE997","westvik_old_2015","Inferred; NA"
"mFeBS","brœðrungr",,,,"IE997","westvik_old_2015","Inferred; NA"
"mFyBS","brœðrungr",,,,"IE997","westvik_old_2015","Inferred; NA"
"mFeBD","brœðrunga",,,,"IE997","westvik_old_2015","Inferred; NA"
"mFyBD","brœðrunga",,,,"IE997","westvik_old_2015","Inferred; NA"
"mMeZS","systrungr",,,,"IE997","westvik_old_2015","Inferred; NA"
"mMyZS","systrungr",,,,"IE997","westvik_old_2015","Inferred; NA"
"mMeZD","systrunga",,,,"IE997","westvik_old_2015","Inferred; NA"
"mMyZD","systrunga",,,,"IE997","westvik_old_2015","Inferred; NA"
"mFBeS","brœðrungr",,,,"IE997","westvik_old_2015","Inferred; NA"
