"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","брат",,"male ego's older brother",,,"Evans2016",""
"myB","брат",,"male ego's younger brother",,,"Evans2016",""
"feB","брат",,"female ego's older brother",,,"Evans2016",""
"fyB","брат",,"female ego's younger brother",,,"Evans2016",""
"meZ","сестра",,"male ego's older sister",,,"Evans2016",""
"myZ","сестра",,"male ego's younger sister",,,"Evans2016",""
"feZ","сестра",,"female ego's older sister",,,"Evans2016",""
"fyZ","сестра",,"female ego's younger sister",,,"Evans2016",""
"mF","отец",,"male ego's father",,,"Evans2016",""
"mM","мать",,"male ego's mother",,,"Evans2016",""
"fF","отец",,"female ego's father",,,"Evans2016",""
"fM","мать",,"female ego's mother",,,"Evans2016",""
"mS","сын",,"male ego's son",,,"Evans2016",""
"fS","сын",,"female ego's son",,,"Evans2016",""
"mD","дочь",,"male ego's daughter",,,"Evans2016",""
"fD","дочь",,"female ego's daughter",,,"Evans2016",""
"mSS","внук",,"male ego's son's son",,,"Evans2016",""
"mSD","внучка",,"male ego's son's daughter",,,"Evans2016",""
"mDS","внук",,"male ego's daughter's son",,,"Evans2016",""
"mDD","внучка",,"male ego's daughter's daughter",,,"Evans2016",""
"fSS","внук",,"female ego's son's son",,,"Evans2016",""
"fSD","внучка",,"female ego's son's daughter",,,"Evans2016",""
"fDS","внук",,"female ego's daughter's son",,,"Evans2016",""
"fDD","внучка",,"female ego's daugher's daughter",,,"Evans2016",""
"mFF","дедушка",,"male ego's father‘s father",,,"Evans2016",""
"mFM","бабушка",,"male ego's father's mother",,,"Evans2016",""
"mMF","дедушка",,"male ego's mother's father",,,"Evans2016",""
"mMM","бабушка",,"male ego's mother's mother",,,"Evans2016",""
"fFF","дедушка",,"female ego's father's father",,,"Evans2016",""
"fFM","бабушка",,"female ego's father's mother",,,"Evans2016",""
"fMF","дедушка",,"female ego's mother's father",,,"Evans2016",""
"fMM","бабушка",,"female ego's mother's mother",,,"Evans2016",""
"meBS","племянник",,"male ego's older brother's son",,,"Evans2016",""
"myBS","племянник",,"male ego's younger brother's son",,,"Evans2016",""
"meZS","племянник",,"male ego's older sister's son",,,"Evans2016",""
"myZS","племянник",,"male ego's younger sister's son",,,"Evans2016",""
"meBD","племянница",,"male ego's older brother's daughter",,,"Evans2016",""
"myBD","племянница",,"male ego's younger brother's daughter",,,"Evans2016",""
"meZD","племянница",,"male ego's older sister's daughter",,,"Evans2016",""
"myZD","племянница",,"male ego's younger sister's daughter",,,"Evans2016",""
"feBS","племянник",,"female ego's older brother's son",,,"Evans2016",""
"fyBS","племянник",,"female ego's younger brother's son",,,"Evans2016",""
"feZS","племянник",,"female ego's older sister's son",,,"Evans2016",""
"fyZS","племянник",,"female ego's younger sister's son",,,"Evans2016",""
"feBD","племянница",,"female ego's older brother's daughter",,,"Evans2016",""
"fyBD","племянница",,"female ego's younger brother's daughter",,,"Evans2016",""
"feZD","племянница",,"female ego's older sister's daughter",,,"Evans2016",""
"fyZD","племянница",,"female ego's younger sister's daughter",,,"Evans2016",""
"mFeB","дядя",,"male ego's father's older brother",,,"Evans2016",""
"mFyB","дядя",,"male ego's father's younger brother",,,"Evans2016",""
"mFeZ","тётя",,"male ego's father's older sister",,,"Evans2016",""
"mFyZ","тётя",,"male ego's father's younger sister",,,"Evans2016",""
"mMeB","дядя",,"male ego's mother's older brother",,,"Evans2016",""
"mMyB","дядя",,"male ego's mother's younger brother",,,"Evans2016",""
"mMeZ","тётя",,"male ego's mother's older sister",,,"Evans2016",""
"mMyZ","тётя",,"male ego's mother's younger sister",,,"Evans2016",""
"fFeB","дядя",,"female ego's father's older brother",,,"Evans2016",""
"fFyB","дядя",,"female ego's father's younger brother",,,"Evans2016",""
"fFeZ","тётя",,"female ego's father's older sister",,,"Evans2016",""
"fFyZ","тётя",,"female ego's father's younger sister",,,"Evans2016",""
"fMeB","дядя",,"female ego's mother's older brother",,,"Evans2016",""
"fMyB","дядя",,"female ego's mother's younger brother",,,"Evans2016",""
"fMeZ","тётя",,"female ego's mother's older sister",,,"Evans2016",""
"fMyZ","тётя",,"female ego's mother's younger sister",,,"Evans2016",""
"mW","жена, супруга",,"male ego's wife",,,"Evans2016",""
"fH","муж, супруг",,"female ego‘s husband",,,"Evans2016",""
"mDH","зять",,"male ego's daughter's husband",,,"Evans2016",""
"fDH","зять",,"female ego's daughter's husband",,,"Evans2016",""
"mSW","невестка, сноха",,"male ego's son's wife",,,"Evans2016",""
"fSW","невестка, сноха",,"female ego's son's wife",,,"Evans2016","Some sources claim this is incorrect usage and that сноха is restricted to mSW, not fSW"
"mWF","тесть",,"male ego's wife's father",,,"Evans2016",""
"mWM","теща",,"male ego's wife's mother",,,"Evans2016",""
"mWB","шурин",,"male ego's wife's brother",,,"Evans2016",""
"mWZ","свояченица",,"male ego's wife's sister",,,"Evans2016",""
"fHF","свекор",,"female ego's husband's father",,,"Evans2016",""
"fHM","свекровь",,"female ego's husband's mother",,,"Evans2016",""
"fHB","деверь",,"female ego's husband's brother",,,"Evans2016",""
"fHZ","золовка",,"female ego's husband's sister",,,"Evans2016",""
"mBW","невестка",,"male ego's brother's wife",,,"Evans2016",""
"fBW","невестка",,"female ego's brother's wife",,,"Evans2016","щ"
"mZH","зять",,"male ego's sister's husband",,,"Evans2016",""
"fZH","зять",,"female ego's sister's husband",,,"Evans2016",""
"mFBS","двоюродный брат",,"male ego's father's brother's son",,,"Evans2016",""
"mFZS","двоюродный брат",,"male ego's father's sister's son",,,"Evans2016",""
"mMBS","двоюродный брат",,"male ego's mother's brother's son",,,"Evans2016",""
"mMZS","двоюродный брат",,"male ego's mother's sister's son",,,"Evans2016",""
"mFBD","двоюродный сестра",,"male ego's father's brother's daughter",,,"Evans2016",""
"mFZD","двоюродный сестра",,"male ego's father's sister's daughter",,,"Evans2016",""
"mMBD","двоюродный сестра",,"male ego's mother's brother's daughter",,,"Evans2016",""
"mMZD","двоюродный сестра",,"male ego's mother's sister's daughter",,,"Evans2016",""
"fFBS","двоюродный брат",,"female ego's father's brother's son",,,"Evans2016",""
"fFZS","двоюродный брат",,"female ego's father's sister's son",,,"Evans2016",""
"fMBS","двоюродный брат",,"female ego's mother's brother's son",,,"Evans2016",""
"fMZS","двоюродный брат",,"female ego's mother's sister's son",,,"Evans2016",""
"fFBD","двоюродный сестра",,"female ego's father's brother's daughter",,,"Evans2016",""
"fFZD","двоюродный сестра",,"female ego's father's sister's daughter",,,"Evans2016",""
"fMBD","двоюродный сестра",,"female ego's mother's brother's daughter",,,"Evans2016",""
"fMZD","двоюродный сестра",,"female ego's mother's sister's daughter",,,"Evans2016",""
"mFeBS","двоюродный брат",,"male ego's father's brother's son",,,"Evans2016","Inferred; "
"mFyBS","двоюродный брат",,"male ego's father's brother's son",,,"Evans2016","Inferred; "
"mFeZS","двоюродный брат",,"male ego's father's sister's son",,,"Evans2016","Inferred; "
"mFyZS","двоюродный брат",,"male ego's father's sister's son",,,"Evans2016","Inferred; "
"mFeBD","двоюродный сестра",,"male ego's father's brother's daughter",,,"Evans2016","Inferred; "
"mFyBD","двоюродный сестра",,"male ego's father's brother's daughter",,,"Evans2016","Inferred; "
"mFeZD","двоюродный сестра",,"male ego's father's sister's daughter",,,"Evans2016","Inferred; "
"mFyZD","двоюродный сестра",,"male ego's father's sister's daughter",,,"Evans2016","Inferred; "
"mMeBS","двоюродный брат",,"male ego's mother's brother's son",,,"Evans2016","Inferred; "
"mMyBS","двоюродный брат",,"male ego's mother's brother's son",,,"Evans2016","Inferred; "
"mMeZS","двоюродный брат",,"male ego's mother's sister's son",,,"Evans2016","Inferred; "
"mMyZS","двоюродный брат",,"male ego's mother's sister's son",,,"Evans2016","Inferred; "
"mMeBD","двоюродный сестра",,"male ego's mother's brother's daughter",,,"Evans2016","Inferred; "
"mMyBD","двоюродный сестра",,"male ego's mother's brother's daughter",,,"Evans2016","Inferred; "
"mMeZD","двоюродный сестра",,"male ego's mother's sister's daughter",,,"Evans2016","Inferred; "
"mMyZD","двоюродный сестра",,"male ego's mother's sister's daughter",,,"Evans2016","Inferred; "
"mFBeS","двоюродный брат",,"male ego's father's brother's son",,,"Evans2016","Inferred; "
"mFByS","двоюродный брат",,"male ego's father's brother's son",,,"Evans2016","Inferred; "
"mFZeS","двоюродный брат",,"male ego's father's sister's son",,,"Evans2016","Inferred; "
"mFZyS","двоюродный брат",,"male ego's father's sister's son",,,"Evans2016","Inferred; "
"mFBeD","двоюродный сестра",,"male ego's father's brother's daughter",,,"Evans2016","Inferred; "
"mFByD","двоюродный сестра",,"male ego's father's brother's daughter",,,"Evans2016","Inferred; "
"mFZeD","двоюродный сестра",,"male ego's father's sister's daughter",,,"Evans2016","Inferred; "
"mFZyD","двоюродный сестра",,"male ego's father's sister's daughter",,,"Evans2016","Inferred; "
"mMBeS","двоюродный брат",,"male ego's mother's brother's son",,,"Evans2016","Inferred; "
"mMByS","двоюродный брат",,"male ego's mother's brother's son",,,"Evans2016","Inferred; "
"mMZeS","двоюродный брат",,"male ego's mother's sister's son",,,"Evans2016","Inferred; "
"mMZyS","двоюродный брат",,"male ego's mother's sister's son",,,"Evans2016","Inferred; "
"mMBeD","двоюродный сестра",,"male ego's mother's brother's daughter",,,"Evans2016","Inferred; "
