parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mCC,barnbarn,,,,IE89(94),diepeveen_verwantschapstermen_2003,
mFB,onkel,,,,IE89(94),diepeveen_verwantschapstermen_2003,
mFZ,tant,,,,IE89(94),diepeveen_verwantschapstermen_2003,
mMB,onkel,,,,IE89(94),diepeveen_verwantschapstermen_2003,
mMZ,tant,,,,IE89(94),diepeveen_verwantschapstermen_2003,
fCC,barnbarn,,,,IE89(94),diepeveen_verwantschapstermen_2003,
fFB,onkel,,,,IE89(94),diepeveen_verwantschapstermen_2003,
fFZ,tant,,,,IE89(94),diepeveen_verwantschapstermen_2003,
fMB,onkel,,,,IE89(94),diepeveen_verwantschapstermen_2003,
fMZ,tant,,,,IE89(94),diepeveen_verwantschapstermen_2003,
mB,bror,,,,IE995,diepeveen_verwantschapstermen_2003,
mZ,syster,,,,IE995,diepeveen_verwantschapstermen_2003,
mF,far,,,,IE995,diepeveen_verwantschapstermen_2003,
mM,mor,,,,IE995,diepeveen_verwantschapstermen_2003,
mS,son,,,,IE995,diepeveen_verwantschapstermen_2003,
mD,dotter,,,,IE995,diepeveen_verwantschapstermen_2003,
mFF,far-far,,,,IE995,diepeveen_verwantschapstermen_2003,
mFF,mor-far,,,,IE995,diepeveen_verwantschapstermen_2003,
mFM,far-mor,,,,IE995,diepeveen_verwantschapstermen_2003,
mFM,mor-mor,,,,IE995,diepeveen_verwantschapstermen_2003,
mMF,far-far,,,,IE995,diepeveen_verwantschapstermen_2003,
mMF,mor-far,,,,IE995,diepeveen_verwantschapstermen_2003,
mMM,far-mor,,,,IE995,diepeveen_verwantschapstermen_2003,
mMM,mor-mor,,,,IE995,diepeveen_verwantschapstermen_2003,
mSS,son-son,,,,IE995,diepeveen_verwantschapstermen_2003,
mSS,dotter-son,,,,IE995,diepeveen_verwantschapstermen_2003,
mSD,son-dotter,,,,IE995,diepeveen_verwantschapstermen_2003,
mSD,dotter-dotter,,,,IE995,diepeveen_verwantschapstermen_2003,
mDS,son-son,,,,IE995,diepeveen_verwantschapstermen_2003,
mDS,dotter-son,,,,IE995,diepeveen_verwantschapstermen_2003,
mDD,son-dotter,,,,IE995,diepeveen_verwantschapstermen_2003,
mDD,dotter-dotter,,,,IE995,diepeveen_verwantschapstermen_2003,
mFB,far-bror,,,,IE995,diepeveen_verwantschapstermen_2003,
mFZ,faster,,,,IE995,diepeveen_verwantschapstermen_2003,
mMZ,moster,,,,IE995,diepeveen_verwantschapstermen_2003,
mBS,bror-son,,,,IE995,diepeveen_verwantschapstermen_2003,
mBS,nevö,,,,IE995,diepeveen_verwantschapstermen_2003,
mBD,brors-dotter,,,,IE995,diepeveen_verwantschapstermen_2003,
mZS,syster-son,,,,IE995,diepeveen_verwantschapstermen_2003,
mZS,nevö,,,,IE995,diepeveen_verwantschapstermen_2003,
mZD,syster-dotter,,,,IE995,diepeveen_verwantschapstermen_2003,
meBS,bror-son,,,,IE995,diepeveen_verwantschapstermen_2003,
meBS,nevö,,,,IE995,diepeveen_verwantschapstermen_2003,
myBS,bror-son,,,,IE995,diepeveen_verwantschapstermen_2003,
myBS,nevö,,,,IE995,diepeveen_verwantschapstermen_2003,
meBD,brors-dotter,,,,IE995,diepeveen_verwantschapstermen_2003,
myBD,brors-dotter,,,,IE995,diepeveen_verwantschapstermen_2003,
meZS,syster-son,,,,IE995,diepeveen_verwantschapstermen_2003,
