parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,pʰral,,,,IE528,kenrick_romani_2015,
mG,pʰe,,,,IE528,kenrick_romani_2015,
mB,pral,,,,IE528,kenrick_romani_2015,
mB,pʰral,,,,IE528,kenrick_romani_2015,
mZ,pʰe,,,,IE528,kenrick_romani_2015,
mZ,pʰen,,,,IE528,kenrick_romani_2015,
mZ,pʰei,,,,IE528,kenrick_romani_2015,
mF,dad,,,,IE528,kenrick_romani_2015,
mM,dei,,,,IE528,kenrick_romani_2015,
mC,[glata],,,,IE528,kenrick_romani_2015,
mS,šʸav,,,,IE528,kenrick_romani_2015,
mS,šʸavo,,,,IE528,kenrick_romani_2015,
mS,raklo,,,,IE528,kenrick_romani_2015,
mD,šʸei,,,,IE528,kenrick_romani_2015,
mD,rakli,,,,IE528,kenrick_romani_2015,
mFF,dadesko dad,,,,IE528,kenrick_romani_2015,
mFF,dako dad,,,,IE528,kenrick_romani_2015,
mFF,[papo],,,,IE528,kenrick_romani_2015,
mFF,[papu],,,,IE528,kenrick_romani_2015,
mFM,dadeski dei,,,,IE528,kenrick_romani_2015,
mFM,daki dei,,,,IE528,kenrick_romani_2015,
mMF,dadesko dad,,,,IE528,kenrick_romani_2015,
mMF,dako dad,,,,IE528,kenrick_romani_2015,
mMF,[papo],,,,IE528,kenrick_romani_2015,
mMF,[papu],,,,IE528,kenrick_romani_2015,
mMM,dadeski dei,,,,IE528,kenrick_romani_2015,
mMM,daki dei,,,,IE528,kenrick_romani_2015,
mSS,šʸavesko šav,,,,IE528,kenrick_romani_2015,
mSS,šʸeyaki šav,,,,IE528,kenrick_romani_2015,
mSS,[nepoto],,,,IE528,kenrick_romani_2015,
mSD,šʸaveski šʸei,,,,IE528,kenrick_romani_2015,
mSD,šʸeyaki šʸei,,,,IE528,kenrick_romani_2015,
mSD,[nepoata],,,,IE528,kenrick_romani_2015,
mDS,šʸavesko šav,,,,IE528,kenrick_romani_2015,
