parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,kuyr-yeɣpayr,,,,IE340,sakayan_armenian_2015-1,
mB,yeɣpayr,,,,IE340,sakayan_armenian_2015-1,
mZ,kuyr,,,,IE340,sakayan_armenian_2015-1,
myB,g[ə]rdser yeɣpayr,,,,IE340,sakayan_armenian_2015-1,
myB,pokr yeɣpayr,,,,IE340,sakayan_armenian_2015-1,
myZ,g[ə]rdser kuyr,,,,IE340,sakayan_armenian_2015-1,
myZ,b[ə]zdig kuyr,,,,IE340,sakayan_armenian_2015-1,
mF,hayr,,,,IE340,sakayan_armenian_2015-1,
mM,mayr,,,,IE340,sakayan_armenian_2015-1,
mC,zavag,,,,IE340,sakayan_armenian_2015-1,
mS,vorti,,,,IE340,sakayan_armenian_2015-1,
mS,d[ə]ɣa,,,,IE340,sakayan_armenian_2015-1,
mD,tusd[ə]r,,,,IE340,sakayan_armenian_2015-1,
mD,aɣčig,,,,IE340,sakayan_armenian_2015-1,
mFF,med͜z hayr,,,,IE340,sakayan_armenian_2015-1,
mFM,med͜z mayr,,,,IE340,sakayan_armenian_2015-1,
mMF,med͜z hayr,,,,IE340,sakayan_armenian_2015-1,
mMM,med͜z mayr,,,,IE340,sakayan_armenian_2015-1,
mSS,tor(nig),,,,IE340,sakayan_armenian_2015-1,
mSD,tornuhi,,,,IE340,sakayan_armenian_2015-1,
mDS,tor(nig),,,,IE340,sakayan_armenian_2015-1,
mDD,tornuhi,,,,IE340,sakayan_armenian_2015-1,
mFB,horyeɣpayr,,,,IE340,sakayan_armenian_2015-1,
mFZ,horakuyr,,,,IE340,sakayan_armenian_2015-1,
mMB,keri,,,,IE340,sakayan_armenian_2015-1,
mMB,moryeɣpayr,,,,IE340,sakayan_armenian_2015-1,
mMZ,morakuyr,,,,IE340,sakayan_armenian_2015-1,
mBS,yeɣpororti,,,,IE340,sakayan_armenian_2015-1,
mBS,kročorti,,,,IE340,sakayan_armenian_2015-1,
mBD,yeɣpor aɣčig,,,,IE340,sakayan_armenian_2015-1,
mBD,kroč aɣčig,,,,IE340,sakayan_armenian_2015-1,
mZS,yeɣpororti,,,,IE340,sakayan_armenian_2015-1,
mZS,kročorti,,,,IE340,sakayan_armenian_2015-1,
mZD,yeɣpor aɣčig,,,,IE340,sakayan_armenian_2015-1,
mZD,kroč aɣčig,,,,IE340,sakayan_armenian_2015-1,
mFZD,zarmig,,,,IE340,sakayan_armenian_2015-1,
mFZD,zarmuhi,,,,IE340,sakayan_armenian_2015-1,
mFBD,zarmig,,,,IE340,sakayan_armenian_2015-1,
mFBD,zarmuhi,,,,IE340,sakayan_armenian_2015-1,
mMBD,zarmig,,,,IE340,sakayan_armenian_2015-1,
mMBD,zarmuhi,,,,IE340,sakayan_armenian_2015-1,
