"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mG","ušdu",,,,"ND9","khalilov_archi_2015","ушду"
"mG","došdur",,,,"ND9","khalilov_archi_2015","дошдур"
"mB","ušdu",,,,"ND9","khalilov_archi_2015","ушду"
"mZ","došdur",,,,"ND9","khalilov_archi_2015","дошдур"
"myB","t’it̄u ušdu",,,,"ND9","khalilov_archi_2015","тІитту ушду"
"myZ","t’it̄ur došdur",,,,"ND9","khalilov_archi_2015","тІиттур дошдур"
"mF","abt̄u",,,,"ND9","khalilov_archi_2015","абтту"
"mF","diya",,,,"ND9","khalilov_archi_2015","дийа"
"mM","yeyt̄ur",,,,"ND9","khalilov_archi_2015","йейттур"
"mM","buwa",,,,"ND9","khalilov_archi_2015","бува"
"mC","lobur",,,,"ND9","khalilov_archi_2015","лобур"
"mS","lo",,,,"ND9","khalilov_archi_2015","ло"
"mD","lo",,,,"ND9","khalilov_archi_2015","ло"
"mFF","dozya",,,,"ND9","khalilov_archi_2015","дозйа"
"mFM","dozba",,,,"ND9","khalilov_archi_2015","дозба"
"mMF","dozya",,,,"ND9","khalilov_archi_2015","дозйа"
"mMM","dozba",,,,"ND9","khalilov_archi_2015","дозба"
"mSS","lahan lo",,,,"ND9","khalilov_archi_2015","лагьан ло"
"mSD","lahan lo",,,,"ND9","khalilov_archi_2015","лагьан ло"
"mDS","lahan lo",,,,"ND9","khalilov_archi_2015","лагьан ло"
"mDD","lahan lo",,,,"ND9","khalilov_archi_2015","лагьан ло"
"mFB","dada",,,,"ND9","khalilov_archi_2015","дада"
"mFB","ummun ušdu",,,,"ND9","khalilov_archi_2015","уммун ушду"
"mFZ","baba",,,,"ND9","khalilov_archi_2015","баба"
"mFZ","ummun došdur",,,,"ND9","khalilov_archi_2015","уммун дошдур"
"mMB","dada",,,,"ND9","khalilov_archi_2015","дада"
"mMB","buwan ušdu",,,,"ND9","khalilov_archi_2015","буван ушду"
"mMZ","baba",,,,"ND9","khalilov_archi_2015","баба"
"mMZ","buwan došdur",,,,"ND9","khalilov_archi_2015","буван дошдур"
"mBS","ušmun lo",,,,"ND9","khalilov_archi_2015","ушмун ло"
"mBS","došmin lo",,,,"ND9","khalilov_archi_2015","дошмин ло"
"mBD","ušmun lo",,,,"ND9","khalilov_archi_2015","ушмун ло"
"mBD","došmin lo",,,,"ND9","khalilov_archi_2015","дошмин ло"
"mZS","ušmun lo",,,,"ND9","khalilov_archi_2015","ушмун ло"
"mZS","došmin lo",,,,"ND9","khalilov_archi_2015","дошмин ло"
"mZD","ušmun lo",,,,"ND9","khalilov_archi_2015","ушмун ло"
"mZD","došmin lo",,,,"ND9","khalilov_archi_2015","дошмин ло"
"mFZD","šekert̄ur",,,,"ND9","khalilov_archi_2015","шекерттур"
"mFBD","šekert̄ur",,,,"ND9","khalilov_archi_2015","шекерттур"
"mMBD","šekert̄ur",,,,"ND9","khalilov_archi_2015","шекерттур"
"mMZD","šekert̄ur",,,,"ND9","khalilov_archi_2015","шекерттур"
"mFBS","šekert̄u",,,,"ND9","khalilov_archi_2015","шекерттуру"
"mFZS","šekert̄u",,,,"ND9","khalilov_archi_2015","шекерттуру"
"mMBS","šekert̄u",,,,"ND9","khalilov_archi_2015","шекерттуру"
"mMZS","šekert̄u",,,,"ND9","khalilov_archi_2015","шекерттуру"
"mH","bošor",,,,"ND9","khalilov_archi_2015","бошор"
"mW","ɬ̄onnol",,,,"ND9","khalilov_archi_2015","лълъоннол"
"mHF","waƛ̄ʼad",,,,"ND9","khalilov_archi_2015","вакьад"
"mHM","yaƛ̄ʼad",,,,"ND9","khalilov_archi_2015","йакьад"
"mWF","waƛ̄ʼad",,,,"ND9","khalilov_archi_2015","вакьад"
"mWM","yaƛ̄ʼad",,,,"ND9","khalilov_archi_2015","йакьад"
"mSW","nusdur",,,,"ND9","khalilov_archi_2015","нусдур"
"mSW","nusdur",,,,"ND9","khalilov_archi_2015","нусдур"
"mDH","nusdu",,,,"ND9","khalilov_archi_2015","нусду"
"mDH","nusdu",,,,"ND9","khalilov_archi_2015","нусду"
"meB","ušdu",,,,"ND9","khalilov_archi_2015","Inferred; ушду"
"meZ","došdur",,,,"ND9","khalilov_archi_2015","Inferred; дошдур"
"mFeB","dada",,,,"ND9","khalilov_archi_2015","Inferred; дада"
"mFeB","ummun ušdu",,,,"ND9","khalilov_archi_2015","Inferred; уммун ушду"
"mFyB","dada",,,,"ND9","khalilov_archi_2015","Inferred; дада"
"mFyB","ummun ušdu",,,,"ND9","khalilov_archi_2015","Inferred; уммун ушду"
"mFeZ","baba",,,,"ND9","khalilov_archi_2015","Inferred; баба"
"mFeZ","ummun došdur",,,,"ND9","khalilov_archi_2015","Inferred; уммун дошдур"
"mFyZ","baba",,,,"ND9","khalilov_archi_2015","Inferred; баба"
"mFyZ","ummun došdur",,,,"ND9","khalilov_archi_2015","Inferred; уммун дошдур"
"mMeZ","baba",,,,"ND9","khalilov_archi_2015","Inferred; баба"
"mMeZ","buwan došdur",,,,"ND9","khalilov_archi_2015","Inferred; буван дошдур"
"mMyZ","baba",,,,"ND9","khalilov_archi_2015","Inferred; баба"
"mMyZ","buwan došdur",,,,"ND9","khalilov_archi_2015","Inferred; буван дошдур"
"mMeB","dada",,,,"ND9","khalilov_archi_2015","Inferred; дада"
"mMeB","buwan ušdu",,,,"ND9","khalilov_archi_2015","Inferred; буван ушду"
"mMyB","dada",,,,"ND9","khalilov_archi_2015","Inferred; дада"
"mMyB","buwan ušdu",,,,"ND9","khalilov_archi_2015","Inferred; буван ушду"
"meBS","ušmun lo",,,,"ND9","khalilov_archi_2015","Inferred; ушмун ло"
"meBS","došmin lo",,,,"ND9","khalilov_archi_2015","Inferred; дошмин ло"
"myBS","ušmun lo",,,,"ND9","khalilov_archi_2015","Inferred; ушмун ло"
"myBS","došmin lo",,,,"ND9","khalilov_archi_2015","Inferred; дошмин ло"
"meBD","ušmun lo",,,,"ND9","khalilov_archi_2015","Inferred; ушмун ло"
"meBD","došmin lo",,,,"ND9","khalilov_archi_2015","Inferred; дошмин ло"
"myBD","ušmun lo",,,,"ND9","khalilov_archi_2015","Inferred; ушмун ло"
"myBD","došmin lo",,,,"ND9","khalilov_archi_2015","Inferred; дошмин ло"
"meZS","ušmun lo",,,,"ND9","khalilov_archi_2015","Inferred; ушмун ло"
"meZS","došmin lo",,,,"ND9","khalilov_archi_2015","Inferred; дошмин ло"
"myZS","ušmun lo",,,,"ND9","khalilov_archi_2015","Inferred; ушмун ло"
"myZS","došmin lo",,,,"ND9","khalilov_archi_2015","Inferred; дошмин ло"
"meZD","ušmun lo",,,,"ND9","khalilov_archi_2015","Inferred; ушмун ло"
"meZD","došmin lo",,,,"ND9","khalilov_archi_2015","Inferred; дошмин ло"
"myZD","ušmun lo",,,,"ND9","khalilov_archi_2015","Inferred; ушмун ло"
"myZD","došmin lo",,,,"ND9","khalilov_archi_2015","Inferred; дошмин ло"
"mFeBS","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mFyBS","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mFeZS","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mFyZS","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mFeBD","šekert̄ur",,,,"ND9","khalilov_archi_2015","Inferred; шекерттур"
"mFyBD","šekert̄ur",,,,"ND9","khalilov_archi_2015","Inferred; шекерттур"
"mFeZD","šekert̄ur",,,,"ND9","khalilov_archi_2015","Inferred; шекерттур"
"mFyZD","šekert̄ur",,,,"ND9","khalilov_archi_2015","Inferred; шекерттур"
"mMeBS","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mMyBS","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mMeZS","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mMyZS","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mMeBD","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mMeBD","šekert̄ur",,,,"ND9","khalilov_archi_2015","Inferred; шекерттур"
"mMyBD","šekert̄ur",,,,"ND9","khalilov_archi_2015","Inferred; шекерттур"
"mMeZD","šekert̄ur",,,,"ND9","khalilov_archi_2015","Inferred; шекерттур"
"mMyZD","šekert̄ur",,,,"ND9","khalilov_archi_2015","Inferred; шекерттур"
"mFBeS","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mFByS","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mFZeS","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mFZyS","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mFBeD","šekert̄ur",,,,"ND9","khalilov_archi_2015","Inferred; шекерттур"
"mFByD","šekert̄ur",,,,"ND9","khalilov_archi_2015","Inferred; шекерттур"
"mFZeD","šekert̄ur",,,,"ND9","khalilov_archi_2015","Inferred; шекерттур"
"mFZyD","šekert̄ur",,,,"ND9","khalilov_archi_2015","Inferred; шекерттур"
"mMBeS","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mMByS","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mMZeS","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mMZyS","šekert̄u",,,,"ND9","khalilov_archi_2015","Inferred; шекерттуру"
"mMBeD","šekert̄ur",,,,"ND9","khalilov_archi_2015","Inferred; шекерттур"
