"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mG","",,"male speaker's sibling",,,"",""
"mB","uvia",,"male speaker's brother",,57,"Olson_1974",""
"mZ","maki",,"male speaker's sister",,58,"Olson_1974",""
"meB","boge",,"male speaker's elder brother",,56,"Olson_1974",""
"myB","iviene",,"male speaker's younger brother",,56,"Olson_1974",""
"meZ","",,"male speaker's elder sister",,,"",""
"myZ","",,"male speaker's younger sister",,,"",""
"mP","",,"male speaker's parent",,,"",""
"mF","asoe",,"male speaker's father",,56,"Olson_1974","Address term: ate (p. 56)"
"mM","asie",,"male speaker's mother",,56,"Olson_1974","Address term: uati (p. 56)"
"mC","",,"male speaker's child",,,"",""
"mS","fari",,"male speaker's son",,56,"Olson_1974",""
"mD","kabae",,"male speaker's daughter",,57,"Olson_1974",""
"mA","",,"male speaker's ancestor",,,"",""
"mPP","",,"male speaker's grandparent",,,"",""
"mFF","asai",,"male speaker's father's father",,59,"Olson_1974","Address term: tato (p. 59)"
"mFM","asai",,"male speaker's father's mother",,59,"Olson_1974","Address term: tato (p. 59)"
"mMF","asai",,"male speaker's mother's father",,59,"Olson_1974","Address term: tato (p. 59)"
"mMM","asai",,"male speaker's mother's mother",,59,"Olson_1974","Address term: tato (p. 59)"
"mCC","",,"male speaker's grandchild",,,"",""
"mSS","asai",,"male speaker's son's son",,60,"Olson_1974","Address term: tato (p. 59)"
"mSD","asai",,"male speaker's son's daughter",,60,"Olson_1974","Address term: tato (p. 59)"
"mDS","asai",,"male speaker's daughter's son",,60,"Olson_1974","Address term: tato (p. 59)"
"mDD","asai",,"male speaker's daughter's daughter",,60,"Olson_1974","Address term: tato (p. 59)"
"mFB","asoe",,"male speaker's father's brother",,56,"Olson_1974","Address term: ate (p. 56)"
"mFZ","amu",,"male speaker's father's sister",,58,"Olson_1974",""
"mMB","kaju",,"male speaker's mother's brother",,58,"Olson_1974",""
"mMZ","asie",,"male speaker's mother's sister",,56,"Olson_1974","Address term: uati (p. 56)"
"mFeB","",,"male speaker's father's older brother",,,"",""
"mFyB","",,"male speaker's father's younger brother",,,"",""
"mFeZ","",,"male speaker's father's older sister",,,"",""
"mFyZ","",,"male speaker's father's younger sister",,,"",""
"mMeZ","",,"male speaker's mother's older sister",,,"",""
"mMyZ","",,"male speaker's mother's younger sister",,,"",""
"mMeB","",,"male speaker's mother's older brother",,,"",""
"mMyB","",,"male speaker's mother's younger brother",,,"",""
"mBS","fari",,"male speaker's brother's son",,56,"Olson_1974",""
"mBD","kabae",,"male speaker's brother's daughter",,57,"Olson_1974",""
"mZS","kaju",,"male speaker's sister's son",,58,"Olson_1974",""
"mZD","kaju",,"male speaker's sister's daughter",,58,"Olson_1974",""
"meBS","",,"male speaker's older brother's son",,,"",""
"myBS","",,"male speaker's younger brother's son",,,"",""
"meBD","",,"male speaker's older brother's daughter",,,"",""
"myBD","",,"male speaker's younger brother's daughter",,,"",""
"meZS","",,"male speaker's older sister's son",,,"",""
"myZS","",,"male speaker's younger sister's son",,,"",""
"meZD","",,"male speaker's older sister's daughter",,,"",""
"myZD","",,"male speaker's younger sister's daughter",,,"",""
"mFZD","vie",,"male speaker's father's sister's daughter",,59,"Olson_1974",""
"mFBD","maki",,"male speaker's father's brother's daughter",,58,"Olson_1974",""
"mMBD","vie",,"male speaker's mother's brother's daughter",,59,"Olson_1974",""
"mMZD","maki",,"male speaker's mother's sister's daughter",,58,"Olson_1974",""
"mFBS","uvia",,"male speaker's father's brother's son",,57,"Olson_1974",""
"mFZS","vie",,"male speaker's father's sister's son",,59,"Olson_1974",""
"mMBS","vie",,"male speaker's mother's brother's son",,59,"Olson_1974",""
"mMZS","uvia",,"male speaker's mother's sister's son",,58,"Olson_1974",""
"mFeBS","",,"male speaker's father's older brother's son",,,"",""
"mFyBS","",,"male speaker's father's younger brother's son",,,"",""
"mFeZS","",,"male speaker's father's older sister's son",,,"",""
"mFyZS","",,"male speaker's father's younger sister's son",,,"",""
"mFeBD","",,"male speaker's father's older brother's daughter",,,"",""
"mFyBD","",,"male speaker's father's younger brother's daughter",,,"",""
"mFeZD","",,"male speaker's father's older sister's daughter",,,"",""
"mFyZD","",,"male speaker's father's younger sister's daughter",,,"",""
"mMeBS","",,"male speaker's mother's older brother's son",,,"",""
"mMyBS","",,"male speaker's mother's younger brother's son",,,"",""
"mMeZS","",,"male speaker's mother's older sister's son",,,"",""
"mMyZS","",,"male speaker's mother's younger sister's son",,,"",""
"mMeBD","",,"male speaker's mother's older brother's daughter",,,"",""
"mMyBD","",,"male speaker's mother's younger brother's daughter",,,"",""
"mMeZD","",,"male speaker's mother's older sister's daughter",,,"",""
"mMyZD","",,"male speaker's mother's younger sister's daughter",,,"",""
"mFBeS","",,"male speaker's father's brother's older son",,,"",""
"mFByS","",,"male speaker's father's brother's younger son",,,"",""
"mFZeS","",,"male speaker's father's sister's older son",,,"",""
"mFZyS","",,"male speaker's father's sister's younger son",,,"",""
"mFBeD","",,"male speaker's father's brother's older daughter",,,"",""
"mFByD","",,"male speaker's father's brother's younger daughter",,,"",""
"mFZeD","",,"male speaker's father's sister's older daughter",,,"",""
"mFZyD","",,"male speaker's father's sister's younger daughter",,,"",""
"mMBeS","",,"male speaker's mother's brother's older son",,,"",""
"mMByS","",,"male speaker's mother's brother's younger son",,,"",""
"mMZeS","",,"male speaker's mother's sister's older son",,,"",""
