parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,ame,,male ego's older brother,,,,
myB,ame,,male ego's younger brother,,,,
feB,mbali,,female ego's older brother,,,,
fyB,mbali,,female ego's younger brother,,,,
meZ,mbali,,male ego's older sister,,,,
myZ,mbali,,male ego's younger sister,,,,
feZ,aaki,,female ego's older sister,,,,
fyZ,aaki,,female ego's younger sister,,,,
mF,aapa,,male ego's father,,,,
mM,ama,,male ego's mother,,,,
fF,aapa,,female ego's father,,,,
fM,ama,,female ego's mother,,,,
mS,si,,male ego's son,,,,
fS,si,,female ego's son,,,,
mD,wane,,male ego's daughter,,,,
fD,wane,,female ego's daughter,,,,
mSS,kakua,,male ego's son's son,,,,
mSD,ayaa,,male ego's son's daughter,,,,
mDS,kakua,,male ego's daughter's son,,,,
mDD,ayaa,,male ego's daughter's daughter,,,,
fSS,kakua,,female ego's son's son,,,,
fSD,ayaa,,female ego's son's daughter,,,,
fDS,kakua,,female ego's daughter's son,,,,
fDD,ayaa,,female ego's daugher's daughter,,,,
mFF,kakua,,male ego's father‘s father,,,,
mFM,ayaa,,male ego's father's mother,,,,
mMF,kakua,,male ego's mother's father,,,,
mMM,ayaa,,male ego's mother's mother,,,,
fFF,kakua,,female ego's father's father,,,,
fFM,ayaa,,female ego's father's mother,,,,
fMF,kakua,,female ego's mother's father,,,,
fMM,ayaa,,female ego's mother's mother,,,,
mFeB,mai,,male ego's father's older brother,,,,
mFyB,mai,,male ego's father's younger brother,,,,
mFeZ,arombo,,male ego's father's older sister,,,,
mFyZ,arombo,,male ego's father's younger sister,,,,
mMeB,"yaake, awa",,male ego's mother's older brother,,,,
mMyB,"yaake, awa",,male ego's mother's younger brother,,,,
mMeZ,papa,,male ego's mother's older sister,,,,
mMyZ,papa,,male ego's mother's younger sister,,,,
fFeB,mai,,female ego's father's older brother,,,,
fFyB,mai,,female ego's father's younger brother,,,,
fFeZ,arombo,,female ego's father's older sister,,,,
fFyZ,arombo,,female ego's father's younger sister,,,,
fMeB,"yaake, awa",,female ego's mother's older brother,,,,
fMyB,"yaake, awa",,female ego's mother's younger brother,,,,
fMeZ,papa,,female ego's mother's older sister,,,,
fMyZ,papa,,female ego's mother's younger sister,,,,
mW,were,,male ego's wife,,,,
fH,aali,,female ego‘s husband,,,,
mSW,kaate,,male ego's son's wife,,,,
mWB,paase,,male ego's wife's brother,,,,
mWZ,kaate,,male ego's wife's sister,,,,
fHB,paase,,female ego's husband's brother,,,,
fHZ,pamenda,,female ego's husband's sister,,,,
mBW,kaate,,male ego's brother's wife,,,,
fBW,pamenda,,female ego's brother's wife,,,,
mZH,paase,,male ego's sister's husband,,,,
fZH,paase,,female ego's sister's husband,,,,
mFZS,kaai,,male ego's father's sister's son,,,,
mMBS,kaai,,male ego's mother's brother's son,,,,
mFZD,kaai,,male ego's father's sister's daughter,,,,
mMBD,kaai,,male ego's mother's brother's daughter,,,,
fFZS,kaai,,female ego's father's sister's son,,,,
fMBS,kaai,,female ego's mother's brother's son,,,,
fFZD,kaai,,female ego's father's sister's daughter,,,,
fMBD,kaai,,female ego's mother's brother's daughter,,,,
