parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,isaŋ,,male speaker's older brother,,,Daniels2015,
myB,ñama,,male speaker's younger brother,,,Daniels2015,
feB,amuk,,female speaker's older brother,,,Daniels2015,
feB,isaŋ,,female speaker's older brother,,,Daniels2015,
fyB,amuk,,female speaker's younger brother,,,Daniels2015,
fyB,ñama,,female speaker's younger brother,,,Daniels2015,
meZ,mɨr,,male speaker's older sister,,,Daniels2015,
meZ,isaŋ,,male speaker's older sister,,,Daniels2015,
myZ,mɨr,,male speaker's younger sister,,,Daniels2015,
myZ,ñama,,male speaker's younger sister,,,Daniels2015,
feZ,isaŋ,,female speaker's older sister,,,Daniels2015,
fyZ,ñama,,female speaker's younger sister,,,Daniels2015,
mF,yafaŋ,,male speaker's father,,,Daniels2015,
mM,yamɨŋ,,male speaker's mother,,,Daniels2015,
fF,yafaŋ,,female speaker's father,,,Daniels2015,
fM,yamɨŋ,,female speaker's mother,,,Daniels2015,
mS,ña,,male speaker's son,,,Daniels2015,
fS,ña,,female speaker's son,,,Daniels2015,
mD,naudi,,male speaker's daughter,,,Daniels2015,
fD,naudi,,female speaker's daughter,,,Daniels2015,
mSS,añki,,male speaker's son's son,,,Daniels2015,
mSD,añki,,male speaker's son's daughter,,,Daniels2015,
mDS,asɨki,,male speaker's daughter's son,,,Daniels2015,
mDD,asɨki,,male speaker's daughter's daughter,,,Daniels2015,
fSS,apɨki,,female speaker's son's son,,,Daniels2015,
fSD,apɨki,,female speaker's son's daughter,,,Daniels2015,
fDS,afai,,female speaker's daughter's son,,,Daniels2015,
fDD,afai,,female speaker's daugher's daughter,,,Daniels2015,
mFF,añki,,male speaker's father‘s father,,,Daniels2015,
mFM,apɨki,,male speaker's father's mother,,,Daniels2015,
mMF,asɨki,,male speaker's mother's father,,,Daniels2015,
mMM,afai,,male speaker's mother's mother,,,Daniels2015,
fFF,añki,,female speaker's father's father,,,Daniels2015,
fFM,apɨki,,female speaker's father's mother,,,Daniels2015,
fMF,asɨki,,female speaker's mother's father,,,Daniels2015,
fMM,afai,,female speaker's mother's mother,,,Daniels2015,
meBS,ña,,male speaker's older brother's son,,,Daniels2015,
myBS,ña,,male speaker's younger brother's son,,,Daniels2015,
meZS,iwi,,male speaker's older sister's son,,,Daniels2015,
myZS,iwi,,male speaker's younger sister's son,,,Daniels2015,
meBD,naudi,,male speaker's older brother's daughter,,,Daniels2015,
myBD,naudi,,male speaker's younger brother's daughter,,,Daniels2015,
meZD,iwi,,male speaker's older sister's daughter,,,Daniels2015,
myZD,iwi,,male speaker's younger sister's daughter,,,Daniels2015,
feBS,iwi,,female speaker's older brother's son,,,Daniels2015,
fyBS,iwi,,female speaker's younger brother's son,,,Daniels2015,
feZS,ña,,female speaker's older sister's son,,,Daniels2015,
fyZS,ña,,female speaker's younger sister's son,,,Daniels2015,
feBD,iwi,,female speaker's older brother's daughter,,,Daniels2015,
fyBD,iwi,,female speaker's younger brother's daughter,,,Daniels2015,
feZD,naudi,,female speaker's older sister's daughter,,,Daniels2015,
fyZD,naudi,,female speaker's younger sister's daughter,,,Daniels2015,
mFeB,yafaŋ,,male speaker's father's older brother,,,Daniels2015,
mFeB,añki,,male speaker's father's older brother,,,Daniels2015,
mFyB,yafaŋ,,male speaker's father's younger brother,,,Daniels2015,
mFyB,aifi,,male speaker's father's younger brother,,,Daniels2015,
mMeB,afɨ,,male speaker's mother's older brother,,,Daniels2015,
mMyB,afɨ,,male speaker's mother's younger brother,,,Daniels2015,
mMeZ,yamɨŋ,,male speaker's mother's older sister,,,Daniels2015,
mMeZ,aifi,,male speaker's mother's older sister,,,Daniels2015,
mMyZ,yamɨŋ,,male speaker's mother's younger sister,,,Daniels2015,
fFeB,yafaŋ,,female speaker's father's older brother,,,Daniels2015,
fFeB,añki,,female speaker's father's older brother,,,Daniels2015,
fFyB,yafaŋ,,female speaker's father's younger brother,,,Daniels2015,
fFyB,aifi,,female speaker's father's younger brother,,,Daniels2015,
fMeB,afɨ,,female speaker's mother's older brother,,,Daniels2015,
fMyB,afɨ,,female speaker's mother's younger brother,,,Daniels2015,
fMeZ,yamɨŋ,,female speaker's mother's older sister,,,Daniels2015,
fMeZ,aifi,,female speaker's mother's older sister,,,Daniels2015,
fMyZ,yamɨŋ,,female speaker's mother's younger sister,,,Daniels2015,
mW,abi,,speaker's wife,,,Daniels2015,
fH,kuram,,speaker‘s husband,,,Daniels2015,
fDH,afai,,female speaker's daughter's husband,,,Daniels2015,This reconstruction is fairly speculative
mDH,asɨki,,male speaker's daughter's husband,,,Daniels2015,This reconstruction is fairly speculative
fSW,nabai,,female speaker's son's wife,,,Daniels2015,
mSW,nabai,,male speaker's son's wife,,,Daniels2015,
fHM,apɨki,,speaker's husband's mother,,,Daniels2015,
mWM,afai,,speaker's wife's mother,,,Daniels2015,
fHF,añki,,speaker's husband's father,,,Daniels2015,
mWF,asɨki,,speaker's wife's father,,,Daniels2015,
mFBS,isaŋ,,male speaker's father's brother's son,,,Daniels2015,"The choice depends on relative age, as with sibling terms, isaŋ being for older and ñama for younger. It's unclear whether it's the relative age of the cousins, or of the linking parents, that was relevant. Modern languages differ in this respect. Same applies to all other cells for which these are listed as alternatives."
mFBS, ñama,,male speaker's father's brother's son,,,Daniels2015,
mFZS,midaŋ,,male speaker's father's sister's son,,,Daniels2015,
mMBS,midaŋ,,male speaker's mother's brother's son,,,Daniels2015,
mMZS,isaŋ,,male speaker's mother's sister's son,,,Daniels2015,
mMZS, ñama,,male speaker's mother's sister's son,,,Daniels2015,
mFBD,mɨr,,male speaker's father's brother's daughter,,,Daniels2015,
mFBD,isaŋ,,male speaker's father's brother's daughter,,,Daniels2015,
mFBD, ñama,,male speaker's father's brother's daughter,,,Daniels2015,
mFZD,midaŋ,,male speaker's father's sister's daughter,,,Daniels2015,
mMBD,midaŋ,,male speaker's mother's brother's daughter,,,Daniels2015,
mMZD,mɨr,,male speaker's mother's sister's daughter,,,Daniels2015,
mMZD,isaŋ,,male speaker's mother's sister's daughter,,,Daniels2015,
mMZD, ñama,,male speaker's mother's sister's daughter,,,Daniels2015,
fFBS,amuk,,female speaker's father's brother's son,,,Daniels2015,
fFBS,isaŋ,,female speaker's father's brother's son,,,Daniels2015,
fFBS, ñama,,female speaker's father's brother's son,,,Daniels2015,
fFZS,midaŋ,,female speaker's father's sister's son,,,Daniels2015,
fMBS,midaŋ,,female speaker's mother's brother's son,,,Daniels2015,
fMZS,amuk,,female speaker's mother's sister's son,,,Daniels2015,
fMZS,isaŋ,,female speaker's mother's sister's son,,,Daniels2015,
fMZS, ñama,,female speaker's mother's sister's son,,,Daniels2015,
fFBD,"isaŋ, ñama",,female speaker's father's brother's daughter,,,Daniels2015,
fFBD, ñama,,female speaker's father's brother's daughter,,,Daniels2015,
