"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mG","",,"male speaker's sibling",,"","",""
"mB","",,"male speaker's brother",,"","",""
"mZ","",,"male speaker's sister",,"","",""
"meB","aî",,"male speaker's elder brother",,"18","Petterson_1999",""
"myB","turâ",,"male speaker's younger brother",,"131","Petterson_1999",""
"myB","tuwâ",,"male speaker's younger brother",,"131","Petterson_1999",""
"meZ","anà",,"male speaker's elder sister",,"19","Petterson_1999",""
"myZ","turâ",,"male speaker's younger sister",,"131","Petterson_1999",""
"myZ","tuwâ",,"male speaker's younger sister",,"131","Petterson_1999",""
"mP","",,"male speaker's parent",,"","",""
"mF","apâ",,"male speaker's father",,"19","Petterson_1999",""
"mF","makâ",,"male speaker's father",,"79","Petterson_1999","Also 'guardian' (p. 79)"
"mM","woî",,"male speaker's mother",,"140","Petterson_1999","ánā 'mummy' used by children (p. 19)"
"mC","",,"male speaker's child",,"","",""
"mS","hurí",,"male speaker's son",,"46","Petterson_1999","also 'boy' in general (p. 46)"
"mD","paī",,"male speaker's daughter",,"95","Petterson_1999","also 'girl' in general (p. 95)"
"mA","",,"male speaker's ancestor",,"","",""
"mPP","",,"male speaker's grandparent",,"","",""
"mFF","papö̂",,"male speaker's father's father",,"97","Petterson_1999",""
"mFM","pò",,"male speaker's father's mother",,"102","Petterson_1999",""
"mMF","papö̂",,"male speaker's mother's father",,"97","Petterson_1999",""
"mMM","pò",,"male speaker's mother's mother",,"102","Petterson_1999",""
"mCC","",,"male speaker's grandchild",,"","",""
"mSS","hurí",,"male speaker's son's son",,"16","Petterson_Petterson_1992","also 'boy'  in general"
"mSD","paī",,"male speaker's son's daughter",,"16","Petterson_Petterson_1992","also 'girl'  in general"
"mDS","hurí",,"male speaker's daughter's son",,"16","Petterson_Petterson_1992","also 'boy'  in general"
"mDD","paī",,"male speaker's daughter's daughter",,"16","Petterson_Petterson_1992","also 'girl'  in general"
"mFB","",,"male speaker's father's brother",,"","",""
"mFZ","miamakâ",,"male speaker's father's sister",,"154","Petterson_1999",""
"mMB","woimaka",,"male speaker's mother's brother",,"213","Petterson_1999",""
"mMZ","",,"male speaker's mother's sister",,"","",""
"mFeB","makaahë",,"male speaker's father's older brother",,"213","Petterson_1999",""
"mFeB","makawopi",,"male speaker's father's older brother",,"213","Petterson_1999",""
"mFeB","apawopi",,"male speaker's father's older brother",,"213","Petterson_1999",""
"mFyB","makatura",,"male speaker's father's younger brother",,"213","Petterson_1999",""
