parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,,,male speaker's sibling,,,,
mB,yachi,,male speaker's brother,,,Godelier_Trautmann_TjonSieFat_1998,
mZ,unai,,male speaker's sister,,,Godelier_Trautmann_TjonSieFat_1998,
meB,,,male speaker's elder brother,,,,
myB,,,male speaker's younger brother,,,,
meZ,,,male speaker's elder sister,,,,
myZ,,,male speaker's younger sister,,,,
mP,,,male speaker's parent,,,,
mF,apa,,male speaker's father,,,Godelier_Trautmann_TjonSieFat_1998,
mM,nuku,,male speaker's mother,,,Godelier_Trautmann_TjonSieFat_1998,
mC,,,male speaker's child,,,,
mS,uchi,,male speaker's son,,,Godelier_Trautmann_TjonSieFat_1998,
mD,nawant,,male speaker's daughter,,,Godelier_Trautmann_TjonSieFat_1998,
mA,,,male speaker's ancestor,,,,
mPP,,,male speaker's grandparent,,,,
mFF,apachi,,male speaker's father's father,,,Godelier_Trautmann_TjonSieFat_1998,
mFM,nukuchi,,male speaker's father's mother,,,Godelier_Trautmann_TjonSieFat_1998,
mMF,apachi,,male speaker's mother's father,,,Godelier_Trautmann_TjonSieFat_1998,
mMM,nukuchi,,male speaker's mother's mother,,,Godelier_Trautmann_TjonSieFat_1998,
mCC,,,male speaker's grandchild,,,,
mSS,tiranki,,male speaker's son's son,,,Godelier_Trautmann_TjonSieFat_1998,
mSD,tiranki,,male speaker's son's daughter,,,Godelier_Trautmann_TjonSieFat_1998,
mDS,tiranki,,male speaker's daughter's son,,,Godelier_Trautmann_TjonSieFat_1998,
mDD,tiranki,,male speaker's daughter's daughter,,,Godelier_Trautmann_TjonSieFat_1998,
mFB,apa,,male speaker's father's brother,,,Godelier_Trautmann_TjonSieFat_1998,
mFZ,tsatsar,,male speaker's father's sister,,,Godelier_Trautmann_TjonSieFat_1998,
mMB,iich,,male speaker's mother's brother,,,Godelier_Trautmann_TjonSieFat_1998,
mMZ,nuku,,male speaker's mother's sister,,,Godelier_Trautmann_TjonSieFat_1998,
mFeB,,,male speaker's father's older brother,,,,
mFyB,,,male speaker's father's younger brother,,,,
mFeZ,,,male speaker's father's older sister,,,,
mFyZ,,,male speaker's father's younger sister,,,,
mMeZ,,,male speaker's mother's older sister,,,,
mMyZ,,,male speaker's mother's younger sister,,,,
mMeB,,,male speaker's mother's older brother,,,,
mMyB,,,male speaker's mother's younger brother,,,,
mBS,uchi,,male speaker's brother's son,,,Godelier_Trautmann_TjonSieFat_1998,
mBS,awe,,male speaker's brother's son,,,Godelier_Trautmann_TjonSieFat_1998,"source has BS relationship listed under two different terms. Knowing that Achuar is a dravidian kinship system, the correct term is going to be dependant upon ego's gender. However, as the source does not explicitly state this, we cannot make assumptions. Please see the original source for more information. "
mBD,nawant,,male speaker's brother's daughter,,,Godelier_Trautmann_TjonSieFat_1998,
mBD,awe,,male speaker's brother's daughter,,,Godelier_Trautmann_TjonSieFat_1998,"source has BD relationship listed under two different terms. Knowing that Achuar is a dravidian kinship system, the correct term is going to be dependant upon ego's gender. However, as the source does not explicitly state this, we cannot make assumptions. Please see the original source for more information. "
mZS,uchi,,male speaker's sister's son,,,Godelier_Trautmann_TjonSieFat_1998,
mZS,awe,,male speaker's sister's son,,,Godelier_Trautmann_TjonSieFat_1998,"source has ZS relationship listed under two different terms. Knowing that Achuar is a dravidian kinship system, the correct term is going to be dependant upon ego's gender. However, as the source does not explicitly state this, we cannot make assumptions. Please see the original source for more information. "
mZD,uchi,,male speaker's sister's daughter,,,Godelier_Trautmann_TjonSieFat_1998,
mZD,awe,,male speaker's sister's daughter,,,Godelier_Trautmann_TjonSieFat_1998,"source has ZD relationship listed under two different terms. Knowing that Achuar is a dravidian kinship system, the correct term is going to be dependant upon ego's gender. However, as the source does not explicitly state this, we cannot make assumptions. Please see the original source for more information. "
meBS,,,male speaker's older brother's son,,,,
myBS,,,male speaker's younger brother's son,,,,
meBD,,,male speaker's older brother's daughter,,,,
myBD,,,male speaker's younger brother's daughter,,,,
meZS,,,male speaker's older sister's son,,,,
myZS,,,male speaker's younger sister's son,,,,
meZD,,,male speaker's older sister's daughter,,,,
