parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,apɬamakha,,,,LM1,sammons_sanapana_2015,
mG,akɬamakha,,,,LM1,sammons_sanapana_2015,
myB,apyaɬiŋ,,,,LM1,sammons_sanapana_2015,
myB,anyaɬiŋ,,,,LM1,sammons_sanapana_2015,
myZ,apyaɬiŋ,,,,LM1,sammons_sanapana_2015,
myZ,anyaɬiŋ,,,,LM1,sammons_sanapana_2015,
mF,apyapoŋ,,,,LM1,sammons_sanapana_2015,
mF,anyapoŋ,,,,LM1,sammons_sanapana_2015,
mM,ankin,,,,LM1,sammons_sanapana_2015,
mC,ansitkook,,,,LM1,sammons_sanapana_2015,
mS,apkitka apkinao,,,,LM1,sammons_sanapana_2015,
mD,apkitka ankilwana,,,,LM1,sammons_sanapana_2015,
mFF,ap-yata,,,,LM1,sammons_sanapana_2015,
mFM,an-yama,,,,LM1,sammons_sanapana_2015,
mMF,ap-yata,,,,LM1,sammons_sanapana_2015,
mMM,an-yama,,,,LM1,sammons_sanapana_2015,
mSS,aptawin,,,,LM1,sammons_sanapana_2015,
mSD,atawin,,,,LM1,sammons_sanapana_2015,
mDS,aptawin,,,,LM1,sammons_sanapana_2015,
mDD,atawin,,,,LM1,sammons_sanapana_2015,
mFB,apyaha,,,,LM1,sammons_sanapana_2015,
mFZ,ankatim,,,,LM1,sammons_sanapana_2015,
mMB,apyapka,,,,LM1,sammons_sanapana_2015,
mMZ,ankin,,,,LM1,sammons_sanapana_2015,
mBS,apyaha,,,,LM1,sammons_sanapana_2015,
mBD,anyaha,,,,LM1,sammons_sanapana_2015,
mZS,apyaha,,,,LM1,sammons_sanapana_2015,
mZD,anyaha,,,,LM1,sammons_sanapana_2015,
mH,a-tawa,,,,LM1,sammons_sanapana_2015,
mW,ap-tawa,,,,LM1,sammons_sanapana_2015,
mHF,-ipyata,,,,LM1,sammons_sanapana_2015,
mHM,-yipyaom,,,,LM1,sammons_sanapana_2015,
mWF,-ipyata,,,,LM1,sammons_sanapana_2015,
mWM,-yipyaom,,,,LM1,sammons_sanapana_2015,
mSW,aptawin ankin,,,,LM1,sammons_sanapana_2015,
mSW,atawin ankin,,,,LM1,sammons_sanapana_2015,
mDH,aphiphayim,,,,LM1,sammons_sanapana_2015,
mDH,-yiphayim,,,,LM1,sammons_sanapana_2015,
fG,apɬamakha,,,,LM1,sammons_sanapana_2015,
fG,akɬamakha,,,,LM1,sammons_sanapana_2015,
fyB,apyaɬiŋ,,,,LM1,sammons_sanapana_2015,
fyB,anyaɬiŋ,,,,LM1,sammons_sanapana_2015,
fyZ,apyaɬiŋ,,,,LM1,sammons_sanapana_2015,
fyZ,anyaɬiŋ,,,,LM1,sammons_sanapana_2015,
fF,apyapoŋ,,,,LM1,sammons_sanapana_2015,
fF,anyapoŋ,,,,LM1,sammons_sanapana_2015,
fM,ankin,,,,LM1,sammons_sanapana_2015,
fC,ansitkook,,,,LM1,sammons_sanapana_2015,
fS,apkitka apkinao,,,,LM1,sammons_sanapana_2015,
fD,apkitka ankilwana,,,,LM1,sammons_sanapana_2015,
fFF,ap-yata,,,,LM1,sammons_sanapana_2015,
fFM,an-yama,,,,LM1,sammons_sanapana_2015,
fMF,ap-yata,,,,LM1,sammons_sanapana_2015,
fMM,an-yama,,,,LM1,sammons_sanapana_2015,
fSS,aptawin,,,,LM1,sammons_sanapana_2015,
fSD,atawin,,,,LM1,sammons_sanapana_2015,
fDS,aptawin,,,,LM1,sammons_sanapana_2015,
fDD,atawin,,,,LM1,sammons_sanapana_2015,
fFB,apyaha,,,,LM1,sammons_sanapana_2015,
fFZ,ankatim,,,,LM1,sammons_sanapana_2015,
fMB,apyapka,,,,LM1,sammons_sanapana_2015,
fMZ,ankin,,,,LM1,sammons_sanapana_2015,
fBS,apyaha,,,,LM1,sammons_sanapana_2015,
fBD,anyaha,,,,LM1,sammons_sanapana_2015,
fZS,apyaha,,,,LM1,sammons_sanapana_2015,
fZD,anyaha,,,,LM1,sammons_sanapana_2015,
fH,a-tawa,,,,LM1,sammons_sanapana_2015,
fW,ap-tawa,,,,LM1,sammons_sanapana_2015,
fHF,-ipyata,,,,LM1,sammons_sanapana_2015,
fHM,-yipyaom,,,,LM1,sammons_sanapana_2015,
fWF,-ipyata,,,,LM1,sammons_sanapana_2015,
fWM,-yipyaom,,,,LM1,sammons_sanapana_2015,
fSW,aptawin ankin,,,,LM1,sammons_sanapana_2015,
fSW,atawin ankin,,,,LM1,sammons_sanapana_2015,
fDH,aphiphayim,,,,LM1,sammons_sanapana_2015,
fDH,-yiphayim,,,,LM1,sammons_sanapana_2015,
