"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","hei iue",,"male ego's older brother",,,"shaw1974kinship",
"myB","nikiik",,"male ego's younger brother",,,"shaw1974kinship",
"feB","yantan",,"female ego's older brother",,,"shaw1974kinship",
"fyB","yantan",,"female ego's younger brother",,,"shaw1974kinship",
"meZ","yantan",,"male ego's older sister",,,"shaw1974kinship",
"myZ","yantan",,"male ego's younger sister",,,"shaw1974kinship",
"feZ","hei iue",,"female ego's older sister",,,"shaw1974kinship",
"fyZ","nikiik",,"female ego's younger sister",,,"shaw1974kinship",
"mF","haai",,"male ego's father",,,"shaw1974kinship",
"mM","miiye",,"male ego's mother",,,"shaw1974kinship",
"fF","haai",,"female ego's father",,,"shaw1974kinship",
"fM","miiye",,"female ego's mother",,,"shaw1974kinship",
"mS","nikan",,"male ego's son",,,"shaw1974kinship",
"fS","nikan",,"female ego's son",,,"shaw1974kinship",
"mD","nikii",,"male ego's daughter",,,"shaw1974kinship",
"fD","nikii",,"female ego's daughter",,,"shaw1974kinship",
"mSS","nepenyek",,"male ego's son's son",,,"shaw1974kinship",
"mSD","nepenye",,"male ego's son's daughter",,,"shaw1974kinship",
"mDS","nepenyek",,"male ego's daughter's son",,,"shaw1974kinship",
"mDD","nepenye",,"male ego's daughter's daughter",,,"shaw1974kinship",
"fSS","nepenyek",,"female ego's son's son ",,,"shaw1974kinship",
"fSD","nepenye",,"female ego's son's daughter ",,,"shaw1974kinship",
"fDS","nepenyek",,"female ego's daughter's son ",,,"shaw1974kinship",
"fDD","nepenye",,"female ego's daugher's daughter ",,,"shaw1974kinship",
"mFF","maam kai",,"male ego's father‘s father",,,"shaw1974kinship",
"mFM","maam pai",,"male ego's father's mother",,,"shaw1974kinship",
"mMF","maam kai",,"male ego's mother's father",,,"shaw1974kinship",
"mMM","maam pai",,"male ego's mother's mother",,,"shaw1974kinship",
"fFF","maam kai",,"female ego's father's father ",,,"shaw1974kinship",
"fFM","maam pai",,"female ego's father's mother ",,,"shaw1974kinship",
"fMF","maam kai",,"female ego's mother's father ",,,"shaw1974kinship",
"fMM","maam pai",,"female ego's mother's mother ",,,"shaw1974kinship",
"meBS","nikan",,"male ego's older brother's son ",,,"shaw1974kinship",
"myBS","nikan",,"male ego's younger brother's son ",,,"shaw1974kinship",
"meZS","nikii suware",,"male ego's older sister's son ",,,"shaw1974kinship",
"myZS","nikii suware",,"male ego's younger sister's son ",,,"shaw1974kinship",
"meBD","nikii",,"male ego's older brother's daughter ",,,"shaw1974kinship",
"myBD","nikii",,"male ego's younger brother's daughter ",,,"shaw1974kinship",
"meZD","nikii suware",,"male ego's older sister's daughter ",,,"shaw1974kinship",
"myZD","nikii suware",,"male ego's younger sister's daughter ",,,"shaw1974kinship",
"feBS","nikan",,"female ego's older brother's son ",,,"shaw1974kinship",
"fyBS","nikan",,"female ego's younger brother's son ",,,"shaw1974kinship",
"feZS","nikii suware",,"female ego's older sister's son ",,,"shaw1974kinship",
"fyZS","nikii suware",,"female ego's younger sister's son ",,,"shaw1974kinship",
"feBD","nikii",,"female ego's older brother's daughter ",,,"shaw1974kinship",
"fyBD","nikii",,"female ego's younger brother's daughter ",,,"shaw1974kinship",
"feZD","nikii suware",,"female ego's older sister's daughter ",,,"shaw1974kinship",
"fyZD","nikii suware",,"female ego's younger sister's daughter ",,,"shaw1974kinship",
"mFeB","haai iue",,"male ego's father's older brother ",,,"shaw1974kinship",
"mFyB","tata",,"male ego's father's younger brother ",,,"shaw1974kinship",
"mFeZ","taait",,"male ego's father's older sister ",,,"shaw1974kinship",
"mFyZ","taait",,"male ego's father's younger sister ",,,"shaw1974kinship",
"mMeB","paap",,"male ego's mother's older brother ",,,"shaw1974kinship",
"mMyB","paap",,"male ego's mother's younger brother ",,,"shaw1974kinship",
"mMeZ","miiye",,"male ego's mother's older sister ",,,"shaw1974kinship",
"mMyZ","miiye",,"male ego's mother's younger sister ",,,"shaw1974kinship",
"fFeB","haai iue",,"female ego's father's older brother ",,,"shaw1974kinship",
"fFyB","tata",,"female ego's father's younger brother ",,,"shaw1974kinship",
"fFeZ","taait",,"female ego's father's older sister ",,,"shaw1974kinship",
"fFyZ","taait",,"female ego's father's younger sister ",,,"shaw1974kinship",
"fMeB","paap",,"female ego's mother's older brother ",,,"shaw1974kinship",
"fMyB","paap",,"female ego's mother's younger brother ",,,"shaw1974kinship",
"fMeZ","miiye",,"female ego's mother's older sister ",,,"shaw1974kinship",
"fMyZ","miiye",,"female ego's mother's younger sister ",,,"shaw1974kinship",
"mW","",,"male ego's wife",,,"shaw1974kinship",
"fH","",,"female ego‘s husband",,,"shaw1974kinship",
"mDH","yeniik",,"male ego's daughter's husband",,,"shaw1974kinship",
"fDH","",,"female ego's daughter's husband",,,"shaw1974kinship",
"mSW","yanii",,"male ego's son's wife",,,"shaw1974kinship",
"fSW","",,"female ego's son's wife",,,"shaw1974kinship",
"mWF","maam",,"male ego's wife's father",,,"shaw1974kinship",
"mWM","",,"male ego's wife's mother",,,"shaw1974kinship",
"mWB","henmok",,"male ego's wife's brother",,,"shaw1974kinship",
"mWZ","",,"male ego's wife's sister",,,"shaw1974kinship",
"fHF","",,"female ego's husband's father",,,"shaw1974kinship",
"fHM","",,"female ego's husband's mother",,,"shaw1974kinship",
"fHB","",,"female ego's husband's brother",,,"shaw1974kinship",
"fHZ","",,"female ego's husband's sister",,,"shaw1974kinship",
"mBW","",,"male ego's brother's wife",,,"shaw1974kinship",
"fBW","",,"female ego's brother's wife",,,"shaw1974kinship",
"mZH","henmok",,"male ego's sister's husband",,,"shaw1974kinship",
"fZH","",,"female ego's sister's husband",,,"shaw1974kinship",
"mFeBS","",,"male ego's father‘s older brother‘s son",,,"shaw1974kinship",
"mFyBS","",,"male ego‘s father‘s younger brother‘s son",,,"shaw1974kinship",
"mFeZS","",,"male ego's father‘s older sister‘s son",,,"shaw1974kinship",
"mFyZS","",,"male ego‘s father‘s younger sister‘s son",,,"shaw1974kinship",
"mFeBD","",,"male ego's father‘s older brother‘s daughter",,,"shaw1974kinship",
"mFyBD","",,"male ego‘s father‘s younger brother‘s daughter",,,"shaw1974kinship",
"mFeZD","",,"male ego's father‘s older sister‘s daughter",,,"shaw1974kinship",
"mFyZD","",,"male ego‘s father‘s younger sister‘s daughter",,,"shaw1974kinship",
"mMeBS","",,"male ego's mother‘s older brother‘s son",,,"shaw1974kinship",
"mMyBS","",,"male ego‘s mother‘s younger brother‘s son",,,"shaw1974kinship",
"mMeZS","",,"male ego's mother‘s older sister‘s son",,,"shaw1974kinship",
"mMyZS","",,"male ego‘s mother‘s younger sister‘s son",,,"shaw1974kinship",
"mMeBD","",,"male ego's mother‘s older brother‘s daughter",,,"shaw1974kinship",
"mMyBD","",,"male ego‘s mother‘s younger brother‘s daughter",,,"shaw1974kinship",
"mMeZD","",,"male ego's mother‘s older sister‘s daughter",,,"shaw1974kinship",
"mMyZD","",,"male ego‘s mother‘s younger sister‘s daughter",,,"shaw1974kinship",
"fFeBS","",,"female ego's father‘s older brother‘s son",,,"shaw1974kinship",
"fFyBS","",,"female ego‘s father‘s younger brother‘s son",,,"shaw1974kinship",
"fFeZS","",,"female ego's father‘s older sister‘s son",,,"shaw1974kinship",
"fFyZS","",,"female ego‘s father‘s younger sister‘s son",,,"shaw1974kinship",
"fFeBD","",,"female ego's father‘s older brother‘s daughter",,,"shaw1974kinship",
"fFyBD","",,"female ego‘s father‘s younger brother‘s daughter",,,"shaw1974kinship",
"fFeZD","",,"female ego's father‘s older sister‘s daughter",,,"shaw1974kinship",
"fFyZD","",,"female ego‘s father‘s younger sister‘s daughter",,,"shaw1974kinship",
"fMeBS","",,"female ego's mother‘s older brother‘s son",,,"shaw1974kinship",
"fMyBS","",,"female ego‘s mother‘s younger brother‘s son",,,"shaw1974kinship",
"fMeZS","",,"female ego's mother‘s older sister‘s son",,,"shaw1974kinship",
"fMyZS","",,"female ego‘s mother‘s younger sister‘s son",,,"shaw1974kinship",
"fMeBD","",,"female ego's mother‘s older brother‘s daughter",,,"shaw1974kinship",
"fMyBD","",,"female ego‘s mother‘s younger brother‘s daughter",,,"shaw1974kinship",
"fMeZD","",,"female ego's mother‘s older sister‘s daughter",,,"shaw1974kinship",
"fMyZD","",,"female ego‘s mother‘s younger sister‘s daughter",,,"shaw1974kinship",
"mFBeS","hei iue",,"male ego‘s father‘s brother‘s older son",,,"shaw1974kinship",
"mFByS","nikiik",,"male ego‘s father‘s brother‘s younger son",,,"shaw1974kinship",
"mFBeD","yantan",,"male ego‘s father‘s brother‘s older daughter",,,"shaw1974kinship",
"mFByD","yantan",,"male ego‘s father‘s brother‘s younger daughter",,,"shaw1974kinship",
"mFZeS","wekne",,"male ego‘s father‘s sisters‘s older son",,,"shaw1974kinship",
"mFZyS","wekne",,"male ego‘s father‘s sisters‘s younger son",,,"shaw1974kinship",
"mFZeD","wekanii",,"male ego‘s father‘s sisters‘s older daughter",,,"shaw1974kinship",
