"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","awahwa",,"male ego's older brother",,,"shaw1974kinship",
"myB","abaqkawa",,"male ego's younger brother",,,"shaw1974kinship",
"feB","ayoqkawa",,"female ego's older brother",,,"shaw1974kinship",
"fyB","ayoqkawa",,"female ego's younger brother",,,"shaw1974kinship",
"meZ","anahnowa",,"male ego's older sister",,,"shaw1974kinship",
"myZ","anahnowa",,"male ego's younger sister",,,"shaw1974kinship",
"feZ","anahnowa",,"female ego's older sister",,,"shaw1974kinship",
"fyZ","onanahwa",,"female ego's younger sister",,,"shaw1974kinship",
"mF","abowa",,"male ego's father",,,"shaw1974kinship",
"mM","anowa",,"male ego's mother",,,"shaw1974kinship",
"fF","abowa",,"female ego's father",,,"shaw1974kinship",
"fM","anowa",,"female ego's mother",,,"shaw1974kinship",
"mS","ahninkawa",,"male ego's son",,,"shaw1974kinship",
"fS","ahninkawa",,"female ego's son",,,"shaw1974kinship",
"mD","ayahunkawa",,"male ego's daughter",,,"shaw1974kinship",
"fD","ayahunkawa",,"female ego's daughter",,,"shaw1974kinship",
"mSS","anahwa",,"male ego's son's son",,,"shaw1974kinship",
"mSD","anahwa",,"male ego's son's daughter",,,"shaw1974kinship",
"mDS","anahwa",,"male ego's daughter's son",,,"shaw1974kinship",
"mDD","anahwa",,"male ego's daughter's daughter",,,"shaw1974kinship",
"fSS","anahwa",,"female ego's son's son ",,,"shaw1974kinship",
"fSD","anahwa",,"female ego's son's daughter ",,,"shaw1974kinship",
"fDS","anahwa",,"female ego's daughter's son ",,,"shaw1974kinship",
"fDD","anahwa",,"female ego's daugher's daughter ",,,"shaw1974kinship",
"mFF","anahbuwa",,"male ego's father‘s father",,,"shaw1974kinship",
"mFM","arahrawa",,"male ego's father's mother",,,"shaw1974kinship",
"mMF","anahbuwa",,"male ego's mother's father",,,"shaw1974kinship",
"mMM","arahrawa",,"male ego's mother's mother",,,"shaw1974kinship",
"fFF","anahbuwa",,"female ego's father's father ",,,"shaw1974kinship",
"fFM","arahrawa",,"female ego's father's mother ",,,"shaw1974kinship",
"fMF","anahbuwa",,"female ego's mother's father ",,,"shaw1974kinship",
"fMM","arahrawa",,"female ego's mother's mother ",,,"shaw1974kinship",
"meBS","ahninkawa",,"male ego's older brother's son ",,,"shaw1974kinship",
"myBS","ahninkawa",,"male ego's younger brother's son ",,,"shaw1974kinship",
"meZS","ahninkawa",,"male ego's older sister's son ",,,"shaw1974kinship",
"myZS","ahninkawa",,"male ego's younger sister's son ",,,"shaw1974kinship",
"meBD","ayahunkawa",,"male ego's older brother's daughter ",,,"shaw1974kinship",
"myBD","ayahunkawa",,"male ego's younger brother's daughter ",,,"shaw1974kinship",
"meZD","ayahunkawa",,"male ego's older sister's daughter ",,,"shaw1974kinship",
"myZD","ayahunkawa",,"male ego's younger sister's daughter ",,,"shaw1974kinship",
"feBS","ahninkawa",,"female ego's older brother's son ",,,"shaw1974kinship",
"fyBS","ahninkawa",,"female ego's younger brother's son ",,,"shaw1974kinship",
"feZS","ahninkawa",,"female ego's older sister's son ",,,"shaw1974kinship",
"fyZS","ahninkawa",,"female ego's younger sister's son ",,,"shaw1974kinship",
"feBD","ayahunkawa",,"female ego's older brother's daughter ",,,"shaw1974kinship",
"fyBD","ayahunkawa",,"female ego's younger brother's daughter ",,,"shaw1974kinship",
"feZD","ayahunkawa",,"female ego's older sister's daughter ",,,"shaw1974kinship",
"fyZD","ayahunkawa",,"female ego's younger sister's daughter ",,,"shaw1974kinship",
"mFeB","abowa",,"male ego's father's older brother ",,,"shaw1974kinship",
"mFyB","abowa",,"male ego's father's younger brother ",,,"shaw1974kinship",
"mFeZ","anowa",,"male ego's father's older sister ",,,"shaw1974kinship",
"mFyZ","anowa",,"male ego's father's younger sister ",,,"shaw1974kinship",
"mMeB","abowa",,"male ego's mother's older brother ",,,"shaw1974kinship",
"mMyB","abowa",,"male ego's mother's younger brother ",,,"shaw1974kinship",
"mMeZ","anowa",,"male ego's mother's older sister ",,,"shaw1974kinship",
"mMyZ","anowa",,"male ego's mother's younger sister ",,,"shaw1974kinship",
"fFeB","abowa",,"female ego's father's older brother ",,,"shaw1974kinship",
"fFyB","abowa",,"female ego's father's younger brother ",,,"shaw1974kinship",
"fFeZ","anowa",,"female ego's father's older sister ",,,"shaw1974kinship",
"fFyZ","anowa",,"female ego's father's younger sister ",,,"shaw1974kinship",
"fMeB","abowa",,"female ego's mother's older brother ",,,"shaw1974kinship",
"fMyB","abowa",,"female ego's mother's younger brother ",,,"shaw1974kinship",
"fMeZ","anowa",,"female ego's mother's older sister ",,,"shaw1974kinship",
"fMyZ","anowa",,"female ego's mother's younger sister ",,,"shaw1974kinship",
"mW","awehqkawa",,"male ego's wife",,,"shaw1974kinship",
"fH","anahqkawa",,"female ego‘s husband",,,"shaw1974kinship",
"mDH","arahnkawa",,"male ego's daughter's husband",,,"shaw1974kinship",
"fDH","arahnkawa",,"female ego's daughter's husband",,,"shaw1974kinship",
"mSW","anahbuqkawa",,"male ego's son's wife",,,"shaw1974kinship",
"fSW","anahbuqkawa",,"female ego's son's wife",,,"shaw1974kinship",
"mWF","awarenawa",,"male ego's wife's father",,,"shaw1974kinship",
"mWM","ahrahnawa",,"male ego's wife's mother",,,"shaw1974kinship",
"mWB","erowa",,"male ego's wife's brother",,,"shaw1974kinship",
"mWZ","ahrahnawa, awehwa",,"male ego's wife's sister",,,"shaw1974kinship",
"fHF","awarenawa",,"female ego's husband's father",,,"shaw1974kinship",
"fHM","ahrahnawa",,"female ego's husband's mother",,,"shaw1974kinship",
"fHB","awarenawa",,"female ego's husband's brother",,,"shaw1974kinship",
"fHZ","awehiyawa",,"female ego's husband's sister",,,"shaw1974kinship",
