"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","ouk, ap",,"male ego's older brother",,,"hoenigman2015talk",
"myB","kenguk",,"male ego's younger brother",,,"hoenigman2015talk",
"feB","kopoñik",,"female ego's older brother",,,"hoenigman2015talk",
"fyB","kopoñik",,"female ego's younger brother",,,"hoenigman2015talk",
"meZ","nambakonjik",,"male ego's older sister",,,"hoenigman2015talk",
"myZ","nambakonjik",,"male ego's younger sister",,,"hoenigman2015talk",
"feZ","okayk",,"female ego's older sister",,,"hoenigman2015talk",
"fyZ","kondik",,"female ego's younger sister",,,"hoenigman2015talk",
"mF","atn",,"male ego's father",,,"hoenigman2015talk",
"mM","am(bi)",,"male ego's mother",,,"hoenigman2015talk",
"fF","atn ",,"female ego's father",,,"hoenigman2015talk",
"fM","am(bi)",,"female ego's mother",,,"hoenigman2015talk",
"mS","tenjik",,"male ego's son",,,"hoenigman2015talk",
"fS","nuŋgulas",,"female ego's son",,,"hoenigman2015talk",
"mD","tenjik",,"male ego's daughter",,,"hoenigman2015talk",
"fD","nuŋgulas",,"female ego's daughter",,,"hoenigman2015talk",
"mSS","esek",,"male ego's son's son",,,"hoenigman2015talk",
"mSD","esek",,"male ego's son's daughter",,,"hoenigman2015talk",
"mDS","esek",,"male ego's daughter's son",,,"hoenigman2015talk",
"mDD","esek",,"male ego's daughter's daughter",,,"hoenigman2015talk",
"fSS","esek",,"female ego's son's son ",,,"hoenigman2015talk",
"fSD","esek",,"female ego's son's daughter ",,,"hoenigman2015talk",
"fDS","esek",,"female ego's daughter's son ",,,"hoenigman2015talk",
"fDD","esek",,"female ego's daugher's daughter ",,,"hoenigman2015talk",
"mFF","abu",,"male ego's father‘s father",,,"hoenigman2015talk",
"mFM","abu",,"male ego's father's mother",,,"hoenigman2015talk",
"mMF","abu",,"male ego's mother's father",,,"hoenigman2015talk",
"mMM","abu",,"male ego's mother's mother",,,"hoenigman2015talk",
"fFF","abu",,"female ego's father's father ",,,"hoenigman2015talk",
"fFM","abu",,"female ego's father's mother ",,,"hoenigman2015talk",
"fMF","abu",,"female ego's mother's father ",,,"hoenigman2015talk",
"fMM","abu",,"female ego's mother's mother ",,,"hoenigman2015talk",
"meBS","tenjik",,"male ego's older brother's son ",,,"hoenigman2015talk",
"myBS","tenjik",,"male ego's younger brother's son ",,,"hoenigman2015talk",
"meZS","eŋgembek",,"male ego's older sister's son ",,,"hoenigman2015talk",
"myZS","eŋgembek",,"male ego's younger sister's son ",,,"hoenigman2015talk",
"meBD","nuŋgulas",,"male ego's older brother's daughter ",,,"hoenigman2015talk",
"myBD","nuŋgulas",,"male ego's younger brother's daughter ",,,"hoenigman2015talk",
"meZD","eŋgembek",,"male ego's older sister's daughter ",,,"hoenigman2015talk",
"myZD","eŋgembek",,"male ego's younger sister's daughter ",,,"hoenigman2015talk",
"feBS","tenjik",,"female ego's older brother's son ",,,"hoenigman2015talk",
"fyBS","tenjik",,"female ego's younger brother's son ",,,"hoenigman2015talk",
"feZS","tenjik",,"female ego's older sister's son ",,,"hoenigman2015talk",
"fyZS","tenjik",,"female ego's younger sister's son ",,,"hoenigman2015talk",
"feBD","nuŋgulas",,"female ego's older brother's daughter ",,,"hoenigman2015talk",
"fyBD","nuŋgulas",,"female ego's younger brother's daughter ",,,"hoenigman2015talk",
"feZD","nuŋgulas",,"female ego's older sister's daughter ",,,"hoenigman2015talk",
"fyZD","nuŋgulas",,"female ego's younger sister's daughter ",,,"hoenigman2015talk",
"mFeB","atn kandeŋge, kuluk",,"male ego's father's older brother ",,,"hoenigman2015talk",
"mFyB","atn kambanjagay",,"male ego's father's younger brother ",,,"hoenigman2015talk",
"mFeZ","ao",,"male ego's father's older sister ",,,"hoenigman2015talk",
"mFyZ","ao",,"male ego's father's younger sister ",,,"hoenigman2015talk",
"mMeB","pap, pauk",,"male ego's mother's older brother ",,,"hoenigman2015talk",
"mMyB","pap, pauk",,"male ego's mother's younger brother ",,,"hoenigman2015talk",
"mMeZ","am(bi) kandeŋge",,"male ego's mother's older sister ",,,"hoenigman2015talk",
"mMyZ","am(bi) kambanjagay",,"male ego's mother's younger sister ",,,"hoenigman2015talk",
"fFeB","atn kandeŋge",,"female ego's father's older brother ",,,"hoenigman2015talk",
"fFyB","atn kambanjagay",,"female ego's father's younger brother ",,,"hoenigman2015talk",
"fFeZ","ao",,"female ego's father's older sister ",,,"hoenigman2015talk",
"fFyZ","ao",,"female ego's father's younger sister ",,,"hoenigman2015talk",
"fMeB","pap, pauk",,"female ego's mother's older brother ",,,"hoenigman2015talk",
"fMyB","pap, pauk",,"female ego's mother's younger brother ",,,"hoenigman2015talk",
"fMeZ","am(bi) kandeŋge",,"female ego's mother's older sister ",,,"hoenigman2015talk",
"fMyZ","am(bi) kambanjagay",,"female ego's mother's younger sister ",,,"hoenigman2015talk",
"mW","nambuk",,"male ego's wife",,,"hoenigman2015talk",
"fH","numbuk",,"female ego‘s husband",,,"hoenigman2015talk",
"mDH","kunam(bek)",,"male ego's daughter's husband",,,"hoenigman2015talk",
"fDH","kunam(bek)",,"female ego's daughter's husband",,,"hoenigman2015talk",
"mSW","tenjiknamba",,"male ego's son's wife",,,"hoenigman2015talk",
"fSW","monik",,"female ego's son's wife",,,"hoenigman2015talk",
"mWF","moyak (alukoy)",,"male ego's wife's father",,,"hoenigman2015talk",
"mWM","moyak (namgoy)",,"male ego's wife's mother",,,"hoenigman2015talk",
"mWB","usik",,"male ego's wife's brother",,,"hoenigman2015talk",
"mWZ","okayk (mWeZ), kondik (mWyZ)",,"male ego's wife's sister",,,"hoenigman2015talk",
"fHF","unik",,"female ego's husband's father",,,"hoenigman2015talk",
"fHM","unik",,"female ego's husband's mother",,,"hoenigman2015talk",
"fHB","ouk (fHeb), kenguk (fHyB)",,"female ego's husband's brother",,,"hoenigman2015talk",
"fHZ","mekeyk",,"female ego's husband's sister",,,"hoenigman2015talk",
"mBW","ouknamba, apnamba (meBW), kenguknamba (myBW)",,"male ego's brother's wife",,,"hoenigman2015talk",
"fBW","mekeyk",,"female ego's brother's wife",,,"hoenigman2015talk",
"mZH","kunam(bek)",,"male ego's sister's husband",,,"hoenigman2015talk",
"fZH","kunam(bek)",,"female ego's sister's husband",,,"hoenigman2015talk",
"mFeBS","ouk, ap",,"male ego's father‘s older brother‘s son",,,"hoenigman2015talk",
"mFyBS","kenguk",,"male ego‘s father‘s younger brother‘s son",,,"hoenigman2015talk",
"mFeZS","pawatenja",,"male ego's father‘s older sister‘s son",,,"hoenigman2015talk",
"mFyZS","pawatenja",,"male ego‘s father‘s younger sister‘s son",,,"hoenigman2015talk",
"mFeBD","nambakonjik",,"male ego's father‘s older brother‘s daughter",,,"hoenigman2015talk",
"mFyBD","nambakonjik",,"male ego‘s father‘s younger brother‘s daughter",,,"hoenigman2015talk",
"mFeZD","pawanuŋgulia",,"male ego's father‘s older sister‘s daughter",,,"hoenigman2015talk",
"mFyZD","pawanuŋgulia",,"male ego‘s father‘s younger sister‘s daughter",,,"hoenigman2015talk",
"mMeBS","pawatenja",,"male ego's mother‘s older brother‘s son",,,"hoenigman2015talk",
"mMyBS","pawatenja",,"male ego‘s mother‘s younger brother‘s son",,,"hoenigman2015talk",
"mMeZS","ouk, ap",,"male ego's mother‘s older sister‘s son",,,"hoenigman2015talk",
"mMyZS","kenguk",,"male ego‘s mother‘s younger sister‘s son",,,"hoenigman2015talk",
"mMeBD","pawanuŋgulia",,"male ego's mother‘s older brother‘s daughter",,,"hoenigman2015talk",
"mMyBD","pawanuŋgulia",,"male ego‘s mother‘s younger brother‘s daughter",,,"hoenigman2015talk",
"mMeZD","nambakonjik",,"male ego's mother‘s older sister‘s daughter",,,"hoenigman2015talk",
"mMyZD","nambakonjik",,"male ego‘s mother‘s younger sister‘s daughter",,,"hoenigman2015talk",
"fFeBS","kopoñik",,"female ego's father‘s older brother‘s son",,,"hoenigman2015talk",
"fFyBS","kopoñik",,"female ego‘s father‘s younger brother‘s son",,,"hoenigman2015talk",
"fFeZS","pawatenja",,"female ego's father‘s older sister‘s son",,,"hoenigman2015talk",
"fFyZS","pawatenja",,"female ego‘s father‘s younger sister‘s son",,,"hoenigman2015talk",
"fFeBD","okayk",,"female ego's father‘s older brother‘s daughter",,,"hoenigman2015talk",
"fFyBD","kondik",,"female ego‘s father‘s younger brother‘s daughter",,,"hoenigman2015talk",
"fFeZD","pawanuŋgulia",,"female ego's father‘s older sister‘s daughter",,,"hoenigman2015talk",
"fFyZD","pawanuŋgulia",,"female ego‘s father‘s younger sister‘s daughter",,,"hoenigman2015talk",
"fMeBS","pawatenja",,"female ego's mother‘s older brother‘s son",,,"hoenigman2015talk",
"fMyBS","pawatenja",,"female ego‘s mother‘s younger brother‘s son",,,"hoenigman2015talk",
"fMeZS","kopoñik",,"female ego's mother‘s older sister‘s son",,,"hoenigman2015talk",
"fMyZS","kopoñik",,"female ego‘s mother‘s younger sister‘s son",,,"hoenigman2015talk",
