parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,aur'hide,,,,ISO1,coyos_basque_2015,
mB,a'naie,,,,ISO1,coyos_basque_2015,
mZ,a'reba,,,,ISO1,coyos_basque_2015,
mZ,ã'hispa,,,,ISO1,coyos_basque_2015,
mF,aita,,,,ISO1,coyos_basque_2015,
mM,ama,,,,ISO1,coyos_basque_2015,
mC,haur,,,,ISO1,coyos_basque_2015,
mS,ṣeme,,,,ISO1,coyos_basque_2015,
mD,al'haba,,,,ISO1,coyos_basque_2015,
mFF,aita'ɲi,,,,ISO1,coyos_basque_2015,
mFF,a'tʸatʸa,,,,ISO1,coyos_basque_2015,
mFM,ama'ɲi,,,,ISO1,coyos_basque_2015,
mFM,a'mama,,,,ISO1,coyos_basque_2015,
mMF,aita'ɲi,,,,ISO1,coyos_basque_2015,
mMF,a'tʸatʸa,,,,ISO1,coyos_basque_2015,
mMM,ama'ɲi,,,,ISO1,coyos_basque_2015,
mMM,a'mama,,,,ISO1,coyos_basque_2015,
mSS,ara'ṣeme,,,,ISO1,coyos_basque_2015,
mSD,aral'haba,,,,ISO1,coyos_basque_2015,
mDS,ara'ṣeme,,,,ISO1,coyos_basque_2015,
mDD,aral'haba,,,,ISO1,coyos_basque_2015,
mFB,ai'ta-ren a'naie,,,,ISO1,coyos_basque_2015,
mFZ,ai'ta-ren a'reba,,,,ISO1,coyos_basque_2015,
mMB,a'ma-ren a'naie,,,,ISO1,coyos_basque_2015,
mMZ,a'ma-ren ã'hispa,,,,ISO1,coyos_basque_2015,
mBS,lʸoba,,,,ISO1,coyos_basque_2015,
mBD,lʸoba,,,,ISO1,coyos_basque_2015,
mZS,lʸoba,,,,ISO1,coyos_basque_2015,
mZD,lʸoba,,,,ISO1,coyos_basque_2015,
mFZD,kü'süɲa,,,,ISO1,coyos_basque_2015,[koẓi]
mFBD,kü'süɲa,,,,ISO1,coyos_basque_2015,[koẓi]
mMBD,kü'süɲa,,,,ISO1,coyos_basque_2015,[koẓi]
mMZD,kü'süɲa,,,,ISO1,coyos_basque_2015,[koẓi]
mFBS,kü'süɲa,,,,ISO1,coyos_basque_2015,[koẓi]
mFZS,kü'süɲa,,,,ISO1,coyos_basque_2015,[koẓi]
mMBS,kü'süɲa,,,,ISO1,coyos_basque_2015,[koẓi]
mMZS,kü'süɲa,,,,ISO1,coyos_basque_2015,[koẓi]
mH,ṣenhar,,,,ISO1,coyos_basque_2015,
mW,e'maste,,,,ISO1,coyos_basque_2015,
mW,[eṣ'puẓa],,,,ISO1,coyos_basque_2015,
mDH,ṣühi,,,,ISO1,coyos_basque_2015,
mDH,ṣühi,,,,ISO1,coyos_basque_2015,
fG,aur'hide,,,,ISO1,coyos_basque_2015,
fB,a'naie,,,,ISO1,coyos_basque_2015,
fZ,a'reba,,,,ISO1,coyos_basque_2015,
fZ,ã'hispa,,,,ISO1,coyos_basque_2015,
fF,aita,,,,ISO1,coyos_basque_2015,
fM,ama,,,,ISO1,coyos_basque_2015,
fC,haur,,,,ISO1,coyos_basque_2015,
fS,ṣeme,,,,ISO1,coyos_basque_2015,
fD,al'haba,,,,ISO1,coyos_basque_2015,
fFF,aita'ɲi,,,,ISO1,coyos_basque_2015,
fFF,a'tʸatʸa,,,,ISO1,coyos_basque_2015,
fFM,ama'ɲi,,,,ISO1,coyos_basque_2015,
fFM,a'mama,,,,ISO1,coyos_basque_2015,
fMF,aita'ɲi,,,,ISO1,coyos_basque_2015,
fMF,a'tʸatʸa,,,,ISO1,coyos_basque_2015,
fMM,ama'ɲi,,,,ISO1,coyos_basque_2015,
fMM,a'mama,,,,ISO1,coyos_basque_2015,
fSS,ara'ṣeme,,,,ISO1,coyos_basque_2015,
fSD,aral'haba,,,,ISO1,coyos_basque_2015,
fDS,ara'ṣeme,,,,ISO1,coyos_basque_2015,
fDD,aral'haba,,,,ISO1,coyos_basque_2015,
fFB,ai'ta-ren a'naie,,,,ISO1,coyos_basque_2015,
fFZ,ai'ta-ren a'reba,,,,ISO1,coyos_basque_2015,
fMB,a'ma-ren a'naie,,,,ISO1,coyos_basque_2015,
fMZ,a'ma-ren ã'hispa,,,,ISO1,coyos_basque_2015,
fBS,lʸoba,,,,ISO1,coyos_basque_2015,
fBD,lʸoba,,,,ISO1,coyos_basque_2015,
fZS,lʸoba,,,,ISO1,coyos_basque_2015,
fZD,lʸoba,,,,ISO1,coyos_basque_2015,
fFZD,kü'süɲa,,,,ISO1,coyos_basque_2015,[koẓi]
fFBD,kü'süɲa,,,,ISO1,coyos_basque_2015,[koẓi]
fMBD,kü'süɲa,,,,ISO1,coyos_basque_2015,[koẓi]
fMZD,kü'süɲa,,,,ISO1,coyos_basque_2015,[koẓi]
fFBS,kü'süɲa,,,,ISO1,coyos_basque_2015,[koẓi]
fFZS,kü'süɲa,,,,ISO1,coyos_basque_2015,[koẓi]
fMBS,kü'süɲa,,,,ISO1,coyos_basque_2015,[koẓi]
fMZS,kü'süɲa,,,,ISO1,coyos_basque_2015,[koẓi]
fH,ṣenhar,,,,ISO1,coyos_basque_2015,
fW,e'maste,,,,ISO1,coyos_basque_2015,
fW,[eṣ'puẓa],,,,ISO1,coyos_basque_2015,
fDH,ṣühi,,,,ISO1,coyos_basque_2015,
fDH,ṣühi,,,,ISO1,coyos_basque_2015,
