parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,anaia,,,,IE79,urrutia_western_2018,
mZ,arreba,,,,IE79,urrutia_western_2018,
meB,anaia,,,,IE79,urrutia_western_2018,
myB,anaia,,,,IE79,urrutia_western_2018,
meZ,arreba nagusia,,,,IE79,urrutia_western_2018,
myZ,arreba gaztea,,,,IE79,urrutia_western_2018,
mP,gurasoak,,,,IE79,urrutia_western_2018,PLURAL
mF,aita,,,,IE79,urrutia_western_2018,
mM,ama,,,,IE79,urrutia_western_2018,
mC,haurra,,,,IE79,urrutia_western_2018,
mC,umea,,,,IE79,urrutia_western_2018,
mC,seme-alabak,,,,IE79,urrutia_western_2018,PLURAL
mS,semea,,,,IE79,urrutia_western_2018,
mD,alaba,,,,IE79,urrutia_western_2018,
mA,arbaso,,,,IE79,urrutia_western_2018,
mFF,aitite,,,,IE79,urrutia_western_2018,
mFF,aitxitxe,,,,IE79,urrutia_western_2018,
mFF,aitona,,,,IE79,urrutia_western_2018,
mFF,aitatxi,,,,IE79,urrutia_western_2018,
mFM,amama,,,,IE79,urrutia_western_2018,
mFM,amona,,,,IE79,urrutia_western_2018,
mFM,amatxi,,,,IE79,urrutia_western_2018,
mMF,aitite,,,,IE79,urrutia_western_2018,
mMF,aitxitxe,,,,IE79,urrutia_western_2018,
mMF,aitona,,,,IE79,urrutia_western_2018,
mMF,aitatxi,,,,IE79,urrutia_western_2018,
mMM,amama,,,,IE79,urrutia_western_2018,
mMM,amona,,,,IE79,urrutia_western_2018,
mMM,amatxi,,,,IE79,urrutia_western_2018,
mSS,biloba,,,,IE79,urrutia_western_2018,
mSS,loba,,,,IE79,urrutia_western_2018,
mSD,biloba,,,,IE79,urrutia_western_2018,
mSD,loba,,,,IE79,urrutia_western_2018,
mDS,biloba,,,,IE79,urrutia_western_2018,
mDS,loba,,,,IE79,urrutia_western_2018,
mDD,biloba,,,,IE79,urrutia_western_2018,
mDD,loba,,,,IE79,urrutia_western_2018,
mFB,osaba,,,,IE79,urrutia_western_2018,
mFZ,izeba,,,,IE79,urrutia_western_2018,
mFZ,izeko,,,,IE79,urrutia_western_2018,
mMB,osaba,,,,IE79,urrutia_western_2018,
mMZ,izeba,,,,IE79,urrutia_western_2018,
mMZ,izeko,,,,IE79,urrutia_western_2018,
mFeB,osaba,,,,IE79,urrutia_western_2018,
mFyB,osaba,,,,IE79,urrutia_western_2018,
mFeZ,izeba,,,,IE79,urrutia_western_2018,
mFeZ,izeko,,,,IE79,urrutia_western_2018,
mFyZ,izeba,,,,IE79,urrutia_western_2018,
mFyZ,izeko,,,,IE79,urrutia_western_2018,
mMeZ,izeba,,,,IE79,urrutia_western_2018,
mMeZ,izeko,,,,IE79,urrutia_western_2018,
mMyZ,izeba,,,,IE79,urrutia_western_2018,
mMyZ,izeko,,,,IE79,urrutia_western_2018,
mMeB,osaba,,,,IE79,urrutia_western_2018,
mMyB,osaba,,,,IE79,urrutia_western_2018,
mBS,iloba,,,,IE79,urrutia_western_2018,
mBD,iloba,,,,IE79,urrutia_western_2018,
mZS,iloba,,,,IE79,urrutia_western_2018,
mZD,iloba,,,,IE79,urrutia_western_2018,
meBS,iloba,,,,IE79,urrutia_western_2018,
myBS,iloba,,,,IE79,urrutia_western_2018,
meBD,iloba,,,,IE79,urrutia_western_2018,
myBD,iloba,,,,IE79,urrutia_western_2018,
meZS,iloba,,,,IE79,urrutia_western_2018,
myZS,iloba,,,,IE79,urrutia_western_2018,
meZD,iloba,,,,IE79,urrutia_western_2018,
myZD,iloba,,,,IE79,urrutia_western_2018,
mBS,loba,,,,IE79,urrutia_western_2018,
mBD,loba,,,,IE79,urrutia_western_2018,
mZS,loba,,,,IE79,urrutia_western_2018,
mZD,loba,,,,IE79,urrutia_western_2018,
meBS,loba,,,,IE79,urrutia_western_2018,
myBS,loba,,,,IE79,urrutia_western_2018,
meBD,loba,,,,IE79,urrutia_western_2018,
myBD,loba,,,,IE79,urrutia_western_2018,
meZS,loba,,,,IE79,urrutia_western_2018,
myZS,loba,,,,IE79,urrutia_western_2018,
meZD,loba,,,,IE79,urrutia_western_2018,
myZD,loba,,,,IE79,urrutia_western_2018,
mFZD,lehengusina,,,,IE79,urrutia_western_2018,
mFBD,lehengusina,,,,IE79,urrutia_western_2018,
mMBD,lehengusina,,,,IE79,urrutia_western_2018,
mMZD,lehengusina,,,,IE79,urrutia_western_2018,
mFBS,lehengusua,,,,IE79,urrutia_western_2018,
mFZS,lehengusua,,,,IE79,urrutia_western_2018,
mMBS,lehengusua,,,,IE79,urrutia_western_2018,
mMZS,lehengusua,,,,IE79,urrutia_western_2018,
mFeBS,lehengusua,,,,IE79,urrutia_western_2018,
mFyBS,lehengusua,,,,IE79,urrutia_western_2018,
mFeZS,lehengusua,,,,IE79,urrutia_western_2018,
mFyZS,lehengusua,,,,IE79,urrutia_western_2018,
mFeBD,lehengusina,,,,IE79,urrutia_western_2018,
mFyBD,lehengusina,,,,IE79,urrutia_western_2018,
mFeZD,lehengusina,,,,IE79,urrutia_western_2018,
mFyZD,lehengusina,,,,IE79,urrutia_western_2018,
mMeBS,lehengusua,,,,IE79,urrutia_western_2018,
mMyBS,lehengusua,,,,IE79,urrutia_western_2018,
mMeZS,lehengusua,,,,IE79,urrutia_western_2018,
mMyZS,lehengusua,,,,IE79,urrutia_western_2018,
mMeBD,lehengusina,,,,IE79,urrutia_western_2018,
mMyBD,lehengusina,,,,IE79,urrutia_western_2018,
