"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","aiya",,"male ego's older brother",,,"westrum1982berik",
"myB","oso",,"male ego's younger brother",,,"westrum1982berik",
"feB","aiya",,"female ego's older brother",,,"westrum1982berik",
"fyB","oso",,"female ego's younger brother",,,"westrum1982berik",
"meZ","aiya",,"male ego's older sister",,,"westrum1982berik",
"myZ","oso",,"male ego's younger sister",,,"westrum1982berik",
"feZ","aiya",,"female ego's older sister",,,"westrum1982berik",
"fyZ","oso",,"female ego's younger sister",,,"westrum1982berik",
"mF","uwa",,"male ego's father",,,"westrum1982berik",
"mM","iye",,"male ego's mother",,,"westrum1982berik",
"fF","uwa",,"female ego's father",,,"westrum1982berik",
"fM","iye",,"female ego's mother",,,"westrum1982berik",
"mS","tane",,"male ego's son",,,"westrum1982berik",
"fS","tane",,"female ego's son",,,"westrum1982berik",
"mD","tane",,"male ego's daughter",,,"westrum1982berik",
"fD","tane",,"female ego's daughter",,,"westrum1982berik",
"mSS","abwai",,"male ego's son's son",,,"westrum1982berik",
"mSD","abwai",,"male ego's son's daughter",,,"westrum1982berik",
"mDS","abwai",,"male ego's daughter's son",,,"westrum1982berik",
"mDD","abwai",,"male ego's daughter's daughter",,,"westrum1982berik",
"fSS","abwai",,"female ego's son's son ",,,"westrum1982berik",
"fSD","abwai",,"female ego's son's daughter ",,,"westrum1982berik",
"fDS","abwai",,"female ego's daughter's son ",,,"westrum1982berik",
"fDD","abwai",,"female ego's daugher's daughter ",,,"westrum1982berik",
"mFF","abwai",,"male ego's father‘s father",,,"westrum1982berik",
"mFM","abwai",,"male ego's father's mother",,,"westrum1982berik",
"mMF","abwai",,"male ego's mother's father",,,"westrum1982berik",
"mMM","abwai",,"male ego's mother's mother",,,"westrum1982berik",
"fFF","abwai",,"female ego's father's father ",,,"westrum1982berik",
"fFM","abwai",,"female ego's father's mother ",,,"westrum1982berik",
"fMF","abwai",,"female ego's mother's father ",,,"westrum1982berik",
"fMM","abwai",,"female ego's mother's mother ",,,"westrum1982berik",
"meBS","tane",,"male ego's older brother's son ",,,"westrum1982berik",
"myBS","tane",,"male ego's younger brother's son ",,,"westrum1982berik",
"meZS","nemeltene, tane",,"male ego's older sister's son ",,,"westrum1982berik",
"myZS","nemeltene, tane",,"male ego's younger sister's son ",,,"westrum1982berik",
"meBD","tane",,"male ego's older brother's daughter ",,,"westrum1982berik",
"myBD","tane",,"male ego's younger brother's daughter ",,,"westrum1982berik",
"meZD","nemeltene, tane",,"male ego's older sister's daughter ",,,"westrum1982berik",
"myZD","nemeltene, tane",,"male ego's younger sister's daughter ",,,"westrum1982berik",
"feBS","tane",,"female ego's older brother's son ",,,"westrum1982berik",
"fyBS","tane",,"female ego's younger brother's son ",,,"westrum1982berik",
"feZS","tane",,"female ego's older sister's son ",,,"westrum1982berik",
"fyZS","tane",,"female ego's younger sister's son ",,,"westrum1982berik",
"feBD","tane",,"female ego's older brother's daughter ",,,"westrum1982berik",
"fyBD","tane",,"female ego's younger brother's daughter ",,,"westrum1982berik",
"feZD","tane",,"female ego's older sister's daughter ",,,"westrum1982berik",
"fyZD","tane",,"female ego's younger sister's daughter ",,,"westrum1982berik",
"mFeB","uwa",,"male ego's father's older brother ",,,"westrum1982berik",
"mFyB","uwa",,"male ego's father's younger brother ",,,"westrum1982berik",
"mFeZ","iye",,"male ego's father's older sister ",,,"westrum1982berik",
"mFyZ","iye",,"male ego's father's younger sister ",,,"westrum1982berik",
"mMeB","maame",,"male ego's mother's older brother ",,,"westrum1982berik",
"mMyB","maame",,"male ego's mother's younger brother ",,,"westrum1982berik",
"mMeZ","iye",,"male ego's mother's older sister ",,,"westrum1982berik",
"mMyZ","iye",,"male ego's mother's younger sister ",,,"westrum1982berik",
"fFeB","uwa",,"female ego's father's older brother ",,,"westrum1982berik",
"fFyB","uwa",,"female ego's father's younger brother ",,,"westrum1982berik",
"fFeZ","iye",,"female ego's father's older sister ",,,"westrum1982berik",
"fFyZ","iye",,"female ego's father's younger sister ",,,"westrum1982berik",
"fMeB","maame",,"female ego's mother's older brother ",,,"westrum1982berik",
"fMyB","maame",,"female ego's mother's younger brother ",,,"westrum1982berik",
"fMeZ","iye",,"female ego's mother's older sister ",,,"westrum1982berik",
"fMyZ","iye",,"female ego's mother's younger sister ",,,"westrum1982berik",
"mW","wi",,"male ego's wife",,,"westrum1982berik",
"fH","anggwa",,"female ego‘s husband",,,"westrum1982berik",
"mDH","ebo",,"male ego's daughter's husband",,,"westrum1982berik",
"fDH","ebo",,"female ego's daughter's husband",,,"westrum1982berik",
"mSW","ginau",,"male ego's son's wife",,,"westrum1982berik",
"fSW","ginau",,"female ego's son's wife",,,"westrum1982berik",
"mWF","ebo",,"male ego's wife's father",,,"westrum1982berik",
"mWM","muna",,"male ego's wife's mother",,,"westrum1982berik",
"mWB","musa",,"male ego's wife's brother",,,"westrum1982berik",
"mWZ","nausa, muna",,"male ego's wife's sister",,,"westrum1982berik",
"fHF","ginau",,"female ego's husband's father",,,"westrum1982berik",
"fHM","ginau",,"female ego's husband's mother",,,"westrum1982berik",
"fHB","nausa, ginau",,"female ego's husband's brother",,,"westrum1982berik",
"fHZ","musa",,"female ego's husband's sister",,,"westrum1982berik",
"mBW","nausa, ginau",,"male ego's brother's wife",,,"westrum1982berik",
"fBW","musa",,"female ego's brother's wife",,,"westrum1982berik",
"mZH","musa",,"male ego's sister's husband",,,"westrum1982berik",
"fZH","nausa, ebo",,"female ego's sister's husband",,,"westrum1982berik",
"mFBeS","aiya",,"male ego‘s father‘s brother‘s older son",,,"westrum1982berik",
"mFByS","oso",,"male ego‘s father‘s brother‘s younger son",,,"westrum1982berik",
"mFBeD","aiya",,"male ego‘s father‘s brother‘s older daughter",,,"westrum1982berik",
"mFByD","oso",,"male ego‘s father‘s brother‘s younger daughter",,,"westrum1982berik",
"mFZeS","aiya",,"male ego‘s father‘s sisters‘s older son",,,"westrum1982berik",
"mFZyS","oso",,"male ego‘s father‘s sisters‘s younger son",,,"westrum1982berik",
"mFZeD","aiya",,"male ego‘s father‘s sisters‘s older daughter",,,"westrum1982berik",
"mFZyD","oso",,"male ego‘s father‘s sisters‘s younger daughter",,,"westrum1982berik",
"mMBeS","aiya",,"male ego‘s mother‘s brother‘s older son",,,"westrum1982berik",
"mMByS","oso",,"male ego‘s mother‘s brother‘s younger son",,,"westrum1982berik",
"mMBeD","aiya",,"male ego‘s mother‘s brother‘s older daughter",,,"westrum1982berik",
"mMByD","oso",,"male ego‘s mother‘s brother‘s younger daughter",,,"westrum1982berik",
"mMZeS","aiya",,"male ego‘s mother‘s sisters‘s older son",,,"westrum1982berik",
"mMZyS","oso",,"male ego‘s mother‘s sisters‘s younger son",,,"westrum1982berik",
"mMZeD","aiya",,"male ego‘s mother‘s sisters‘s older daughter",,,"westrum1982berik",
"mMZyD","oso",,"male ego‘s mother‘s sisters‘s younger daughter",,,"westrum1982berik",
"fFBeS","aiya",,"female ego‘s father‘s brother‘s older son",,,"westrum1982berik",
"fFByS","oso",,"female ego‘s father‘s brother‘s younger son",,,"westrum1982berik",
"fFBeD","aiya",,"female ego‘s father‘s brother‘s older daughter",,,"westrum1982berik",
"fFByD","oso",,"female ego‘s father‘s brother‘s younger daughter",,,"westrum1982berik",
"fFZeS","aiya",,"female ego‘s father‘s sisters‘s older son",,,"westrum1982berik",
"fFZyS","oso",,"female ego‘s father‘s sisters‘s younger son",,,"westrum1982berik",
"fFZeD","aiya",,"female ego‘s father‘s sisters‘s older daughter",,,"westrum1982berik",
"fFZyD","oso",,"female ego‘s father‘s sisters‘s younger daughter",,,"westrum1982berik",
"fMBeS","aiya",,"female ego‘s mother‘s brother‘s older son",,,"westrum1982berik",
"fMByS","oso",,"female ego‘s mother‘s brother‘s younger son",,,"westrum1982berik",
"fMBeD","aiya",,"female ego‘s mother‘s brother‘s older daughter",,,"westrum1982berik",
"fMByD","oso",,"female ego‘s mother‘s brother‘s younger daughter",,,"westrum1982berik",
"fMZeS","aiya",,"female ego‘s mother‘s sisters‘s older son",,,"westrum1982berik",
"fMZyS","oso",,"female ego‘s mother‘s sisters‘s younger son",,,"westrum1982berik",
"fMZeD","aiya",,"female ego‘s mother‘s sisters‘s older daughter",,,"westrum1982berik",
"fMZyD","oso",,"female ego‘s mother‘s sisters‘s younger daughter",,,"westrum1982berik",
