parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,naa-'tala,,,,BAR1,wiebe_cayapa_2015,
mB,kaya,,,,BAR1,wiebe_cayapa_2015,
mZ,c̷uhki,,,,BAR1,wiebe_cayapa_2015,
myB,ben-na,,,,BAR1,wiebe_cayapa_2015,
myZ,miya,,,,BAR1,wiebe_cayapa_2015,
mF,apa,,,,BAR1,wiebe_cayapa_2015,
mF,yaʔ 'pa,,,,BAR1,wiebe_cayapa_2015,
mM,ama,,,,BAR1,wiebe_cayapa_2015,
mM,mama,,,,BAR1,wiebe_cayapa_2015,
mC,kailʸa,,,,BAR1,wiebe_cayapa_2015,
mS,na,,,,BAR1,wiebe_cayapa_2015,
mS,['un'bee]-na,,,,BAR1,wiebe_cayapa_2015,
mD,na-ʔ-ma,,,,BAR1,wiebe_cayapa_2015,
mD,su-pu 'na-ʔ-ma,,,,BAR1,wiebe_cayapa_2015,
mFF,aa 'ʔapa,,,,BAR1,wiebe_cayapa_2015,
mFM,aa 'mama,,,,BAR1,wiebe_cayapa_2015,
mMF,aa 'ʔapa,,,,BAR1,wiebe_cayapa_2015,
mMM,aa 'mama,,,,BAR1,wiebe_cayapa_2015,
mSS,paɲa,,,,BAR1,wiebe_cayapa_2015,
mSD,paɲa,,,,BAR1,wiebe_cayapa_2015,
mDS,paɲa,,,,BAR1,wiebe_cayapa_2015,
mDD,paɲa,,,,BAR1,wiebe_cayapa_2015,
mFB,a'piku,,,,BAR1,wiebe_cayapa_2015,
mFZ,u'ɲuku,,,,BAR1,wiebe_cayapa_2015,
mMB,ah'čiyu,,,,BAR1,wiebe_cayapa_2015,
mMB,uh'puyu,,,,BAR1,wiebe_cayapa_2015,
mMZ,man'guku,,,,BAR1,wiebe_cayapa_2015,
mH,yaʔ 'ruku,,,,BAR1,wiebe_cayapa_2015,
mW,yaʔ šinbu,,,,BAR1,wiebe_cayapa_2015,
mW,yaʔ šimbu,,,,BAR1,wiebe_cayapa_2015,
mHF,an'č-apa,,,,BAR1,wiebe_cayapa_2015,
mHM,an'č-ama,,,,BAR1,wiebe_cayapa_2015,
mHM,aya,,,,BAR1,wiebe_cayapa_2015,
mWF,an'č-apa,,,,BAR1,wiebe_cayapa_2015,
mWM,an'č-ama,,,,BAR1,wiebe_cayapa_2015,
mWM,aya,,,,BAR1,wiebe_cayapa_2015,
mSW,suya,,,,BAR1,wiebe_cayapa_2015,
mSW,suya,,,,BAR1,wiebe_cayapa_2015,
mDH,kiya,,,,BAR1,wiebe_cayapa_2015,
mDH,kiya,,,,BAR1,wiebe_cayapa_2015,
fG,naa-'tala,,,,BAR1,wiebe_cayapa_2015,
fB,kaya,,,,BAR1,wiebe_cayapa_2015,
fZ,c̷uhki,,,,BAR1,wiebe_cayapa_2015,
fyB,ben-na,,,,BAR1,wiebe_cayapa_2015,
fyZ,miya,,,,BAR1,wiebe_cayapa_2015,
fF,apa,,,,BAR1,wiebe_cayapa_2015,
fF,yaʔ 'pa,,,,BAR1,wiebe_cayapa_2015,
fM,ama,,,,BAR1,wiebe_cayapa_2015,
fM,mama,,,,BAR1,wiebe_cayapa_2015,
fC,kailʸa,,,,BAR1,wiebe_cayapa_2015,
fS,na,,,,BAR1,wiebe_cayapa_2015,
fS,['un'bee]-na,,,,BAR1,wiebe_cayapa_2015,
fD,na-ʔ-ma,,,,BAR1,wiebe_cayapa_2015,
fD,su-pu 'na-ʔ-ma,,,,BAR1,wiebe_cayapa_2015,
fFF,aa 'ʔapa,,,,BAR1,wiebe_cayapa_2015,
fFM,aa 'mama,,,,BAR1,wiebe_cayapa_2015,
fMF,aa 'ʔapa,,,,BAR1,wiebe_cayapa_2015,
fMM,aa 'mama,,,,BAR1,wiebe_cayapa_2015,
fSS,paɲa,,,,BAR1,wiebe_cayapa_2015,
fSD,paɲa,,,,BAR1,wiebe_cayapa_2015,
fDS,paɲa,,,,BAR1,wiebe_cayapa_2015,
fDD,paɲa,,,,BAR1,wiebe_cayapa_2015,
fFB,a'piku,,,,BAR1,wiebe_cayapa_2015,
fFZ,u'ɲuku,,,,BAR1,wiebe_cayapa_2015,
fMB,ah'čiyu,,,,BAR1,wiebe_cayapa_2015,
fMB,uh'puyu,,,,BAR1,wiebe_cayapa_2015,
fMZ,man'guku,,,,BAR1,wiebe_cayapa_2015,
fH,yaʔ 'ruku,,,,BAR1,wiebe_cayapa_2015,
fW,yaʔ šinbu,,,,BAR1,wiebe_cayapa_2015,
fW,yaʔ šimbu,,,,BAR1,wiebe_cayapa_2015,
fHF,an'č-apa,,,,BAR1,wiebe_cayapa_2015,
fHM,an'č-ama,,,,BAR1,wiebe_cayapa_2015,
fHM,aya,,,,BAR1,wiebe_cayapa_2015,
fWF,an'č-apa,,,,BAR1,wiebe_cayapa_2015,
fWM,an'č-ama,,,,BAR1,wiebe_cayapa_2015,
fWM,aya,,,,BAR1,wiebe_cayapa_2015,
fSW,suya,,,,BAR1,wiebe_cayapa_2015,
fSW,suya,,,,BAR1,wiebe_cayapa_2015,
fDH,kiya,,,,BAR1,wiebe_cayapa_2015,
fDH,kiya,,,,BAR1,wiebe_cayapa_2015,
